organ1	type1	value
ovary	other	4.21710930311519
urinary_bladder	other	4.41480322266021
small_intestine	other	3.7959342527045
bone_marrow	other	1.88165831800742
liver	other	2.95794168332328
heart	other	2.3617851146152
adipose_tissue	other	3.80117982306441
skeletal_muscle	other	2.47508680310456
colon	other	3.63807232852148
fallopian_tube	other	4.16345819888249
esophagus	other	3.58380490147146
thyroid_gland	other	3.66679351300694
skin	other	4.4656505610074
uterus	other	4.04524963354627
pancreas	other	2.90883099419376
lung	other	3.57469072252688
pituitary_gland	other	2.64848503732885
stomach	other	3.2853592385494
uterine_cervix	other	4.08747234615048
kidney	other	2.61585357138315
salivary_gland	other	4.05350263089112
spleen	other	4.41956943040046
adrenal_gland	other	3.4489140826211
nerve	other	3.85500693832735
brain	other	1.89527750179003
vagina	other	4.00535716971781
breast	other	4.2581098551761
