label,source,susceptibility
ARAF001,Clinical,Resistant
ARAF002,Clinical,Resistant
ARAF003,Clinical,Susceptible
ARAF004,Clinical,Susceptible
ARAF005,Clinical,Susceptible
ARAF006,Clinical,Susceptible
C1,Environmental,Resistant
C10,Environmental,Resistant
C100,Clinical,Resistant
C103,Clinical,Susceptible
C104,Clinical,Resistant
C105,Clinical,Resistant
C106,Clinical,Resistant
C107,Clinical,Susceptible
C108,Clinical,Resistant
C109,Clinical,Resistant
C11,Environmental,Resistant
C110,Clinical,Resistant
C111,Clinical,Resistant
C112,Clinical,Resistant
C113,Clinical,Susceptible
C114,Clinical,Resistant
C115,Clinical,Resistant
C117,Clinical,Susceptible
C118,Clinical,Resistant
C119,Clinical,Resistant
C12,Environmental,Resistant
C120,Clinical,Resistant
C121,Clinical,Resistant
C122,Clinical,Resistant
C123,Clinical,Resistant
C124,Clinical,Resistant
C125,Clinical,Resistant
C126,Clinical,Resistant
C127,Clinical,Resistant
C128,Clinical,Resistant
C129,Clinical,Resistant
C13,Environmental,Resistant
C130,Clinical,Resistant
C131,Clinical,Resistant
C132,Clinical,Resistant
C133,Clinical,Resistant
C134,Clinical,Resistant
C135,Clinical,Resistant
C136,Clinical,Resistant
C137,Clinical,Resistant
C138,Clinical,Resistant
C139,Clinical,Resistant
C14,Environmental,Resistant
C140,Clinical,Resistant
C141,Clinical,Resistant
C142,Clinical,Resistant
C143,Clinical,Resistant
C144,Clinical,Resistant
C145,Clinical,Resistant
C146,Clinical,Susceptible
C147,Clinical,Susceptible
C148,Clinical,Susceptible
C149,Clinical,Resistant
C15,Environmental,Resistant
C150,Clinical,Resistant
C151,Clinical,Resistant
C152,Clinical,Susceptible
C153,Clinical,Susceptible
C154,Clinical,Susceptible
C155,Clinical,Resistant
C156,Clinical,Resistant
C157,Clinical,Resistant
C158,Clinical,Resistant
C159,Clinical,Resistant
C16,Environmental,Resistant
C160,Clinical,Resistant
C161,Clinical,Resistant
C162,Clinical,Resistant
C163,Clinical,Resistant
C164,Clinical,Resistant
C165,Clinical,Resistant
C166,Clinical,Susceptible
C167,Clinical,Susceptible
C168,Clinical,Resistant
C169,Clinical,Susceptible
C17,Environmental,Resistant
C170,Clinical,Susceptible
C171,Clinical,Resistant
C172,Clinical,Susceptible
C173,Clinical,Susceptible
C174,Clinical,Susceptible
C175,Clinical,Susceptible
C176,Clinical,Susceptible
C177,Clinical,Susceptible
C178,Clinical,Susceptible
C179,Clinical,Susceptible
C18,Environmental,Resistant
C180,Clinical,Susceptible
C181,Clinical,Susceptible
C182,Clinical,Susceptible
C183,Clinical,Susceptible
C184,Clinical,Susceptible
C185,Clinical,Susceptible
C186,Clinical,Susceptible
C187,Clinical,Susceptible
C188,Clinical,Susceptible
C189,Clinical,Resistant
C19,Environmental,Resistant
C190,Clinical,Susceptible
C191,Clinical,Susceptible
C2,Environmental,Resistant
C20,Environmental,Resistant
C21,Environmental,Resistant
C22,Environmental,Resistant
C220,Environmental,Susceptible
C221,Environmental,Susceptible
C222,Environmental,Susceptible
C223,Environmental,Susceptible
C23,Environmental,Resistant
C24,Environmental,Resistant
C246,Environmental,Susceptible
C25,Environmental,Resistant
C26,Environmental,Resistant
C27,Environmental,Resistant
C272,Environmental,Susceptible
C275,Environmental,Susceptible
C28,Environmental,Resistant
C29,Environmental,Resistant
C3,Environmental,Resistant
C30,Environmental,Resistant
C31,Environmental,Resistant
C32,Clinical,Resistant
C33,Clinical,Resistant
C34,Clinical,Susceptible
C341,Environmental,Resistant
C342,Environmental,Resistant
C343,Environmental,Susceptible
C344,Environmental,Susceptible
C345,Environmental,Susceptible
C346,Environmental,Susceptible
C35,Clinical,Susceptible
C354,Clinical,Resistant
C355,Clinical,Resistant
C356,Clinical,Susceptible
C357,Environmental,Unknown
C358,Environmental,Unknown
C359,Clinical,Resistant
C36,Clinical,Susceptible
C360,Environmental,Unknown
C361,Clinical,Unknown
C362,Clinical,Susceptible
C363,Clinical,Susceptible
C364,Environmental,Resistant
C365,Environmental,Resistant
C366,Environmental,Resistant
C367,Environmental,Susceptible
C368,Environmental,Resistant
C369,Environmental,Susceptible
C37,Clinical,Susceptible
C38,Clinical,Susceptible
C39,Clinical,Susceptible
C4,Environmental,Resistant
C40,Clinical,Susceptible
C41,Clinical,Susceptible
C42,Clinical,Susceptible
C43,Clinical,Susceptible
C44,Clinical,Susceptible
C45,Clinical,Susceptible
C46,Clinical,Susceptible
C47,Clinical,Susceptible
C48,Clinical,Susceptible
C49,Clinical,Susceptible
C5,Environmental,Resistant
C50,Clinical,Susceptible
C51,Clinical,Susceptible
C52,Clinical,Susceptible
C53,Clinical,Susceptible
C54,Clinical,Susceptible
C55,Clinical,Susceptible
C56,Clinical,Susceptible
C57,Clinical,Susceptible
C58,Clinical,Susceptible
C59,Clinical,Susceptible
C6,Environmental,Resistant
C60,Clinical,Susceptible
C61,Clinical,Susceptible
C62,Clinical,Susceptible
C63,Clinical,Susceptible
C64,Clinical,Susceptible
C65,Clinical,Susceptible
C66,Clinical,Susceptible
C67,Clinical,Susceptible
C68,Clinical,Susceptible
C69,Clinical,Susceptible
C7,Environmental,Resistant
C70,Clinical,Susceptible
C71,Clinical,Susceptible
C72,Clinical,Susceptible
C73,Clinical,Susceptible
C74,Clinical,Susceptible
C75,Clinical,Susceptible
C76,Clinical,Susceptible
C77,Clinical,Susceptible
C78,Environmental,Unknown
C79,Environmental,Unknown
C8,Environmental,Resistant
C80,Environmental,Unknown
C81,Clinical,Susceptible
C82,Clinical,Resistant
C83,Clinical,Resistant
C84,Clinical,Resistant
C85,Environmental,Unknown
C86,Environmental,Unknown
C87,Environmental,Unknown
C88,Environmental,Unknown
C89,Environmental,Unknown
C91,Environmental,Unknown
C92,Environmental,Unknown
C93,Environmental,Unknown
C95,Environmental,Unknown
C96,Environmental,Unknown
C99,Clinical,Resistant
