"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_1","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_2","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"ASV_4","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM2"
"ASV_5","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM2"
"ASV_6","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus"
"ASV_7","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"ASV_8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_9","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"ASV_10","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV_11","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_12","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_13","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV_14","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_15","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_16","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus"
"ASV_17","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_18","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ASV_19","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium"
"ASV_20","Bacteria","RCP2-54",NA,NA,NA,NA
"ASV_21","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_22","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","UTCFX1"
"ASV_23","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_24","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella"
"ASV_25","Bacteria","Gemmatimonadota","AKAU4049",NA,NA,NA
"ASV_26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"ASV_27","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira"
"ASV_28","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus"
"ASV_29","Bacteria","Chloroflexi","Gitt-GS-136",NA,NA,NA
"ASV_30","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"ASV_31","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_32","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","UTCFX1"
"ASV_33","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_34","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM2"
"ASV_35","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales",NA,NA
"ASV_36","Bacteria","Actinobacteriota","Actinobacteria","Frankiales",NA,NA
"ASV_37","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_38","Bacteria","Chloroflexi","AD3",NA,NA,NA
"ASV_39","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_40","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_41","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","UTCFX1"
"ASV_42","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"ASV_43","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_44","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"ASV_45","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_46","Bacteria","MBNT15",NA,NA,NA,NA
