measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Alcohol use,Number,2019,4183.19496,6210.829963,2402.541282
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Alcohol use,Number,2019,992.3565949,1407.779798,649.6312738
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Alcohol use,Percent,2019,0.08390436,0.12418999,0.048766477
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Alcohol use,Percent,2019,0.03478376,0.0478489,0.024040909
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Alcohol use,Rate,2019,1.374386259,2.040564555,0.789353534
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Alcohol use,Rate,2019,0.335509225,0.475961072,0.219636052
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Drug use,Number,2019,831.7539098,1203.445826,516.8692481
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Drug use,Number,2019,583.7319043,894.695495,347.0303607
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Drug use,Percent,2019,0.016725837,0.023939414,0.010440591
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Drug use,Percent,2019,0.020510008,0.031457814,0.012063706
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Drug use,Rate,2019,0.273272261,0.395391423,0.169817089
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Drug use,Rate,2019,0.19735591,0.302490651,0.117328678
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Metabolic risks,Number,2019,3811.976964,8403.310164,1118.273194
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Metabolic risks,Number,2019,1292.587871,3216.005008,190.5724316
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Metabolic risks,Percent,2019,0.076556797,0.172707152,0.021787959
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Metabolic risks,Percent,2019,0.045382707,0.107563177,0.006964652
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Metabolic risks,Rate,2019,1.252422804,2.760902643,0.367408004
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Metabolic risks,Rate,2019,0.437015441,1.087310099,0.064431283
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,High body-mass index,Number,2019,3811.976964,8403.310164,1118.273194
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,High body-mass index,Number,2019,1292.587871,3216.005008,190.5724316
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,High body-mass index,Percent,2019,0.076556797,0.172707152,0.021787959
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,High body-mass index,Percent,2019,0.045382707,0.107563177,0.006964652
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,High body-mass index,Rate,2019,1.252422804,2.760902643,0.367408004
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,High body-mass index,Rate,2019,0.437015441,1.087310099,0.064431283
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,All risk factors,Number,2019,8316.419924,12901.74144,4891.546566
