measure,sex,age,cps,val
Lo+A2:E21g Koc,Lake,L1,SCCPs,3.46
Log Koc,Estuary,R1,SCCPs,3.12
Log Koc,Lake,L1,MCCPs,3.21
Log Koc,Estuary,R1,MCCPs,3.93
Log Koc,Lake,L2,SCCPs,3.19
Log Koc,Estuary,R2,SCCPs,2.45
Log Koc,Lake,L2,MCCPs,3.96
Log Koc,Estuary,R2,MCCPs,3.8
Log Koc,Lake,L3,SCCPs,4.06
Log Koc,Estuary,R3,SCCPs,3.7
Log Koc,Lake,L3,MCCPs,6.44
Log Koc,Estuary,R3,MCCPs,5.2
Log Koc,Lake,L4,SCCPs,4.26
Log Koc,Estuary,R4,SCCPs,2.97
Log Koc,Lake,L4,MCCPs,6.23
Log Koc,Estuary,R4,MCCPs,4.41
Log Koc,Lake,L5,SCCPs,4.72
Log Koc,Estuary,R5,SCCPs,3.1
Log Koc,Lake,L5,MCCPs,5.83
Log Koc,Estuary,R5,MCCPs,4.76
Log Koc,Lake,L6,SCCPs,4.82
Log Koc,Estuary,R6,SCCPs,3.24
Log Koc,Lake,L6,MCCPs,3.96
Log Koc,Estuary,R6,MCCPs,4.61
Log Koc,Lake,L7,SCCPs,4.69
Log Koc,Estuary,R7,SCCPs,4.19
Log Koc,Lake,L7,MCCPs,4.55
Log Koc,Estuary,R7,MCCPs,4.63
Log Koc,Lake,L8,SCCPs,4.52
Log Koc,Estuary,R8,SCCPs,3.36
Log Koc,Lake,L8,MCCPs,3.78
Log Koc,Estuary,R8,MCCPs,4.23
Log Koc,Lake,L9,SCCPs,3.85
Log Koc,Estuary,R9,SCCPs,3.5
Log Koc,Lake,L9,MCCPs,4.17
Log Koc,Estuary,R9,MCCPs,4.7
Log Koc,Lake,L10,SCCPs,3.71
Log Koc,Estuary,R10,SCCPs,3.96
Log Koc,Lake,L10,MCCPs,4.24
Log Koc,Estuary,R10,MCCPs,5.97
Log Koc,Lake,L11,SCCPs,3.15
Log Koc,Estuary,R11,SCCPs,3.6
Log Koc,Lake,L11,MCCPs,4.22
Log Koc,Estuary,R11,MCCPs,4.98
Log Koc,Lake,L12,SCCPs,3.88
Log Koc,Estuary,R12,SCCPs,3.2
Log Koc,Lake,L12,MCCPs,4.44
Log Koc,Estuary,R12,MCCPs,4.64
Log Koc,Lake,L13,SCCPs,2.94
Log Koc,Estuary,R13,SCCPs,2.85
Log Koc,Lake,L13,MCCPs,3.96
Log Koc,Estuary,R13,MCCPs,4.58
Log Koc,Lake,L14,SCCPs,3.48
Log Koc,Estuary,R14,SCCPs,3.22
Log Koc,Lake,L14,MCCPs,4.04
Log Koc,Estuary,R14,MCCPs,4.58
Log Koc,Lake,L15,SCCPs,3.31
Log Koc,Lake,L15,MCCPs,3.52
Log Koc,Lake,L16,SCCPs,3.06
Log Koc,Lake,L16,MCCPs,2.72
