Sobs	Shannon	Simpson	Pielou	Chao	ACE	goods_coverage	depth	sample
1	0	0	NA	1	NA	0	1	ADAL1
1	0	0	NA	1	NA	0	1	ADAL3
1	0	0	NA	1	NA	0	1	ADALmet1
1	0	0	NA	1	NA	0	1	ADALmet2
1	0	0	NA	1	NA	0	1	ADUP1
1	0	0	NA	1	NA	0	1	ADUP3
1	0	0	NA	1	NA	0	1	ADUPmet1
1	0	0	NA	1	NA	0	1	ADUPmet2
1	0	0	NA	1	NA	0	1	KUAL1
1	0	0	NA	1	NA	0	1	KUAL2
1	0	0	NA	1	NA	0	1	KUAL3
1	0	0	NA	1	NA	0	1	KUALmet1
1	0	0	NA	1	NA	0	1	KUALmet2
1	0	0	NA	1	NA	0	1	KUALmet3
1	0	0	NA	1	NA	0	1	KUUP1
1	0	0	NA	1	NA	0	1	KUUP2
1	0	0	NA	1	NA	0	1	KUUP3
1	0	0	NA	1	NA	0	1	KUUPmet2
67	4.05353725823896	0.979	1.92810158799484	127.882352941176	156.325255296449	0.54	100	ADAL1
78	4.22581727770141	0.9822	1.93991264773706	346.125	386.159169550173	0.34	100	ADAL3
85	4.39199355038246	0.9868	1.97719483111178	262.5	293.103448275862	0.29	100	ADALmet1
72	4.18221489551274	0.983	1.95582950790414	140.055555555556	145.818181818182	0.5	100	ADALmet2
26	2.63236034622632	0.8888	1.61588848918814	35.4285714285714	41.7126530612245	0.88	100	ADUP1
23	2.55232752008564	0.8782	1.62802247066452	38	34.3971125730994	0.9	100	ADUP3
17	1.90833724011132	0.7814	1.34711863059294	44.5	59.2106666666667	0.89	100	ADUPmet1
20	2.04701612421161	0.7888	1.36662153843483	31	49.2305638972306	0.89	100	ADUPmet2
58	3.87671697202928	0.975	1.90950443681148	106.461538461538	111.612215909091	0.64	100	KUAL1
64	3.98446468355248	0.977	1.91612247985279	142.833333333333	153.628117913832	0.56	100	KUAL2
63	3.99083945100144	0.9782	1.92648306876435	121.571428571429	125.731895223421	0.59	100	KUAL3
69	4.1076676960191	0.9806	1.94027603772325	129.055555555556	151.128946999364	0.53	100	KUALmet1
77	4.21448104948237	0.9822	1.94045572496379	301	335.699588477366	0.36	100	KUALmet2
64	4.03835297796311	0.98	1.94203727155552	105.166666666667	108.739911884228	0.61	100	KUALmet3
61	3.78902866654286	0.9654	1.84341762444459	249	262.700719268833	0.52	100	KUUP1
60	3.90922526936842	0.9752	1.90957317341499	110.214285714286	124.154132374736	0.62	100	KUUP2
55	3.69788313446453	0.9636	1.84555811235846	133.111111111111	138.750951724138	0.62	100	KUUP3
49	3.56553649578727	0.9604	1.83232329484393	100.666666666667	121.479869053908	0.69	100	KUUPmet2
120	4.58792545913916	0.987866666666667	1.91663012936001	146.090909090909	150.86578481363	0.86	300	ADAL1
156	4.82031767811717	0.989377777777778	1.90909113891452	245.25	262.4624354667	0.716666666666667	300	ADAL3
186	5.01927881748356	0.991266666666667	1.92098053383712	372	468.756219077365	0.586666666666667	300	ADALmet1
128	4.68431718619841	0.989466666666667	1.93086890699411	173.37037037037	160.177123745819	0.833333333333333	300	ADALmet2
36	2.73667490726174	0.889444444444444	1.52736734715892	42	42.2926665922536	0.97	300	ADUP1
44	2.70344275471218	0.880177777777778	1.42880934426796	63	76.297520661157	0.933333333333333	300	ADUP3
29	2.03045076196587	0.769355555555556	1.20598299910823	33.5	39.5698708576998	0.966666666666667	300	ADUPmet1
32	2.07025547646413	0.774555555555556	1.19469892370721	41.75	43.8877843686852	0.956666666666667	300	ADUPmet2
108	4.37550355048462	0.9836	1.86902217739509	157.285714285714	156.920587154114	0.846666666666667	300	KUAL1
145	4.65080183359083	0.986333333333333	1.86901774308255	323	318.876349782642	0.703333333333333	300	KUAL2
134	4.6705883006949	0.988244444444444	1.90720337596248	175.325	195.145122084658	0.806666666666667	300	KUAL3
144	4.72937837232449	0.9886	1.9032418673466	228.40625	244.892508534073	0.753333333333333	300	KUALmet1
158	4.87169949681972	0.990711111111111	1.92458589519332	243.024390243902	255.760972789958	0.72	300	KUALmet2
120	4.43898146533939	0.983711111111111	1.85440798807931	181.034482758621	208.462219935711	0.8	300	KUALmet3
