sample	Shannon	Simpson	Richness	Chao1	Ace	Sobs	PD_whole_tree
ADAL1	4.78053809895109	0.98882432	172	172	172	172	19.434547826
ADAL3	5.26137424630895	0.99212008	306	311.833333333333	310.294103444631	306	20.929912245
ADALmet1	6.03821734436895	0.99538128	881	1073.75	1076.21031976278	881	38.741613241
ADALmet2	4.99974473026157	0.99189024	198	198.125	198.469636332397	198	15.222288851
ADUP1	2.74303514762767	0.88318848	57	57	57	57	5.760067071
ADUP3	2.8306932852856	0.87978904	92	95	94.7375030768864	92	7.28201585
ADUPmet1	2.15354475501055	0.77777392	50	50.3333333333333	50.6983810697584	50	11.420621759
ADUPmet2	2.09092563684127	0.77085424	45	45	45	45	5.417993097
KUAL1	4.65960878674004	0.98725048	166	166	166.177679345163	166	18.600444786
KUAL2	5.22708541088184	0.99090696	365	383.5	380.180007962436	365	20.986837339
KUAL3	4.98256914255387	0.98958688	250	253.75	252.607566644026	250	16.522570409
KUALmet1	5.19954340226258	0.99125512	325	339.130434782609	334.497281592585	325	20.274379334
KUALmet2	5.17820405599182	0.99140808	313	323.04347826087	321.06757500339	313	21.411842694
KUALmet3	4.7080326313628	0.98328624	246	267.230769230769	255.756699561198	246	27.744125946
KUUP1	4.66132740862137	0.97818448	273	284	281.156565040838	273	18.268707612
KUUP2	4.41297893011946	0.98040592	153	154	153.643378599423	153	13.256758903
KUUP3	4.28862967155405	0.97633152	128	128	128	128	10.81873063
KUUPmet2	4.35033935868367	0.97980256	143	143	143.263854619416	143	12.08916976
