#sample	TC	TN	C_N_ratio	O2_depletion	CH4_consumption	CO2_accumulation	N2O_accumulation	16srdna	pmoa	O2	CH4	CO2	N2O	Depth
ADAL1	16.43880691	1.382831506	11.88778737	158	0	274	4.61	31362523	4782	-189	0.0	0	0.9	13
ADAL3	16.43880691	1.382831506	11.88778737	158	0	274	4.61	26096005	7541	-189	0.0	0	0.9	13
ADALmet1	16.43880691	1.382831506	11.88778737	169	12	271	3.72	26267669	4786	-452	-0.03	0	0.8	13
ADALmet2	16.43880691	1.382831506	11.88778737	169	12	271	3.72	23514008	5240	-452	-0.03	0	0.8	13
ADUP1	16.49167269	1.401750496	11.76505572	149	0	170	3.68	9624633	1575	-203	-9.50	-12	0.8	85
ADUP3	16.49167269	1.401750496	11.76505572	149	0	170	3.68	11766280	1227	-203	-9.50	-12	0.8	85
ADUPmet1	16.49167269	1.401750496	11.76505572	116	4	132	2.80	10481315	1565	-534	-42.68	-58	0.6	85
ADUPmet2	16.49167269	1.401750496	11.76505572	116	4	132	2.80	9336304	1089	-534	-42.68	-58	0.6	85
KUAL1	32.87829522	2.396158577	13.72125182	367	0	615	9.89	1362692	15181	-88	-0.04	0	2.1	16
KUAL2	32.87829522	2.396158577	13.72125182	367	0	615	9.89	1346890	27101	-88	-0.04	0	2.1	16
KUAL3	32.87829522	2.396158577	13.72125182	367	0	615	9.89	1101036	21141	-88	-0.04	0	2.1	16
KUALmet1	32.87829522	2.396158577	13.72125182	432	56	632	3.33	43392574	49324	-1044	0.16	0	0.7	16
KUALmet2	32.87829522	2.396158577	13.72125182	432	56	632	3.33	45857847	41459	-1044	0.16	0	0.7	16
KUALmet3	32.87829522	2.396158577	13.72125182	432	56	632	3.33	44625211	33595	-1044	0.16	0	0.7	16
KUUP1	39.13249809	2.89878536	13.49961906	197	18	462	1.20	87029973	32038	-95	-3.33	-4	-0.8	35
KUUP2	39.13249809	2.89878536	13.49961906	197	18	462	1.20	69165520	32279	-95	-3.33	-4	-0.8	35
KUUP3	39.13249809	2.89878536	13.49961906	197	18	462	1.20	106416678	23523	-1039	-1.30	-3	0.4	35
KUUPmet2	39.13249809	2.89878536	13.49961906	208	0	478	-2.78	36937164	32057	-1039	-1.30	-3	0.4	35
