measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Unsafe sex,Number,1990,20101247.925711367,25593991.162972745,16360545.894534728
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Unsafe sex,Percent,1990,0.007755933196338342,0.00985276823981787,0.006289653783780628
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Unsafe sex,Rate,1990,375.7349573541055,478.4059782597097,305.81330257162824
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Unsafe sex,Percent,1990,0.008189797533946065,0.010267398818192728,0.006713028244704499
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Unsafe sex,Rate,1990,409.67470019003935,512.6958271059759,337.7285159531538
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Intimate partner violence,Number,1990,5178493.726475368,8118363.2851352,2783640.273408786
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Intimate partner violence,Percent,1990,0.001995389767553407,0.0030868479473987963,0.0010702727574325543
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Intimate partner violence,Rate,1990,96.79703104337828,151.74942839363334,52.03214065533725
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Intimate partner violence,Percent,1990,0.002005525638945746,0.0031506105158283786,0.0010663513713484827
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Intimate partner violence,Rate,1990,100.47621037966574,159.19816918505134,53.189266551355885
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,"Unsafe water, sanitation, and handwashing",Number,1990,214981962.78057373,254705668.1869137,175186587.317427
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,"Unsafe water, sanitation, and handwashing",Percent,1990,0.08294024748816156,0.09763168707791887,0.06671751715969773
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,"Unsafe water, sanitation, and handwashing",Rate,1990,4018.4688490877434,4760.9891548895985,3274.6088779159813
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Percent,1990,0.07224045711798073,0.0858086693662125,0.0572370448888122
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,1990,3613.967745908772,4297.75639838406,2942.833205956109
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Air pollution,Number,1990,280717766.36550605,318927645.32964605,248482188.17536533
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Air pollution,Percent,1990,0.10829854127590458,0.12272229556333937,0.09568180118906168
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Air pollution,Rate,1990,5247.2104400528315,5961.434118908762,4644.659113820744
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Air pollution,Percent,1990,0.1090861488274232,0.12257122884151206,0.09649656561749659
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Air pollution,Rate,1990,5457.3333268563,6157.567690961573,4852.88850529468
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Other environmental risks,Number,1990,17238550.201162707,23620387.052180655,11405393.768346421
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Other environmental risks,Percent,1990,0.006648301961418049,0.009063638564570552,0.00444229707806556
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Other environmental risks,Rate,1990,322.225065260532,441.515131525073,213.19099973265773
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Other environmental risks,Percent,1990,0.008142563139436699,0.011216739287311766,0.005369174580167659
