	OTUID	BS	P	LE	RS	RE	SE	VE
1	OTU_1	1	1	1	1	1	1	1
2	OTU_10	1	1	1	1	1	1	1
3	OTU_100	1	1	1	1	1	1	1
4	OTU_1001	1	1	1	1	1	1	1
5	OTU_10041	1	1	1	1	1	1	1
6	OTU_1009	1	1	1	1	1	1	1
7	OTU_101	1	1	1	1	1	1	1
8	OTU_1010	1	1	1	1	1	1	1
9	OTU_1011	1	1	1	1	1	1	1
10	OTU_1012	1	1	1	1	1	1	1
11	OTU_1015	1	1	1	1	1	1	1
12	OTU_1017	1	1	1	1	1	1	1
13	OTU_1018	1	1	1	1	1	1	1
14	OTU_102	1	1	1	1	1	1	1
15	OTU_1020	1	1	1	1	1	1	1
16	OTU_1021	1	1	1	1	1	1	1
17	OTU_1023	1	1	1	1	1	1	1
18	OTU_10233	1	1	1	1	1	1	1
19	OTU_10234	1	1	1	1	1	1	1
20	OTU_1026	1	1	1	1	1	1	1
21	OTU_10292	1	1	1	1	1	1	1
22	OTU_103	1	1	1	1	1	1	1
23	OTU_10313	1	1	1	1	1	1	1
24	OTU_1033	1	1	1	1	1	1	1
25	OTU_1035	1	1	1	1	1	1	1
26	OTU_10377	1	1	1	1	1	1	1
27	OTU_104	1	1	1	1	1	1	1
28	OTU_1040	1	1	1	1	1	1	1
29	OTU_1042	1	1	1	1	1	1	1
30	OTU_1045	1	1	1	1	1	1	1
31	OTU_1046	1	1	1	1	1	1	1
32	OTU_105	1	1	1	1	1	1	1
33	OTU_10504	1	1	1	1	1	1	1
34	OTU_10506	1	1	1	1	1	1	1
35	OTU_1053	1	1	1	1	1	1	1
36	OTU_10540	1	1	1	1	1	1	1
37	OTU_1055	1	1	1	1	1	1	1
38	OTU_10567	1	1	1	1	1	1	1
39	OTU_10578	1	1	1	1	1	1	1
40	OTU_10588	1	1	1	1	1	1	1
41	OTU_10593	1	1	1	1	1	1	1
42	OTU_10597	1	1	1	1	1	1	1
43	OTU_1061	1	1	1	1	1	1	1
44	OTU_10610	1	1	1	1	1	1	1
45	OTU_10612	1	1	1	1	1	1	1
46	OTU_1062	1	1	1	1	1	1	1
47	OTU_10631	1	1	1	1	1	1	1
48	OTU_1066	1	1	1	1	1	1	1
49	OTU_10663	1	1	1	1	1	1	1
50	OTU_1067	1	1	1	1	1	1	1
51	OTU_10686	1	1	1	1	1	1	1
52	OTU_1069	1	1	1	1	1	1	1
53	OTU_107	1	1	1	1	1	1	1
54	OTU_1072	1	1	1	1	1	1	1
55	OTU_10723	1	1	1	1	1	1	1
56	OTU_1075	1	1	1	1	1	1	1
57	OTU_1077	1	1	1	1	1	1	1
58	OTU_1078	1	1	1	1	1	1	1
59	OTU_108	1	1	1	1	1	1	1
60	OTU_1080	1	1	1	1	1	1	1
61	OTU_10805	1	1	1	1	1	1	1
62	OTU_1081	1	1	1	1	1	1	1
63	OTU_1085	1	1	1	1	1	1	1
64	OTU_1086	1	1	1	1	1	1	1
65	OTU_10883	1	1	1	1	1	1	1
66	OTU_10884	1	1	1	1	1	1	1
67	OTU_10888	1	1	1	1	1	1	1
68	OTU_10894	1	1	1	1	1	1	1
69	OTU_109	1	1	1	1	1	1	1
70	OTU_10929	1	1	1	1	1	1	1
71	OTU_10945	1	1	1	1	1	1	1
72	OTU_10950	1	1	1	1	1	1	1
73	OTU_10963	1	1	1	1	1	1	1
74	OTU_1097	1	1	1	1	1	1	1
75	OTU_10973	1	1	1	1	1	1	1
76	OTU_10979	1	1	1	1	1	1	1
77	OTU_10992	1	1	1	1	1	1	1
78	OTU_11	1	1	1	1	1	1	1
79	OTU_110	1	1	1	1	1	1	1
80	OTU_11053	1	1	1	1	1	1	1
81	OTU_1107	1	1	1	1	1	1	1
82	OTU_1108	1	1	1	1	1	1	1
83	OTU_11082	1	1	1	1	1	1	1
84	OTU_111	1	1	1	1	1	1	1
85	OTU_11140	1	1	1	1	1	1	1
86	OTU_1119	1	1	1	1	1	1	1
87	OTU_112	1	1	1	1	1	1	1
88	OTU_1121	1	1	1	1	1	1	1
89	OTU_1124	1	1	1	1	1	1	1
90	OTU_11288	1	1	1	1	1	1	1
91	OTU_11293	1	1	1	1	1	1	1
92	OTU_113	1	1	1	1	1	1	1
93	OTU_1131	1	1	1	1	1	1	1
94	OTU_1134	1	1	1	1	1	1	1
95	OTU_11360	1	1	1	1	1	1	1
96	OTU_11363	1	1	1	1	1	1	1
97	OTU_11384	1	1	1	1	1	1	1
98	OTU_11399	1	1	1	1	1	1	1
99	OTU_114	1	1	1	1	1	1	1
100	OTU_1140	1	1	1	1	1	1	1
101	OTU_11400	1	1	1	1	1	1	1
102	OTU_11402	1	1	1	1	1	1	1
103	OTU_11405	1	1	1	1	1	1	1
104	OTU_1142	1	1	1	1	1	1	1
105	OTU_1143	1	1	1	1	1	1	1
106	OTU_11445	1	1	1	1	1	1	1
107	OTU_11456	1	1	1	1	1	1	1
108	OTU_11480	1	1	1	1	1	1	1
109	OTU_1149	1	1	1	1	1	1	1
110	OTU_11490	1	1	1	1	1	1	1
111	OTU_115	1	1	1	1	1	1	1
112	OTU_11529	1	1	1	1	1	1	1
113	OTU_11541	1	1	1	1	1	1	1
114	OTU_1157	1	1	1	1	1	1	1
115	OTU_1158	1	1	1	1	1	1	1
116	OTU_1159	1	1	1	1	1	1	1
117	OTU_116	1	1	1	1	1	1	1
118	OTU_1162	1	1	1	1	1	1	1
119	OTU_11632	1	1	1	1	1	1	1
120	OTU_117	1	1	1	1	1	1	1
121	OTU_1170	1	1	1	1	1	1	1
122	OTU_1173	1	1	1	1	1	1	1
123	OTU_1174	1	1	1	1	1	1	1
124	OTU_11740	1	1	1	1	1	1	1
125	OTU_11742	1	1	1	1	1	1	1
126	OTU_11743	1	1	1	1	1	1	1
127	OTU_1176	1	1	1	1	1	1	1
128	OTU_1177	1	1	1	1	1	1	1
129	OTU_11775	1	1	1	1	1	1	1
130	OTU_1178	1	1	1	1	1	1	1
131	OTU_118	1	1	1	1	1	1	1
132	OTU_1181	1	1	1	1	1	1	1
133	OTU_1182	1	1	1	1	1	1	1
134	OTU_11823	1	1	1	1	1	1	1
135	OTU_11824	1	1	1	1	1	1	1
136	OTU_11825	1	1	1	1	1	1	1
137	OTU_11830	1	1	1	1	1	1	1
138	OTU_11839	1	1	1	1	1	1	1
139	OTU_11849	1	1	1	1	1	1	1
140	OTU_1185	1	1	1	1	1	1	1
141	OTU_11854	1	1	1	1	1	1	1
142	OTU_1186	1	1	1	1	1	1	1
143	OTU_11861	1	1	1	1	1	1	1
144	OTU_11864	1	1	1	1	1	1	1
145	OTU_11866	1	1	1	1	1	1	1
146	OTU_11875	1	1	1	1	1	1	1
147	OTU_11888	1	1	1	1	1	1	1
148	OTU_11889	1	1	1	1	1	1	1
149	OTU_1189	1	1	1	1	1	1	1
150	OTU_11890	1	1	1	1	1	1	1
151	OTU_119	1	1	1	1	1	1	1
152	OTU_1190	1	1	1	1	1	1	1
153	OTU_1193	1	1	1	1	1	1	1
154	OTU_1197	1	1	1	1	1	1	1
155	OTU_11979	1	1	1	1	1	1	1
156	OTU_1199	1	1	1	1	1	1	1
157	OTU_12	1	1	1	1	1	1	1
158	OTU_120	1	1	1	1	1	1	1
159	OTU_1200	1	1	1	1	1	1	1
160	OTU_12004	1	1	1	1	1	1	1
161	OTU_1202	1	1	1	1	1	1	1
162	OTU_1207	1	1	1	1	1	1	1
163	OTU_1208	1	1	1	1	1	1	1
164	OTU_121	1	1	1	1	1	1	1
165	OTU_12138	1	1	1	1	1	1	1
166	OTU_1214	1	1	1	1	1	1	1
167	OTU_1216	1	1	1	1	1	1	1
168	OTU_1218	1	1	1	1	1	1	1
169	OTU_122	1	1	1	1	1	1	1
170	OTU_1221	1	1	1	1	1	1	1
171	OTU_12249	1	1	1	1	1	1	1
172	OTU_12277	1	1	1	1	1	1	1
173	OTU_12278	1	1	1	1	1	1	1
174	OTU_12280	1	1	1	1	1	1	1
175	OTU_12283	1	1	1	1	1	1	1
176	OTU_123	1	1	1	1	1	1	1
177	OTU_12309	1	1	1	1	1	1	1
178	OTU_12316	1	1	1	1	1	1	1
179	OTU_12319	1	1	1	1	1	1	1
180	OTU_1233	1	1	1	1	1	1	1
181	OTU_12363	1	1	1	1	1	1	1
182	OTU_1239	1	1	1	1	1	1	1
183	OTU_12398	1	1	1	1	1	1	1
184	OTU_12399	1	1	1	1	1	1	1
185	OTU_124	1	1	1	1	1	1	1
186	OTU_1241	1	1	1	1	1	1	1
187	OTU_12420	1	1	1	1	1	1	1
188	OTU_12428	1	1	1	1	1	1	1
189	OTU_12432	1	1	1	1	1	1	1
190	OTU_12443	1	1	1	1	1	1	1
191	OTU_12447	1	1	1	1	1	1	1
192	OTU_1247	1	1	1	1	1	1	1
193	OTU_125	1	1	1	1	1	1	1
194	OTU_12512	1	1	1	1	1	1	1
195	OTU_12514	1	1	1	1	1	1	1
196	OTU_1252	1	1	1	1	1	1	1
197	OTU_1253	1	1	1	1	1	1	1
198	OTU_12536	1	1	1	1	1	1	1
199	OTU_1256	1	1	1	1	1	1	1
200	OTU_126	1	1	1	1	1	1	1
201	OTU_1260	1	1	1	1	1	1	1
202	OTU_12643	1	1	1	1	1	1	1
203	OTU_12662	1	1	1	1	1	1	1
204	OTU_1267	1	1	1	1	1	1	1
205	OTU_12679	1	1	1	1	1	1	1
206	OTU_12688	1	1	1	1	1	1	1
207	OTU_127	1	1	1	1	1	1	1
208	OTU_1273	1	1	1	1	1	1	1
209	OTU_12747	1	1	1	1	1	1	1
210	OTU_1275	1	1	1	1	1	1	1
211	OTU_12754	1	1	1	1	1	1	1
212	OTU_1276	1	1	1	1	1	1	1
213	OTU_1278	1	1	1	1	1	1	1
214	OTU_1279	1	1	1	1	1	1	1
215	OTU_128	1	1	1	1	1	1	1
216	OTU_1284	1	1	1	1	1	1	1
217	OTU_12849	1	1	1	1	1	1	1
218	OTU_1287	1	1	1	1	1	1	1
219	OTU_12875	1	1	1	1	1	1	1
220	OTU_12881	1	1	1	1	1	1	1
221	OTU_129	1	1	1	1	1	1	1
222	OTU_1291	1	1	1	1	1	1	1
223	OTU_1292	1	1	1	1	1	1	1
224	OTU_12929	1	1	1	1	1	1	1
225	OTU_1294	1	1	1	1	1	1	1
226	OTU_1295	1	1	1	1	1	1	1
227	OTU_1299	1	1	1	1	1	1	1
228	OTU_12993	1	1	1	1	1	1	1
229	OTU_12996	1	1	1	1	1	1	1
230	OTU_13	1	1	1	1	1	1	1
231	OTU_130	1	1	1	1	1	1	1
232	OTU_13008	1	1	1	1	1	1	1
233	OTU_13029	1	1	1	1	1	1	1
234	OTU_13045	1	1	1	1	1	1	1
235	OTU_13049	1	1	1	1	1	1	1
236	OTU_1305	1	1	1	1	1	1	1
237	OTU_13050	1	1	1	1	1	1	1
238	OTU_13067	1	1	1	1	1	1	1
239	OTU_13069	1	1	1	1	1	1	1
240	OTU_13079	1	1	1	1	1	1	1
241	OTU_13084	1	1	1	1	1	1	1
242	OTU_13096	1	1	1	1	1	1	1
243	OTU_131	1	1	1	1	1	1	1
244	OTU_1311	1	1	1	1	1	1	1
245	OTU_13118	1	1	1	1	1	1	1
246	OTU_1315	1	1	1	1	1	1	1
247	OTU_13154	1	1	1	1	1	1	1
248	OTU_1318	1	1	1	1	1	1	1
249	OTU_1319	1	1	1	1	1	1	1
250	OTU_13191	1	1	1	1	1	1	1
251	OTU_132	1	1	1	1	1	1	1
252	OTU_1320	1	1	1	1	1	1	1
253	OTU_13235	1	1	1	1	1	1	1
254	OTU_13249	1	1	1	1	1	1	1
255	OTU_13267	1	1	1	1	1	1	1
256	OTU_1327	1	1	1	1	1	1	1
257	OTU_1328	1	1	1	1	1	1	1
