sample	group	Fill	value1	value2	value3	value4	value5
PRAMEF18	group1	fillA	18	30	27	16	23
CYP2D6	group1	fillA	74	68	69	58	64
PDPR	group1	fillB	30	20	28	37	20
OR4Q3	group1	fillB	87	83	93	92	82
SULT1A3	group1	fillB	32	38	34	37	34
OR9G1	group1	fillC	66	62	77	75	60
GRPIN2	group1	fillC	41	59	52	55	55
OR4K1	group1	fillD	11	18	12	15	12
OR4K2	group1	fillD	52	55	69	55	56
PRAMEF18	group2	fillA	10	30	13	27	14
CYP2D6	group2	fillA	59	65	61	56	50
PDPR	group2	fillB	27	36	29	21	22
OR4Q3	group2	fillB	82	94	92	86	90
SULT1A3	group2	fillB	34	47	37	34	41
OR9G1	group2	fillC	65	74	78	71	75
GRPIN2	group2	fillC	51	45	46	53	58
OR4K1	group2	fillD	19	13	18	14	15
OR4K2	group2	fillD	54	57	53	66	68
