sample	Group	Period	G	value
S1	groupA	period1	CG	63
S2	groupA	period1	CG	74
S3	groupA	period1	CG	110
S4	groupA	period1	CG	100
S5	groupA	period1	CG	88
S6	groupA	period1	CG	79
S7	groupA	period1	CG	97
S8	groupA	period1	CG	85
S9	groupA	period1	CG	59
S10	groupA	period1	CG	77
S11	groupA	period1	CG	75
S12	groupA	period1	CG	91
S13	groupA	period1	CG	84
S14	groupA	period1	CG	84
S15	groupA	period1	CG	53
S16	groupA	period1	CG	40
S17	groupA	period1	CG	60
S18	groupA	period1	CG	65
S19	groupA	period1	CG	59
S20	groupA	period1	CG	63
S21	groupA	period1	CG	73
S22	groupA	period1	CG	78
S23	groupA	period1	CG	78
S24	groupA	period1	CG	83
S25	groupA	period1	CG	85
S26	groupA	period1	EG	66
S27	groupA	period1	EG	90
S28	groupA	period1	EG	91
S29	groupA	period1	EG	104
S30	groupA	period1	EG	81
S31	groupA	period1	EG	76
S32	groupA	period1	EG	93
S33	groupA	period1	EG	109
S34	groupA	period1	EG	82
S35	groupA	period1	EG	66
S36	groupA	period1	EG	91
S37	groupA	period1	EG	120
S38	groupA	period1	EG	62
S39	groupA	period1	EG	71
S40	groupA	period1	EG	72
S41	groupA	period1	EG	76
S42	groupA	period1	EG	79
S43	groupA	period1	EG	64
S44	groupA	period1	EG	95
S45	groupA	period1	EG	55
S46	groupA	period1	EG	90
S47	groupA	period1	EG	68
S48	groupA	period1	EG	66
S49	groupA	period1	EG	90
S50	groupA	period1	EG	86
S51	groupA	period2	CG	93
S52	groupA	period2	CG	110
S53	groupA	period2	CG	57
S54	groupA	period2	CG	56
S55	groupA	period2	CG	73
S56	groupA	period2	CG	57
S57	groupA	period2	CG	79
S58	groupA	period2	CG	95
S59	groupA	period2	CG	45
S60	groupA	period2	CG	90
S61	groupA	period2	CG	87
S62	groupA	period2	CG	86
S63	groupA	period2	CG	65
S64	groupA	period2	CG	84
S65	groupA	period2	CG	59
S66	groupA	period2	CG	87
S67	groupA	period2	CG	97
S68	groupA	period2	CG	88
S69	groupA	period2	CG	83
S70	groupA	period2	CG	86
S71	groupA	period2	CG	100
S72	groupA	period2	CG	96
S73	groupA	period2	CG	87
S74	groupA	period2	CG	71
S75	groupA	period2	CG	96
S76	groupA	period2	EG	86
S77	groupA	period2	EG	115
S78	groupA	period2	EG	97
S79	groupA	period2	EG	110
S80	groupA	period2	EG	124
S81	groupA	period2	EG	114
S82	groupA	period2	EG	75
S83	groupA	period2	EG	89
S84	groupA	period2	EG	102
S85	groupA	period2	EG	105
S86	groupA	period2	EG	109
S87	groupA	period2	EG	91
S88	groupA	period2	EG	75
S89	groupA	period2	EG	55
S90	groupA	period2	EG	114
S91	groupA	period2	EG	99
S92	groupA	period2	EG	98
S93	groupA	period2	EG	119
S94	groupA	period2	EG	124
S95	groupA	period2	EG	120
S96	groupA	period2	EG	108
S97	groupA	period2	EG	98
S98	groupA	period2	EG	95
S99	groupA	period2	EG	74
S100	groupA	period2	EG	145
S101	groupB	period1	CG	55
S102	groupB	period1	CG	110
S103	groupB	period1	CG	64
S104	groupB	period1	CG	74
S105	groupB	period1	CG	71
S106	groupB	period1	CG	45
S107	groupB	period1	CG	63
S108	groupB	period1	CG	89
S109	groupB	period1	CG	53
S110	groupB	period1	CG	54
S111	groupB	period1	CG	91
S112	groupB	period1	CG	90
S113	groupB	period1	CG	93
S114	groupB	period1	CG	100
S115	groupB	period1	CG	56
S116	groupB	period1	CG	50
S117	groupB	period1	CG	53
S118	groupB	period1	CG	100
S119	groupB	period1	CG	73
S120	groupB	period1	CG	98
S121	groupB	period1	CG	89
S122	groupB	period1	CG	87
S123	groupB	period1	CG	64
S124	groupB	period1	CG	69
S125	groupB	period1	CG	75
S126	groupB	period1	EG	72
S127	groupB	period1	EG	110
S128	groupB	period1	EG	93
S129	groupB	period1	EG	69
S130	groupB	period1	EG	53
S131	groupB	period1	EG	61
S132	groupB	period1	EG	45
S133	groupB	period1	EG	69
S134	groupB	period1	EG	98
S135	groupB	period1	EG	91
S136	groupB	period1	EG	92
S137	groupB	period1	EG	78
S138	groupB	period1	EG	74
S139	groupB	period1	EG	89
S140	groupB	period1	EG	67
S141	groupB	period1	EG	66
S142	groupB	period1	EG	83
S143	groupB	period1	EG	63
S144	groupB	period1	EG	54
S145	groupB	period1	EG	60
S146	groupB	period1	EG	60
S147	groupB	period1	EG	85
S148	groupB	period1	EG	89
S149	groupB	period1	EG	80
S150	groupB	period1	EG	66
S151	groupB	period2	CG	110
S152	groupB	period2	CG	89
S153	groupB	period2	CG	100
S154	groupB	period2	CG	45
S155	groupB	period2	CG	78
S156	groupB	period2	CG	92
S157	groupB	period2	CG	54
S158	groupB	period2	CG	65
S159	groupB	period2	CG	52
S160	groupB	period2	CG	69
S161	groupB	period2	CG	64
S162	groupB	period2	CG	92
S163	groupB	period2	CG	98
S164	groupB	period2	CG	74
S165	groupB	period2	CG	96
S166	groupB	period2	CG	86
S167	groupB	period2	CG	87
S168	groupB	period2	CG	79
S169	groupB	period2	CG	95
S170	groupB	period2	CG	67
S171	groupB	period2	CG	50
S172	groupB	period2	CG	78
S173	groupB	period2	CG	57
S174	groupB	period2	CG	71
S175	groupB	period2	CG	51
S176	groupB	period2	EG	90
S177	groupB	period2	EG	98
S178	groupB	period2	EG	105
S179	groupB	period2	EG	101
S180	groupB	period2	EG	118
S181	groupB	period2	EG	107
S182	groupB	period2	EG	120
S183	groupB	period2	EG	99
S184	groupB	period2	EG	120
S185	groupB	period2	EG	112
S186	groupB	period2	EG	117
S187	groupB	period2	EG	118
S188	groupB	period2	EG	85
S189	groupB	period2	EG	112
S190	groupB	period2	EG	115
S191	groupB	period2	EG	115
S192	groupB	period2	EG	119
S193	groupB	period2	EG	116
S194	groupB	period2	EG	94
S195	groupB	period2	EG	114
S196	groupB	period2	EG	117
S197	groupB	period2	EG	89
S198	groupB	period2	EG	104
S199	groupB	period2	EG	75
S200	groupB	period2	EG	125
