ID 	TH	TL	TM	DH	DL	DM	CH	CL	CM
g1	1	-2	2	-3	-3	-1	4	0	-1
g2	1	2	0	3	5	0	3	4	0
g3	4	3	-4	-5	3	-4	3	1	-2
g4	-5	2	-3	3	-2	2	0	-2	-3
g5	-1	-1	5	0	-3	5	-1	-4	4
g6	2	5	5	5	2	4	1	5	1
g7	-3	4	5	0	5	-5	-1	-4	4
g8	2	-1	-1	-3	-5	-2	0	2	5
g9	-1	4	5	5	1	-3	1	2	-5
g10	-5	-4	1	-2	-4	0	-5	-1	-5
g11	3	4	-3	2	-2	0	3	-5	1
g12	-4	0	0	2	0	-4	4	5	4
g13	-3	0	-5	4	1	1	-2	0	-4
g14	0	-4	-4	3	-5	5	-3	5	5
g15	1	-3	4	1	5	-1	-3	2	4
g16	2	0	-5	-1	3	4	2	-1	-1
g17	3	0	-3	2	-4	2	2	0	4
g18	3	3	4	4	-2	-1	3	-1	-2
g19	-2	-1	-1	-4	-1	-5	2	-3	5
g20	-2	3	2	3	4	5	-4	1	-5
g21	4	1	4	1	-4	3	0	-2	1
g22	1	-1	2	-1	-1	-5	-1	3	4
g23	2	4	-1	5	-1	0	4	2	2
g24	5	1	3	-3	-2	-3	-3	4	-4
g25	-4	1	0	-1	3	5	4	2	2
g26	1	0	5	3	-3	3	3	-2	-4
g27	2	0	-3	2	-2	3	4	5	-1
g28	2	2	3	4	5	3	-5	-2	0
g29	4	0	-1	1	3	1	2	4	4
g30	1	2	4	-3	3	1	2	1	0
g31	-1	-2	5	5	-2	-5	4	5	5
g32	-4	-4	-4	-2	-4	1	1	4	-2
g33	-2	3	5	-1	-1	-1	-4	-5	4
g34	-5	-2	-3	1	0	-2	0	-5	-3
g35	-3	2	2	-2	-5	2	-2	4	-2
g36	-1	4	2	-1	4	-4	2	-1	1
g37	0	3	1	-1	-4	-1	-3	4	2
g38	-5	0	2	4	-1	5	-4	2	-2
g39	5	-4	4	2	0	2	-5	2	-1
g40	-5	-1	4	-3	-2	4	1	-3	2
g41	4	0	0	-2	-5	1	5	3	3
g42	4	2	-2	2	3	4	-2	-2	-1
g43	-3	1	-5	-5	-4	-5	5	1	0
g44	1	0	4	0	5	-4	-5	-2	-1
g45	-4	4	-1	3	-2	-2	-2	1	3
g46	2	-1	-2	-1	4	5	-4	5	-3
g47	4	-4	1	5	1	-5	0	2	-1
g48	4	-2	-5	-2	5	1	0	3	-4
g49	4	4	5	-1	-3	-3	-2	-3	-1
g50	-3	4	-2	-4	4	0	1	-3	-3
g51	5	-1	5	-1	3	5	2	-4	0
g52	0	5	-5	5	-1	3	-5	-1	1
g53	-1	3	-2	0	-5	-5	3	-5	4
g54	3	-5	4	-1	2	3	1	4	4
g55	-1	-5	-1	-5	1	4	-3	-1	5
g56	4	-3	-2	-4	1	1	2	-1	0
g57	-2	-1	-5	-4	-1	0	2	-1	-2
g58	0	4	3	-1	-2	1	5	4	1
g59	-4	2	5	-5	2	-3	-5	-5	-2
g60	5	4	-5	4	-5	5	4	-2	-5
g61	-4	2	5	3	-3	1	0	5	5
g62	0	1	-4	-5	1	-5	-3	5	-1
g63	-1	-5	-1	4	-2	2	3	-1	1
g64	-5	-5	0	-2	-3	3	-5	5	-5
g65	1	0	1	3	1	0	-4	-3	-2
g66	0	1	-2	1	2	3	5	3	0
g67	-1	1	-2	1	4	-2	4	-3	-2
g68	1	0	5	-1	4	4	4	-2	5
g69	2	-3	-3	-5	2	4	-1	5	0
g70	0	3	5	5	-5	-2	-2	5	1
g71	-1	0	-1	-3	-5	4	2	0	-2
g72	0	5	-5	-1	5	-5	-1	2	-3
g73	0	3	1	-1	5	-2	-4	2	4
g74	1	1	-4	-1	0	1	0	1	-1
g75	-4	5	0	-3	-5	-1	-2	-4	2
g76	5	3	-1	4	-4	4	-5	-5	-1
g77	0	5	-5	-2	-3	4	1	3	4
g78	-2	-3	2	2	-2	2	1	-1	3
g79	1	0	3	-5	1	1	1	4	-1
g80	1	-4	-4	0	-4	-4	-2	2	1
g81	-3	-5	-5	2	5	-3	1	1	4
g82	-1	-1	-3	-4	2	0	-4	-3	-4
g83	-5	4	-2	2	-1	4	0	-2	-5
g84	-4	-3	1	-4	4	-2	2	1	4
g85	3	-4	-3	-2	-1	-1	-2	-3	1
g86	-1	-5	-5	-4	5	-2	4	0	-2
g87	1	3	1	1	4	-1	-4	3	-1
g88	0	-5	-1	-4	-2	2	-4	-3	1
g89	-5	4	-1	3	1	3	-3	-4	-5
g90	-2	-5	4	3	-1	5	5	-1	-5
g91	2	5	-1	5	-2	-5	2	1	-5
g92	1	5	2	-3	-5	2	-5	-1	-2
g93	-1	3	3	4	-1	4	-1	-3	3
g94	-1	0	-5	1	0	0	0	-4	-2
g95	-5	0	-5	2	5	0	4	-1	-5
g96	-1	3	2	-1	-5	3	-3	3	-4
g97	-2	-5	2	0	5	-5	-5	-3	1
g98	-3	1	2	2	-4	2	-2	0	3
g99	1	-3	-4	5	-3	0	0	3	-2
g100	1	-1	-1	5	5	3	2	2	3
g101	3	-5	-1	4	3	-3	1	2	1
g102	-5	3	2	-1	-4	1	2	2	3
g103	-2	-1	-4	-5	0	4	3	-2	0
g104	-1	2	4	0	4	1	-4	-3	-3
g105	2	-3	4	0	-5	4	-3	3	2
g106	1	-3	4	-5	-2	-1	0	-3	5
