sample	group1	group2	mean	sd	sig
S01	A	G1	15	1.5	*
S02	A	G1	14	1.4	*
S03	A	G1	10	1	*
S04	A	G1	5	0.5	
S05	A	G1	-6	-0.6	
S06	B	G1	-10	-1	*
S07	B	G1	-5	-0.5	
S08	C	G2	-8	-0.8	*
S09	C	G2	2	0.2	
S10	C	G2	7	0.7	*
S11	D	G2	-6	-0.6	
S12	D	G2	15	1.5	*
S13	D	G2	10	1	*
S14	D	G2	12	1.2	*
S15	E	G3	5	0.5	
S16	E	G3	-15	-1.5	*
S17	E	G3	-10	-1	*
S18	E	G3	-7	-0.7	*
S19	E	G3	5	0.5	
S20	E	G3	15	1.5	*
S21	F	G4	15	1.5	*
S22	F	G4	14	1.4	*
S23	F	G4	10	1	*
S24	F	G4	5	0.5	
S25	F	G4	-6	-0.6	
S26	G	G4	-10	-1	*
S27	G	G4	-5	-0.5	
S28	H	G5	-8	-0.8	*
S29	H	G5	2	0.2	
S30	H	G5	7	0.7	*
S31	I	G5	-6	-0.6	
S32	I	G5	15	1.5	*
S33	I	G5	10	1	*
S34	I	G5	12	1.2	*
S35	J	G6	5	0.5	
S36	J	G6	-15	-1.5	*
S37	J	G6	-10	-1	*
S38	J	G6	-7	-0.7	*
S39	J	G6	5	0.5	
S40	J	G6	15	1.5	*
