OTU_id	A_1	A_2	A_3	A_4	B_1	B_2	B_3	B_4	C_1	C_2	C_3	C_4
OTU1	177	136	186	105	165	220	153	202	72	88	50	77
OTU2	152	165	197	193	189	239	212	182	53	53	53	73
OTU3	124	173	165	129	217	235	232	167	85	71	96	82
OTU4	140	200	152	100	218	150	197	213	57	84	81	61
OTU5	145	163	165	150	175	162	215	194	97	63	94	88
OTU6	55	65	96	74	175	193	195	104	292	339	305	267
OTU7	52	97	99	50	153	122	125	159	321	289	346	258
OTU8	75	100	57	72	154	132	162	174	294	340	317	318
OTU9	56	97	50	62	175	105	127	116	345	318	327	317
OTU10	65	97	92	93	198	162	156	180	294	272	275	324
OTU11	193	149	146	188	125	166	106	200	157	184	164	167
OTU12	106	151	179	180	185	194	154	113	160	105	170	113
OTU13	124	184	102	154	149	181	141	126	128	158	112	151
OTU14	151	200	154	142	193	100	182	132	144	164	199	124
OTU15	146	110	149	197	150	152	190	125	129	164	114	105
OTU16	9	29	53	17	0	0	2	1	0	0	10	0
OTU17	0	7	0	0	0	0	0	1	49	5	44	13
OTU18	1	0	0	0	4	1	0	0	38	18	20	35
OTU19	2	0	1	0	30	14	55	7	1	0	1	0
OTU20	30	6	7	6	1	0	0	0	3	11	31	16
OTU21	0	0	1	0	6	0	54	25	0	3	2	2
OTU22	1	0	0	0	1	0	0	1	30	11	6	43
OTU23	0	0	0	0	1	0	0	0	4	26	36	17
OTU24	0	0	0	0	27	9	9	31	1	3	1	0
OTU25	0	0	0	0	0	11	0	0	15	26	19	10
OTU26	1	11	3	53	0	0	0	0	0	2	1	2
OTU27	9	3	0	0	0	6	0	13	1	12	8	6
OTU28	0	1	1	1	0	6	0	12	2	14	1	16
OTU29	0	0	0	0	1	8	0	0	8	20	3	4
OTU30	0	0	0	0	10	4	5	2	7	2	5	4
OTU31	0	0	0	0	0	0	0	0	6	8	17	6
OTU32	0	0	0	0	0	0	0	0	4	10	5	9
OTU33	1	6	0	7	0	0	0	0	1	7	3	3
OTU34	0	0	0	0	0	0	0	0	23	0	0	4
OTU35	0	0	0	0	0	0	0	0	4	13	8	0
OTU36	1	3	2	6	6	5	2	0	0	0	0	0
OTU37	0	0	0	0	0	0	0	0	13	4	3	3
OTU38	0	0	0	0	0	0	0	0	14	8	0	0
OTU39	0	0	0	0	0	2	0	0	3	12	5	0
OTU40	0	0	0	0	0	0	0	0	11	2	1	7
OTU41	0	0	0	0	1	7	1	1	1	3	6	0
OTU42	1	0	0	0	2	9	0	3	1	3	0	0
OTU43	0	0	0	0	0	1	0	0	1	6	2	9
OTU44	0	0	0	0	5	0	3	1	0	5	5	0
OTU45	0	0	0	0	3	5	9	1	0	0	0	1
OTU46	0	0	0	0	0	0	0	0	17	0	0	0
OTU47	0	0	0	0	0	14	1	0	0	0	1	0
OTU48	0	0	0	0	1	5	5	2	0	0	0	0
OTU49	1	3	8	0	0	0	0	0	0	0	0	0
OTU50	0	0	0	0	0	0	0	0	3	2	1	6
OTU51	0	0	0	0	0	4	0	0	4	0	1	2
OTU52	0	0	0	0	0	0	3	1	0	0	6	0
OTU53	0	0	0	0	0	0	0	0	9	0	0	0
OTU54	0	0	0	0	0	4	0	0	1	1	0	2
OTU55	1	2	0	0	2	0	1	0	0	0	0	0
OTU56	0	1	0	0	0	0	0	0	1	2	1	1
OTU57	0	0	0	0	0	0	0	6	0	0	0	0
OTU58	0	0	0	0	0	0	0	0	3	0	0	0
OTU59	0	0	0	0	0	0	0	0	2	0	0	0
OTU60	0	0	0	0	0	0	0	0	0	0	0	2
