group	sample	value
all	1	0.8
all	2	0.87
all	3	0.9
all	4	0.9
all	5	0.9
all	6.5	0.9
all	8	0.88
WB	1	0.55
WB	2	0.55
WB	3	0.55
WB	4	0.55
WB	5	0.55
WB	6.5	0.6
WB	8	0.6
PL	1	0.42
PL	2	0.42
PL	3	0.42
PL	4	0.42
PL	5	0.42
PL	6.5	0.45
PL	8	0.45
IT	1	0.25
IT	2	0.25
IT	3	0.25
IT	4	0.25
IT	5	0.25
IT	6.5	0.28
IT	8	0.28
IR	1	0.35
IR	2	0.35
IR	3	0.35
IR	4	0.35
IR	5	0.35
IR	6.5	0.38
IR	8	0.38
AJ	1	0.1
AJ	2	0.1
AJ	3	0.1
AJ	4	0.1
AJ	5	0.1
AJ	6.5	0.15
AJ	8	0.15
IN	1	0.2
IN	2	0.2
IN	3	0.2
IN	4	0.2
IN	5	0.2
IN	6.5	0.22
IN	8	0.18
CH	1	0.28
CH	2	0.28
CH	3	0.28
CH	4	0.28
CH	5	0.28
CH	6.5	0.3
CH	8	0.28
CB	1	0.44
CB	2	0.46
CB	3	0.5
CB	4	0.5
CB	5	0.5
CB	6.5	0.5
CB	8	0.48
NG	1	0.55
NG	2	0.58
NG	3	0.65
NG	4	0.65
NG	5	0.65
NG	6.5	0.65
NG	8	0.65
