gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,162.5079239,9.388941228,0.814107469,11.53280321,9.02E-31,4.34E-29
DPM1,1748.960518,-0.155044998,0.126955478,-1.221254885,0.221989529,0.325836835
SCYL3,295.6732154,0.196623288,0.143673938,1.368538302,0.171143641,0.26435879
C1orf112,497.1648185,-0.131487174,0.190582154,-0.689923851,0.490242076,0.603378317
FGR,0.650360812,-0.521221372,1.04193279,-0.500244716,0.616902776,0.715151635
CFH,1.672141676,1.352205151,0.850983485,1.588991061,0.112062411,0.186267023
FUCA2,3057.982161,-0.819712395,0.121373529,-6.753634038,1.44E-11,1.61E-10
GCLC,1490.425889,2.233794763,0.467711985,4.776004971,1.79E-06,9.09E-06
STPG1,254.0303533,0.639422219,0.271100721,2.358614967,0.018343277,0.03964272
NIPAL3,371.8925941,0.094689922,0.132045684,0.71709971,0.473312575,0.587791226
LAS1L,2738.067466,-0.499042776,0.106007177,-4.707631964,2.51E-06,1.24E-05
ENPP4,117.9876453,10.30023034,0.864084714,11.92039412,9.27E-33,5.02E-31
SEMA3F,696.3843562,3.193034821,0.44076918,7.244233406,4.35E-13,5.82E-12
ANKIB1,3019.487969,-0.129084961,0.165667897,-0.779179088,0.435874227,0.552714763
CYP51A1,1.197042438,2.510292608,1.170611626,2.144428222,0.031998591,0.064520568
KRIT1,1077.766565,-0.243163061,0.134748704,-1.804566978,0.071142469,0.127594949
RAD52,503.697415,-1.218198714,0.201988575,-6.031027814,1.63E-09,1.35E-08
BAD,1012.344052,0.193417317,0.260400603,0.742768313,0.457621963,0.57307235
LAP3,1876.949483,0.065163768,0.060378559,1.079253441,0.280474762,0.391959528
CD99,4710.675353,-1.339383438,0.197005786,-6.798701029,1.06E-11,1.20E-10
HS3ST1,19.1717675,7.20090531,0.929181939,7.749725871,9.21E-15,1.46E-13
WNT16,22.15764386,-3.091681726,0.641627236,-4.818501388,1.45E-06,7.48E-06
HECW1,70.43162533,-2.698055463,0.506555974,-5.326273106,1.00E-07,6.30E-07
MAD1L1,1802.375511,-0.147300782,0.085384479,-1.725147046,0.084500976,0.147268432
LASP1,7166.057095,-1.08882741,0.212396118,-5.126399776,2.95E-07,1.72E-06
M6PR,3603.116426,-0.221847553,0.059619106,-3.721081525,0.000198371,0.000679112
KLHL13,143.3854876,2.901659822,0.455361253,6.372215028,1.86E-10,1.78E-09
CYP26B1,79.95669688,2.954595501,0.450988441,6.551377448,5.70E-11,5.87E-10
ICA1,18.7361746,-0.237392642,0.453420807,-0.523559216,0.600585154,0.701653064
DBNDD1,2097.108616,-0.85177724,0.195851663,-4.34909374,1.37E-05,5.90E-05
ALS2,1841.301816,0.918256772,0.143834872,6.384103925,1.72E-10,1.66E-09
CASP10,297.5556513,-3.620742677,0.870775032,-4.158069013,3.21E-05,0.000129197
CFLAR,1247.901789,-0.660367555,0.175979511,-3.75252524,0.000175062,0.000605641
TFPI,4804.396794,-1.902652467,0.213594287,-8.907787255,5.21E-19,1.16E-17
NDUFAF7,530.2337336,-0.436412739,0.090356282,-4.829910322,1.37E-06,7.08E-06
RBM5,1330.1867,0.258964451,0.165079072,1.568729748,0.116710924,0.192552604
MTMR7,0.852491644,0.953766685,1.176914734,0.810395739,0.417712766,0.535037076
SLC7A2,8.823724383,-2.768441702,0.756031085,-3.661809361,0.00025044,0.000838879
ARF5,3585.08774,-0.746538255,0.174925146,-4.267758353,1.97E-05,8.28E-05
SARM1,328.1028968,0.127268224,0.237325727,0.536259706,0.591779074,0.694199194
POLDIP2,5905.203925,-0.356818005,0.142649931,-2.5013542,0.012371937,0.027914994
PLXND1,6135.312175,0.409950866,0.1961743,2.089727685,0.036642269,0.072491485
AK2,5561.922296,-0.061949805,0.092036155,-0.673102927,0.500881812,0.613411312
CD38,1.487071075,2.989700699,1.124819462,2.657938274,0.007862029,0.018663031
