Category,Phenotype,SSC,AGRE,LEAP,SPARK
Autism,ADI RRB,0.042111539,-0.0056813,0.130579975,0
Autism,ADI SOC,0.041278166,-0.0241077,0.094238503,0
Autism,ADI VC,0.010010986,-0.009545,0.094294907,0
Autism,ADOS RRB,0.017137247,0.0091154,0.060544921,0
Autism,ADOS SA,-0.017336576,0.002288,0.079250742,0
Autism,DCDQ,-0.012114671,0,0,-0.009752
Autism,F1,0.016901773,0,0,0.004446
Autism,F2,0.028471156,0,0,0.021271
Autism,F3,-0.001679221,0,0,0.013049
Autism,F4,0.033302552,0,0,0.010289
Autism,F5,0.042437907,0,0,0.0190722
Autism,F6,0.020118687,0,0,0.0263001
Autism,FSIQ,0.031099629,0,-0.064530606,0.016846
Autism,NVIQ,0.035630429,0.0723288,0.015499175,0
Autism,RBS,0.018218517,0.0167627,0.024240414,0.014102
Autism,SCQ,0.043912566,0,0,0.025387
Autism,SRS,0.037037579,0.033999,0.003850351,0
Autism,VABS,-0.01407149,-0.011509,-0.048835658,-0.02082
Autism,VIQ,0.016284182,0,-0.101699936,0
