Species,Sequencing Strategy,Tissue Type,#Filtered Cells
Mouse,SMARTer,embryonic stem cell,846
Mouse,SMARTer,Embryo,123
Mouse,SMARTer,Liver,69
Mouse,Smart-seq2,Embryo,548
Mouse,Smart-seq2,Embryo,1190
Mouse,SMARTer,CD4+ T cell,1211
Mouse,SMARTer,CD4+ T cell,76
Mouse,SMARTer,IgE B cell,202
Mouse,SMARTer,CD4+ T cell,2750
Mouse,Smart-seq2,embryonic stem cell,52
Mouse,SMARTer,embryonic stem cell,92
Mouse,Smart-seq2,embryonic stem cell,62
Mouse,Smart-seq2,embryonic stem cell,329
Mouse,SMARTer,Mammary,17
Mouse,SMARTer,Bone marrow,92
Mouse,Smart-seq2,embryonic stem cell,416
Mouse,SMARTer,gamma-delta T cell,46
Mouse,SMARTer & Smart-seq2,embryonic stem cell,249
Mouse,Smart-seq2,embryonic stem cell,945
Mouse,SMARTer,Bone marrow,764
Mouse,Smart-seq2,Bone marrow,621
Mouse,Smart-seq2,Embryo,529
Mouse,Smart-seq2,Brain,457
Mouse,Smart-seq2,Bone marrow,450
Mouse,SMARTer,Spleen,177
Mouse,Smart-seq2,Brain,1333
Mouse,Smart-seq2,Brain,546
Mouse,SMARTer,Lung,47
Mouse,SMARTer,Brain,195
Mouse,Smart-seq2,20 Tissues,43099
Mouse,SMARTer,Brain,2211
Mouse,SMARTer,Mammary,461
Mouse,SMARTer,Brain,71
Mouse,SMARTer,Brain,29
Mouse,Smart-seq2,Brain,400
Mouse,SMARTer,Brain,21353
Mouse,Smart-seq2,Brain,864
Mouse,Smart-seq2,Skeletal Muscle,254
Mouse,Smart-seq2,Eye,633
Mouse,SMARTer,Brain,2204
Mouse,SMARTer,Embryo,630
Mouse,SMARTer,Brain,195
Mouse,Smart-seq2,Lung,58
Mouse,Smart-seq2,Brain,9175
Mouse,Smart-seq2,Bone marrow,731
Mouse,Smart-seq2,CD4+ T cell,94
Mouse,Smart-seq2,Unknown,901
Mouse,SMARTer,Ear,124
Mouse,Tang,Embryo,18
Mouse,SMARTer,Bone Marrow,53
Mouse,Quartz-Seq &Smart-seq,embryonic stem cell,64
Mouse,SMARTer,Embryo,306
Mouse,Tang,embryonic stem cell,85
Mouse,SMARTer,Bone marrow,3954
Mouse,Smart-seq2,embryonic fibroblast,18
Mouse,Tang,Pancreas,139
Mouse,SMARTer,Lung,156
Mouse,SMARTer,iPS cell,132
Mouse,SMARTer,Embryo,55
