"","cellnumber","orig.ident","celltype","cluster"
"1",0,"AEH","Ciliated epithelial cells","cluster  0"
"2",0,"AEH","Endothelial cells","cluster  0"
"3",1938,"AEH","Lymphocytes","cluster  0"
"4",0,"AEH","Macrophages","cluster  0"
"5",0,"AEH","Smooth muscle cells","cluster  0"
"6",0,"AEH","Stromal fibroblasts","cluster  0"
"7",3,"AEH","Unciliated epithelial cells","cluster  0"
"8",11,"AEH","Ciliated epithelial cells","cluster  1"
"9",0,"AEH","Endothelial cells","cluster  1"
"10",1,"AEH","Lymphocytes","cluster  1"
"11",0,"AEH","Macrophages","cluster  1"
"12",0,"AEH","Smooth muscle cells","cluster  1"
"13",0,"AEH","Stromal fibroblasts","cluster  1"
"14",2713,"AEH","Unciliated epithelial cells","cluster  1"
"15",0,"AEH","Ciliated epithelial cells","cluster  2"
"16",1165,"AEH","Endothelial cells","cluster  2"
"17",0,"AEH","Lymphocytes","cluster  2"
"18",0,"AEH","Macrophages","cluster  2"
"19",0,"AEH","Smooth muscle cells","cluster  2"
"20",0,"AEH","Stromal fibroblasts","cluster  2"
"21",0,"AEH","Unciliated epithelial cells","cluster  2"
"22",0,"AEH","Ciliated epithelial cells","cluster  3"
"23",0,"AEH","Endothelial cells","cluster  3"
"24",0,"AEH","Lymphocytes","cluster  3"
"25",0,"AEH","Macrophages","cluster  3"
"26",1,"AEH","Smooth muscle cells","cluster  3"
"27",854,"AEH","Stromal fibroblasts","cluster  3"
"28",0,"AEH","Unciliated epithelial cells","cluster  3"
"29",0,"AEH","Ciliated epithelial cells","cluster  4"
"30",0,"AEH","Endothelial cells","cluster  4"
"31",520,"AEH","Lymphocytes","cluster  4"
"32",0,"AEH","Macrophages","cluster  4"
"33",0,"AEH","Smooth muscle cells","cluster  4"
"34",0,"AEH","Stromal fibroblasts","cluster  4"
"35",0,"AEH","Unciliated epithelial cells","cluster  4"
"36",0,"AEH","Ciliated epithelial cells","cluster  5"
"37",0,"AEH","Endothelial cells","cluster  5"
"38",0,"AEH","Lymphocytes","cluster  5"
"39",0,"AEH","Macrophages","cluster  5"
"40",958,"AEH","Smooth muscle cells","cluster  5"
"41",0,"AEH","Stromal fibroblasts","cluster  5"
"42",0,"AEH","Unciliated epithelial cells","cluster  5"
"43",0,"AEH","Ciliated epithelial cells","cluster  6"
"44",0,"AEH","Endothelial cells","cluster  6"
"45",297,"AEH","Lymphocytes","cluster  6"
"46",0,"AEH","Macrophages","cluster  6"
"47",0,"AEH","Smooth muscle cells","cluster  6"
"48",0,"AEH","Stromal fibroblasts","cluster  6"
"49",0,"AEH","Unciliated epithelial cells","cluster  6"
"50",596,"AEH","Ciliated epithelial cells","cluster  7"
"51",0,"AEH","Endothelial cells","cluster  7"
"52",0,"AEH","Lymphocytes","cluster  7"
"53",0,"AEH","Macrophages","cluster  7"
"54",0,"AEH","Smooth muscle cells","cluster  7"
"55",0,"AEH","Stromal fibroblasts","cluster  7"
"56",0,"AEH","Unciliated epithelial cells","cluster  7"
"57",0,"AEH","Ciliated epithelial cells","cluster  8"
"58",0,"AEH","Endothelial cells","cluster  8"
"59",0,"AEH","Lymphocytes","cluster  8"
"60",90,"AEH","Macrophages","cluster  8"
"61",0,"AEH","Smooth muscle cells","cluster  8"
"62",0,"AEH","Stromal fibroblasts","cluster  8"
"63",0,"AEH","Unciliated epithelial cells","cluster  8"
"64",0,"AEH","Ciliated epithelial cells","cluster  9"
"65",0,"AEH","Endothelial cells","cluster  9"
"66",82,"AEH","Lymphocytes","cluster  9"
"67",0,"AEH","Macrophages","cluster  9"
"68",0,"AEH","Smooth muscle cells","cluster  9"
"69",0,"AEH","Stromal fibroblasts","cluster  9"
"70",0,"AEH","Unciliated epithelial cells","cluster  9"
"71",0,"AEH","Ciliated epithelial cells","cluster  10"
"72",0,"AEH","Endothelial cells","cluster  10"
"73",75,"AEH","Lymphocytes","cluster  10"
"74",0,"AEH","Macrophages","cluster  10"
"75",0,"AEH","Smooth muscle cells","cluster  10"
"76",0,"AEH","Stromal fibroblasts","cluster  10"
"77",0,"AEH","Unciliated epithelial cells","cluster  10"
"78",0,"AEH","Ciliated epithelial cells","cluster  11"
"79",0,"AEH","Endothelial cells","cluster  11"
"80",36,"AEH","Lymphocytes","cluster  11"
"81",0,"AEH","Macrophages","cluster  11"
"82",0,"AEH","Smooth muscle cells","cluster  11"
"83",0,"AEH","Stromal fibroblasts","cluster  11"
"84",0,"AEH","Unciliated epithelial cells","cluster  11"
"85",0,"AEH","Ciliated epithelial cells","cluster  12"
"86",0,"AEH","Endothelial cells","cluster  12"
"87",19,"AEH","Lymphocytes","cluster  12"
"88",0,"AEH","Macrophages","cluster  12"
"89",0,"AEH","Smooth muscle cells","cluster  12"
"90",0,"AEH","Stromal fibroblasts","cluster  12"
"91",0,"AEH","Unciliated epithelial cells","cluster  12"
"92",0,"AEH","Ciliated epithelial cells","cluster  13"
"93",0,"AEH","Endothelial cells","cluster  13"
"94",0,"AEH","Lymphocytes","cluster  13"
"95",0,"AEH","Macrophages","cluster  13"
"96",0,"AEH","Smooth muscle cells","cluster  13"
"97",131,"AEH","Stromal fibroblasts","cluster  13"
"98",0,"AEH","Unciliated epithelial cells","cluster  13"
"99",0,"AEH","Ciliated epithelial cells","cluster  14"
"100",35,"AEH","Endothelial cells","cluster  14"
"101",0,"AEH","Lymphocytes","cluster  14"
"102",0,"AEH","Macrophages","cluster  14"
