TF,target,importance
KLF9,STARD10,61.56273261422133
PROX1,STARD10,59.43031519010527
TBX1,S100A16,58.48534974629048
TCF15,TIMP4,58.225345345513766
ANXA1,S100A6,57.00932713272253
PROX1,S100A16,56.8156928987677
PHLDA2,PTX3,55.76309160701827
TBX1,STARD10,55.20132072183366
EPAS1,FLT1,54.68254328220782
ANXA1,TUBB6,54.34224234766878
PROX1,MMRN1,52.937202916306504
TBX1,FLT4,51.40224429399274
EPAS1,ADGRG1,50.626713921579615
ANXA1,VIM,50.118162337157116
PROX1,KLHL4,49.027892730604215
HOXD9,MMRN1,48.654354805922644
ANXA1,TNFRSF12A,48.26561857650068
PIR,DBNDD2,48.20801645117358
TBX1,CCDC80,48.08428939033201
TBX1,NR2F2,47.029821169432594
ANXA1,ECSCR,46.971889242676
HOXD9,PRELP,45.91758283141824
NR2F2,FXYD6,45.405414759419166
ANXA1,FN1,44.282810708403
PROX1,SEMA3D,44.027464882928456
TWIST1,AXL,44.000803469215356
KLF9,KLHL4,43.686461150817124
HOXD9,TBX1,43.65352431330513
TBX1,MMRN1,43.56468443923678
PROX1,PTGFRN,43.28918464183134
SOX15,TIMP4,43.287556782137294
SOX7,CDH13,43.19611097087262
TCF15,CLTB,42.81865593902526
ANXA1,DBNDD2,42.451519494243186
EPAS1,ESAM,42.41076749145945
SOX17,EPAS1,42.22598396409142
EPAS1,SOX17,42.19801747261993
TCF15,RGCC,42.126003712336775
TBX1,CCL21,41.51418225
PROX1,FLT4,41.36683269871142
SOX17,TSPAN8,41.36123376678215
FOSL1,HMOX1,41.35945678785078
FOS,FOSB,41.32545734879294
PRNP,PDGFB,41.286525425012414
MECOM,MKI67,41.28163776247724
PROX1,TBX1,41.25087373105017
HOXD9,STARD10,41.21838038877386
EPAS1,ADGRF5,41.16332315901971
TBX1,SCN1B,41.046280681811794
TCF15,ITGA6,40.92041973953171
PROX1,TSPAN18,40.53333838582213
EPAS1,CYYR1,40.264573870204835
PIR,S100A6,40.088142389765736
DAB2,TMX4,39.9680785243334
FOXC1,CCDC80,39.68119646655399
TBX1,SNCG,39.618705419794864
FOSB,FOS,39.611413319061455
TCF15,ADGRF5,39.449459737863236
DAB2,NID1,39.437038099545845
PROX1,HIGD1A,39.215984124445086
FOSL1,ERRFI1,39.18074841586488
TBX1,CD9,39.05042770295713
HIVEP3,PTGFRN,38.766136742185964
ANXA1,PKP1,38.61226610953785
TBX1,IGSF3,38.5237794588488
ANXA1,CD200,37.91359258219283
NR2F2,LBP,37.71150659413562
SOX17,CXCL12,37.70455124049339
SNAI1,ADAMTS4,37.56518432140071
TBX1,KANK3,37.54054641126523
PROX1,UNC5B,37.52433294567835
PHLDA2,EGLN3,37.20847648623578
ANXA1,SEC11C,36.788523404181625
ANXA1,EMP1,36.67289453975484
ANXA1,DBI,36.64063558493494
HTATIP2,VIM,36.52479084984805
ODC1,TUBB6,36.523565733167565
NR2F2,RELN,36.49349325033162
TBX1,PLEKHA4,36.30598100288943
