Gene_name,Control1,Control2,Control3,Treat1,Treat2,Treat3
HSPB11,26.623466,21.615425,13.463866,16.486864,16.060949,17.465746
SRSF11,1.854543,1.465497,0.999349,1.562061,1.304120,1.961083
ZRANB2,2.509249,1.380249,0.638656,0.996579,1.634362,1.240435
ODF2L,0.191475,0.106128,0.064125,0.097756,0.100405,0.101128
RPL5,8.708465,9.665560,9.998042,11.407354,9.680460,10.569594
SARS,39.253391,27.616093,18.000708,23.878456,25.250666,22.064638
PSMA5,9.205293,7.370872,5.954154,5.565976,5.169223,7.403206
DENND2D,5.095675,4.322187,3.416721,4.577209,5.028498,5.208418
ATP5F1,87.651749,67.738136,28.928024,69.563995,77.604065,70.103264
ATP1A1,8.352884,8.894047,5.975278,8.378485,5.450051,8.151481
CD2,0.045763,0.010656,0.019434,0.018860,0.043386,0.029841
ANP32E,5.013658,5.161514,5.699027,4.023182,2.679229,4.477022
CTSS,3.641752,2.932762,0.823984,1.429027,1.752853,1.975928
THEM4,4.676261,3.262305,5.342909,2.483851,3.457502,3.944992
S100A10,4.753474,7.168103,10.741871,5.132893,4.694495,4.956097
S100A11,8.061760,8.519287,5.994925,6.761618,6.316136,7.260657
S100A9,2.279762,2.885798,1.743742,2.122585,1.783411,2.328239
S100A8,4.327527,3.903838,1.995709,3.986186,3.026748,4.052563
ILF2,4.877378,4.895078,4.350260,4.210949,3.206575,4.401865
RPS27,4.171442,2.725496,3.460922,2.013295,2.071970,2.285482
HAX1,0.011275,0.015199,0.000000,0.000000,0.000252,0.000000
PBXIP1,0.000000,0.000844,0.000000,0.001701,0.004627,0.003757
KRTCAP2,1.372999,1.300160,1.464670,1.445733,1.340663,1.365188
FDPS,9.692337,8.871056,6.570746,9.014935,7.332655,8.684790
DAP3,56.058788,39.872913,16.453314,39.722023,39.842918,35.870491
MNDA,3.715311,2.419773,5.527081,2.405959,1.869704,2.725660
PYHIN1,6.095995,6.413033,7.185629,6.460753,5.701399,6.864115
CD84,2.169242,2.902763,5.791102,4.581048,3.595878,4.111033
CD48,0.130935,0.137150,0.013518,0.183669,0.115188,0.061376
LY9,6.844436,8.401076,0.275311,3.729684,1.008909,2.886752
PFDN2,0.750655,1.096732,0.454510,0.945024,0.730293,0.684944
UFC1,0.205723,0.413287,0.179285,0.740317,0.958904,0.591594
SDHC,0.084818,0.070850,0.000000,0.011213,0.014353,0.042034
FCGR3B,0.638935,1.175534,1.472116,1.559066,1.129508,0.980588
MGST3,0.070032,0.033888,0.029165,0.016480,0.032490,0.029727
TMCO1,5.799427,5.643573,4.389503,6.251031,4.022745,6.459845
CD247,1.608987,1.077533,0.520116,0.322249,1.118603,1.361091
PRDX6,13.311022,9.545193,6.199443,10.119913,9.004189,8.806206
CACYBP,0.976588,1.670859,4.074053,2.211086,1.519524,2.026189
RGS2,1.331965,1.405364,3.140345,1.846034,1.567449,1.695475
SNRPE,11.034571,9.442373,5.245797,7.674000,6.957748,7.643343
NUCKS1,20.724539,32.023964,37.125175,31.843121,25.526461,23.466446
RAB29,14.200280,8.865245,6.644388,7.232918,7.605278,8.091863
FCMR,4.281109,5.396284,2.963504,4.468721,3.482134,4.161105
