Cluster,Group,Description,GeneRatio,BgRatio,P values,Padj,LOGP,GeneID,Count
Cluster1,Asymptomatic,neutrophil activation,0.146056475,498/18670,8.50E-71,4.64E-67,66 ,ABCA13/ADAM8/ADGRE3/ADGRE5/ADGRG3/ALOX5/ANO6/ANPEP/ANXA3/ARHGAP9/ARL8A/ATP8B4/AZU1/BPI/BRI3/BST1/C5AR1/CAMP/CANT1/CD14/CD177/CD300A/CD55/CD63/CD68/CDA/CEACAM1/CEACAM3/CEACAM6/CEACAM8/CHI3L1/CKAP4/CLEC4D/CPPED1/CR1/CRISP3/CRISPLD2/CTSA/CTSD/CTSZ/CXCL1/CXCL8/CXCR1/CXCR2/CYSTM1/DEFA1/DEFA1B/DEFA4/DOK3/ELANE/F2RL1/FCAR/FCER1G/FCGR2A/FCGR3B/FGR/FOLR3/FPR1/FPR2/FTH1/GALNS/GCA/GMFG/GPR84/GSN/HP/HPSE/HSPA1A/HSPA1B/HSPA6/IGF2R/IL18RAP/IMPDH1/IQGAP1/ITGAM/ITGAX/LAMP2/LAMTOR1/LCN2/LILRA2/LILRB2/LILRB3/LRG1/LRMP/LTF/MAPK14/MCEMP1/MGAM/MGST1/MME/MMP25/MMP8/MMP9/MNDA/MPO/MS4A3/NBEAL2/NFAM1/OLFM4/OSCAR/OSTF1/P2RX1/PADI2/PECAM1/PGLYRP1/PGRMC1/PKM/PLAUR/PLEKHO2/PRAM1/PREX1/PRKCD/PTAFR/PTPRN2/PYGL/QPCT/QSOX1/RAB3D/RAB44/RHOG/RNASE2/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SDCBP/SELL/SERPINA1/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SIRPB1/SLC11A1/SLC15A4/SLC2A3/SLC2A5/SLPI/TCIRG1/TCN1/TIMP2/TLR2/TNFAIP6/TYROBP/VCL/VNN1/YPEL5,150
Cluster1,Asymptomatic,neutrophil activation involved in immune response,0.142161636,488/18670,2.02E-68,5.51E-65,64 ,ABCA13/ADAM8/ADGRE3/ADGRE5/ADGRG3/ALOX5/ANO6/ANPEP/ANXA3/ARHGAP9/ARL8A/ATP8B4/AZU1/BPI/BRI3/BST1/C5AR1/CAMP/CANT1/CD14/CD177/CD300A/CD55/CD63/CD68/CDA/CEACAM1/CEACAM3/CEACAM6/CEACAM8/CHI3L1/CKAP4/CLEC4D/CPPED1/CR1/CRISP3/CRISPLD2/CTSA/CTSD/CTSZ/CXCL1/CXCR1/CXCR2/CYSTM1/DEFA1/DEFA1B/DEFA4/DOK3/ELANE/FCAR/FCER1G/FCGR2A/FCGR3B/FGR/FOLR3/FPR1/FPR2/FTH1/GALNS/GCA/GMFG/GPR84/GSN/HP/HPSE/HSPA1A/HSPA1B/HSPA6/IGF2R/IMPDH1/IQGAP1/ITGAM/ITGAX/LAMP2/LAMTOR1/LCN2/LILRA2/LILRB2/LILRB3/LRG1/LRMP/LTF/MAPK14/MCEMP1/MGAM/MGST1/MME/MMP25/MMP8/MMP9/MNDA/MPO/MS4A3/NBEAL2/NFAM1/OLFM4/OSCAR/OSTF1/P2RX1/PADI2/PECAM1/PGLYRP1/PGRMC1/PKM/PLAUR/PLEKHO2/PRAM1/PRKCD/PTAFR/PTPRN2/PYGL/QPCT/QSOX1/RAB3D/RAB44/RHOG/RNASE2/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SDCBP/SELL/SERPINA1/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SIRPB1/SLC11A1/SLC15A4/SLC2A3/SLC2A5/SLPI/TCIRG1/TCN1/TIMP2/TLR2/TNFAIP6/TYROBP/VCL/VNN1/YPEL5,146
Cluster1,Asymptomatic,neutrophil degranulation,0.141187926,485/18670,6.78E-68,1.23E-64,64 ,ABCA13/ADAM8/ADGRE3/ADGRE5/ADGRG3/ALOX5/ANO6/ANPEP/ANXA3/ARHGAP9/ARL8A/ATP8B4/AZU1/BPI/BRI3/BST1/C5AR1/CAMP/CANT1/CD14/CD177/CD300A/CD55/CD63/CD68/CDA/CEACAM1/CEACAM3/CEACAM6/CEACAM8/CHI3L1/CKAP4/CLEC4D/CPPED1/CR1/CRISP3/CRISPLD2/CTSA/CTSD/CTSZ/CXCL1/CXCR1/CXCR2/CYSTM1/DEFA1/DEFA1B/DEFA4/DOK3/ELANE/FCAR/FCER1G/FCGR2A/FCGR3B/FGR/FOLR3/FPR1/FPR2/FTH1/GALNS/GCA/GMFG/GPR84/GSN/HP/HPSE/HSPA1A/HSPA1B/HSPA6/IGF2R/IMPDH1/IQGAP1/ITGAM/ITGAX/LAMP2/LAMTOR1/LCN2/LILRB2/LILRB3/LRG1/LRMP/LTF/MAPK14/MCEMP1/MGAM/MGST1/MME/MMP25/MMP8/MMP9/MNDA/MPO/MS4A3/NBEAL2/NFAM1/OLFM4/OSCAR/OSTF1/P2RX1/PADI2/PECAM1/PGLYRP1/PGRMC1/PKM/PLAUR/PLEKHO2/PRAM1/PRKCD/PTAFR/PTPRN2/PYGL/QPCT/QSOX1/RAB3D/RAB44/RHOG/RNASE2/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SDCBP/SELL/SERPINA1/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SIRPB1/SLC11A1/SLC15A4/SLC2A3/SLC2A5/SLPI/TCIRG1/TCN1/TIMP2/TLR2/TNFAIP6/TYROBP/VCL/VNN1/YPEL5,145
Cluster1,Mild,neutrophil mediated immunity,0.142161636,499/18670,5.54E-67,7.55E-64,63 ,ABCA13/ADAM8/ADGRE3/ADGRE5/ADGRG3/ALOX5/ANO6/ANPEP/ANXA3/ARHGAP9/ARL8A/ATP8B4/AZU1/BPI/BRI3/BST1/C5AR1/CAMP/CANT1/CD14/CD177/CD300A/CD55/CD63/CD68/CDA/CEACAM1/CEACAM3/CEACAM6/CEACAM8/CHI3L1/CKAP4/CLEC4D/CPPED1/CR1/CRISP3/CRISPLD2/CTSA/CTSD/CTSZ/CXCL1/CXCR1/CXCR2/CYSTM1/DEFA1/DEFA1B/DEFA4/DOK3/ELANE/F2RL1/FCAR/FCER1G/FCGR2A/FCGR3B/FGR/FOLR3/FPR1/FPR2/FTH1/GALNS/GCA/GMFG/GPR84/GSN/HP/HPSE/HSPA1A/HSPA1B/HSPA6/IGF2R/IMPDH1/IQGAP1/ITGAM/ITGAX/LAMP2/LAMTOR1/LCN2/LILRB2/LILRB3/LRG1/LRMP/LTF/MAPK14/MCEMP1/MGAM/MGST1/MME/MMP25/MMP8/MMP9/MNDA/MPO/MS4A3/NBEAL2/NFAM1/OLFM4/OSCAR/OSTF1/P2RX1/PADI2/PECAM1/PGLYRP1/PGRMC1/PKM/PLAUR/PLEKHO2/PRAM1/PRKCD/PTAFR/PTPRN2/PYGL/QPCT/QSOX1/RAB3D/RAB44/RHOG/RNASE2/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SDCBP/SELL/SERPINA1/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SIRPB1/SLC11A1/SLC15A4/SLC2A3/SLC2A5/SLPI/TCIRG1/TCN1/TIMP2/TLR2/TNFAIP6/TYROBP/VCL/VNN1/YPEL5,146
Cluster1,Mild,response to molecule of bacterial origin,0.073028238,343/18670,1.89E-25,2.06E-22,22 ,ABCA1/ADAM9/ADM/ALPL/BMP6/BPI/C5AR1/CCL3/CD14/CD55/CD68/CDK19/CEBPB/CSF2RB/CXCL1/CXCL8/DEFA1/DEFA1B/DEFA3/DEFA4/ELANE/FOS/HCK/ICAM1/IL1B/IL1RN/JUN/JUNB/JUND/LCN2/LILRA2/LILRB2/LITAF/LTF/LY96/LYN/MAPK14/MAPK3/MAPKAPK2/MGST1/MPO/NFKB2/NFKBIA/NOCT/NOD2/NOTCH1/NR1H2/PAF1/PDE4B/PELI1/PLCG2/PTAFR/PTGIR/PTGS2/RARA/RIPK2/S100A8/SBNO2/SELP/SIRPA/SLC11A1/SLPI/SPARC/TBXA2R/THBD/TLR1/TLR2/TLR4/TLR6/TLR9/TNF/TNFAIP3/TRIB1/ZC3H12A/ZFP36,75
Cluster1,Mild,response to lipopolysaccharide,0.070107108,330/18670,2.07E-24,1.88E-21,21 ,ABCA1/ADAM9/ADM/ALPL/BMP6/BPI/C5AR1/CCL3/CD14/CD55/CD68/CDK19/CEBPB/CSF2RB/CXCL1/CXCL8/DEFA1/DEFA1B/DEFA3/DEFA4/ELANE/FOS/HCK/ICAM1/IL1B/IL1RN/JUN/JUNB/JUND/LCN2/LILRA2/LILRB2/LITAF/LTF/LY96/LYN/MAPK14/MAPK3/MAPKAPK2/MGST1/MPO/NFKB2/NFKBIA/NOCT/NOD2/NOTCH1/NR1H2/PAF1/PDE4B/PELI1/PLCG2/PTAFR/PTGIR/PTGS2/RARA/RIPK2/S100A8/SBNO2/SELP/SIRPA/SLC11A1/SLPI/SPARC/TBXA2R/THBD/TLR2/TLR4/TNF/TNFAIP3/TRIB1/ZC3H12A/ZFP36,72
Cluster1,Severe,positive regulation of cytokine production,0.080817916,464/18670,6.23E-22,4.85E-19,18 ,ADAM8/APP/ATF4/AZU1/BCL3/C5AR1/CCDC88B/CCL3/CD14/CD46/CD83/CEBPB/CLEC4E/CLEC7A/CLU/DDIT3/EGR1/ELANE/EREG/F2RL1/FAM49B/FCER1G/FFAR2/FGR/FLOT1/HGF/HIF1A/HMOX1/HPSE/HSPA1A/HSPA1B/IL17RA/IL18R1/IL1B/IL1R1/IL1RAP/IL1RL1/IL1RN/IL4R/IL6R/IRF1/LGALS9C/LILRA2/LILRA5/LILRB2/LRRK2/LY96/MAPK14/MAPK3/MAPKAPK2/MDK/MMP8/MNDA/NFAM1/NFKB2/NLRP12/NOD2/NR4A3/OSM/PANX2/PDE4B/PELI1/PLCG2/PRKD2/PTAFR/PTGS2/RARA/RIPK2/RSAD2/SEMA7A/SLC11A1/SPHK1/STAT3/SULF2/THBS1/TLR1/TLR2/TLR4/TLR6/TLR8/TLR9/TNF/TYROBP,83
Cluster1,Severe,leukocyte migration,0.081791626,499/18670,2.01E-20,1.37E-17,17 ,ADAM8/ADGRE2/ANO6/APP/AZU1/BST1/C5AR1/C5AR2/CAMK1D/CCL3/CCL3L1/CCL3L3/CCL4L1/CCR1/CD177/CD300A/CD9/CEACAM1/CEACAM3/CEACAM6/CEACAM8/CKLF/CSF1/CSF3R/CXCL1/CXCL16/CXCL8/CXCR1/CXCR2/DAPK2/DEFA1/DEFA1B/DUSP1/DYSF/ELANE/ESAM/F11R/F2RL1/FCER1G/FFAR2/FPR2/FUT7/GP6/HCK/HMOX1/ICAM1/IL17RA/IL1B/IL1R1/IL1RN/IL6R/ITGA2B/ITGA5/ITGAM/ITGAX/ITGB3/JAML/LYN/MAPK14/MAPK3/MDK/NLRP12/PADI2/PDE4B/PECAM1/PIK3CD/PREX1/PROS1/PTAFR/S100A12/S100A8/S100A9/SDC4/SELL/SELP/SIRPA/SLC16A3/SMPD3/THBD/THBS1/TNF/TNFSF14/TREM1/VEGFA,84
Cluster1,Severe,cell chemotaxis,0.0593963,304/18670,6.37E-19,3.86E-16,15 ,ADAM8/ADGRE2/ANO6/ARRB2/AZU1/BST1/C5AR1/C5AR2/CAMK1D/CCL3/CCL3L1/CCL3L3/CCL4L1/CCR1/CCR3/CKLF/CSF1/CSF3R/CXCL1/CXCL16/CXCL8/CXCR1/CXCR2/DAPK2/DEFA1/DEFA1B/DOCK4/DUSP1/DYSF/EGR3/EPHB1/F2RL1/FCER1G/FFAR2/FPR2/HBEGF/HGF/IL17RA/IL1B/IL1RN/IL6R/JAML/LYN/MAPK14/MAPK3/MDK/NOTCH1/NR4A1/PADI2/PDE4B/PIK3CD/PREX1/PRKCD/PRKD2/RHOG/S100A12/S100A8/S100A9/THBS1/TNFSF14/VEGFA,61
Cluster1,Severe,cellular response to biotic stimulus,0.051606621,236/18670,7.33E-19,4.00E-16,15 ,ABCA1/ADAM9/BMP6/BPI/CCL3/CD14/CD55/CD68/CDK19/CEBPB/CLEC7A/CXCL1/CXCL8/DDIT3/DEFA1/DEFA1B/DEFA3/DEFA4/HCK/HSPA5/ICAM1/IL1B/IL1RN/LCN2/LILRA2/LILRB2/LITAF/LTF/LY96/LYN/MAPK14/MAPK3/NFKBIA/NOD2/NR1H2/PAF1/PDE4B/PPP1R15B/PTAFR/RARA/RIPK2/SBNO2/SIRPA/TBXA2R/TLR1/TLR2/TLR4/TLR6/TNF/TNFAIP3/TRIB1/ZC3H12A/ZFP36,53
