case_id,Myeloid,Mono
C3L-00189,8.047260323,3.11111416
C3L-01687,6.839903666,5.3489066
C3L-01971,6.157272969,4.928287054
C3L-02109,4.54644375,4.239216208
C3L-02112,8.140794655,5.21262937
C3L-02115,5.869053124,4.412817617
C3L-02890,7.550749859,10.16919847
C3L-03394,7.845321865,7.25172109
C3L-03395,5.865030689,7.61194253
C3L-04495,6.891027639,1.511850526
C3L-04853,5.144237532,0
C3N-00303,7.196990647,3.2948189
C3N-00512,7.256094092,3.32543577
C3N-00513,7.730496271,3.55854693
C3N-01012,7.376244973,9.1096181
C3N-01166,6.784532805,9.62823838
C3N-01380,6.998796003,8.931941362
C3N-01502,5.08528452,10.04759477
C3N-01997,7.004862414,2.087494126
C3N-01998,6.140241201,2.143806544
C3N-02998,7.329775782,2.147553756
C3N-03190,6.600267077,10.11601124
C3N-03211,6.315150154,10.32611664
C3N-03428,8.775129598,10.81272965
C3N-03439,6.961695736,11.11207854
C3N-03440,7.046687534,0
C3N-03670,6.970909042,0
C3N-03840,6.198283928,2.04270309
C3L-00017,6.807187391,3.18606586
C3L-00102,6.047087752,2.597584003
C3L-00277,3.803905578,2.625528642
C3L-00401,6.956690875,3.97289988
C3L-00589,6.110453519,0
C3L-00598,5.627739411,2.68304127
C3L-00599,6.986817934,2.166441067
C3L-00622,5.319177385,3.25262805
C3L-00625,4.713598882,2.621459113
C3L-00640,8.160586355,3.5666749
C3L-00819,4.749204987,2.537573329
C3L-00881,7.864545631,3.55511547
C3L-00928,7.145547373,3.42106346
C3L-01031,7.811962035,3.15446118
C3L-01036,5.496450221,0
C3L-01037,7.809083634,0
C3L-01051,6.080008131,4.581762125
C3L-01052,6.746476987,5.49725631
C3L-01053,6.97522066,5.2272661
C3L-01054,6.642835428,5.31583339
C3L-01124,7.061180856,4.920590766
C3L-01328,7.110910322,5.5086955
C3L-01453,6.162387788,5.40826929
C3L-01598,6.646002601,5.57603878
C3L-01637,7.120022381,5.48776611
C3L-01662,6.82538335,4.890585252
C3L-01689,5.540174888,0
C3L-01703,7.718591846,5.32593648
C3L-02116,6.93407125,5.2120997
C3L-02118,6.852404007,9.672020696
C3L-02463,7.374874595,9.596453538
C3L-02604,5.634359611,10.19273381
C3L-02606,5.596539125,10.38717922
C3L-02610,7.255563357,9.840947386
C3L-02613,5.854139083,0
C3L-02701,5.39255673,10.47057786
C3L-02809,5.769815638,10.01737798
C3L-02897,6.935975013,10.00871107
C3L-02899,6.165494459,10.39514218
C3L-03123,6.988569323,11.26656225
C3L-03356,7.184124755,10.56035032
C3L-03388,5.917060229,6.956847283
C3L-03628,6.982018287,7.53846952
C3L-03630,6.598671924,0
C3L-03632,6.421851991,6.654599925
C3L-03635,5.195667814,7.03486593
C3L-03639,4.345826115,7.47944809
C3L-03743,5.864307238,6.873964273
C3L-04027,7.84652216,8.41141654
C3L-04072,5.606546622,7.09983953
C3L-04080,6.497712194,6.902770618
C3L-04473,7.606354783,1.574966773
C3L-04475,5.054202163,1.346555452
C3L-04479,6.132329091,1.399074716
C3L-04848,7.667794296,1.474018453
C3N-00198,7.114735134,1.458846767
C3N-00249,5.973086113,1.319514294
C3N-00302,4.645190548,2.927926949
C3N-00436,7.717688944,3.72326698
C3N-00511,7.796567058,2.723020718
C3N-00514,8.927051195,3.71221308
C3N-00516,7.525262419,2.987324647
C3N-00517,7.466363017,3.06333645
C3N-00518,7.233346238,3.64942399
C3N-00709,5.155054551,0
C3N-00957,5.612977287,9.45630806
C3N-01011,7.547129717,8.954911095
C3N-01165,6.313642063,10.01331805
C3N-01167,4.622731039,8.933191892
C3N-01168,5.873114379,9.80299779
C3N-01375,5.640996558,9.58745521
C3N-01381,5.123209541,9.02348385
C3N-01382,7.184245012,9.57782004
C3N-01383,7.045474749,9.26828564
C3N-01388,5.700031505,0
C3N-01714,6.886360033,2.123345142
C3N-01715,5.48383772,2.170615596
C3N-01716,6.453517205,2.166636736
C3N-01719,6.296943907,2.197583178
C3N-02010,5.971903008,1.79068714
C3N-02295,7.165522615,2.113278654
C3N-02573,6.536089249,2.102047058
C3N-02579,6.134225854,1.979669397
C3N-02585,6.261189073,2.019273302
C3N-02589,6.538971685,0
C3N-02592,6.571299374,2.111777296
C3N-02768,6.775596325,2.038609984
C3N-02940,7.238769192,2.085822768
C3N-02944,6.766294148,2.160897752
C3N-02971,7.118716659,10.33599204
C3N-03000,4.539932685,1.973340815
C3N-03006,6.588663302,9.956474588
C3N-03007,5.835801567,10.33599204
C3N-03039,5.460226147,9.95541222
C3N-03061,5.74361184,10.57166504
C3N-03069,5.280800502,10.60099117
C3N-03086,6.993460448,0
C3N-03173,5.181246005,9.866449984
C3N-03426,4.571522528,10.25593358
C3N-03430,4.075973854,10.98417398
C3N-03665,6.600323865,0
C3N-03666,4.620546651,0
C3N-03754,5.772347355,0
C3N-03780,6.917304106,0
C3N-03839,7.087587765,0
C3N-03853,5.691487989,2.111777296
C3N-03884,5.126097845,2.038609984
C3N-04119,6.321174494,2.085822768
C3N-04126,6.041691286,2.160897752
C3N-04282,6.342185822,2.084998848
C3N-04283,6.303278769,2.147553756
C3N-04284,4.462617066,1.973340815
