"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,7.95191482744261,0.891,0.012,0,"Endo","ADGRL4"
"2",0,8.95409697255352,0.855,0.009,0,"Endo","PLVAP"
"3",0,5.77662810199698,0.895,0.05,0,"Endo","FLT1"
"4",0,5.63256276844125,0.918,0.09,0,"Endo","AQP1"
"5",0,5.55045050113185,0.871,0.073,0,"Endo","MCTP1"
"6",0,7.81308221901496,0.919,0.053,0,"Fib","LUM"
"7",0,7.96690853460882,0.862,0.016,0,"Fib","DPT"
"8",0,7.20899289990885,0.921,0.154,0,"Fib","COL1A1"
"9",0,7.3383663552672,0.997,0.249,0,"Fib","DCN"
"10",0,7.64411972389292,0.946,0.257,0,"Fib","CFD"
"11",0,6.44687908153991,0.983,0.14,0,"Musc","TAGLN"
"12",0,7.479944384717,0.887,0.075,0,"Musc","ACTA2"
"13",0,5.27208652197594,0.827,0.081,0,"Musc","MYLK"
"14",0,5.54802726549623,0.971,0.244,0,"Musc","MYL9"
"15",0,5.54368754129715,0.951,0.226,0,"Musc","TPM2"
"16",0,6.85409754418213,0.951,0.04,0,"Ker","DSC3"
"17",0,6.92260129205135,0.977,0.128,0,"Ker","SFN"
"18",0,7.01113867550476,0.839,0.069,0,"Ker","LY6D"
"19",0,6.82247876180486,0.895,0.221,0,"Ker","KRT5"
"20",0,7.09145265384494,0.924,0.436,0,"Ker","KRT14"
"21",0,8.3248341655863,0.924,0.015,0,"APCs","AIF1"
"22",0,7.5025472405176,0.907,0.014,0,"APCs","PLEK"
"23",0,9.39001400251034,0.931,0.047,0,"APCs","LYZ"
"24",0,6.58645021434617,0.906,0.067,0,"APCs","GPR183"
"25",0,7.22602407915654,0.825,0.009,0,"APCs","LST1"
"26",0,5.09917659571986,0.98,0.117,0,"Tcell","PTPRC"
"27",0,5.53560153404984,0.806,0.063,0,"Tcell","CD52"
"28",0,5.3882007104474,0.829,0.114,0,"Tcell","IL32"
"29",0,4.64353307436993,0.812,0.12,0,"Tcell","CXCR4"
"30",0,3.36155060423663,0.832,0.311,0,"Tcell","ARHGDIB"
"31",0,11.514051487946,0.956,0.004,0,"Mast","CPA3"
"32",0,8.88710087740457,0.972,0.084,0,"Mast","HPGD"
"33",0,11.1459956597253,0.873,0.005,0,"Mast","CTSG"
"34",0,10.9923816254538,0.864,0.004,0,"Mast","TPSAB1"
"35",0,10.4819067855492,0.828,0.005,0,"Mast","TPSB2"
"36",0,10.7139016006771,0.982,0.011,0,"LY","TFF3"
"37",0,9.99659225545762,0.973,0.037,0,"LY","CCL21"
"38",0,7.18961838606886,0.988,0.07,0,"LY","MMRN1"
"39",0,5.16521052130454,0.952,0.118,0,"LY","FABP4"
"40",0,6.34137244015021,0.865,0.047,0,"LY","PROX1"
"41",0,11.1285844979486,0.972,0.018,0,"Mela","DCT"
"42",0,10.8895236839721,0.928,0.03,0,"Mela","TYRP1"
"43",0,10.2562113995856,0.9,0.027,0,"Mela","PMEL"
"44",0,10.4852210996889,0.844,0.004,0,"Mela","TRPM1"
"45",0,10.6784392742199,0.817,0.002,0,"Mela","SLC24A5"
