gene,disease1,disease2,disease3,disease4,disease5,disease6,disease7,disease8
gene1,yes,no,no,no,no,no,no,no
gene2,no,no,no,yes,no,no,no,no
gene3,no,no,no,yes,no,no,no,no
gene4,no,no,no,yes,no,no,no,no
gene5,yes,no,no,yes,no,no,no,yes
gene6,no,no,yes,no,no,yes,no,no
gene7,no,no,no,no,no,no,no,no
gene8,no,yes,no,no,no,no,no,no
gene9,no,no,no,no,no,no,no,no
gene10,no,no,no,yes,no,no,no,no
gene11,no,yes,yes,no,yes,no,no,no
gene12,no,no,no,no,no,no,no,no
gene13,no,no,no,no,no,no,no,no
gene14,no,no,yes,no,yes,no,no,no
gene15,no,no,no,no,no,no,no,yes
gene16,no,no,no,no,no,no,yes,no
gene17,no,yes,no,no,yes,no,no,no
gene18,yes,yes,no,no,no,no,no,no
gene19,no,yes,no,yes,no,no,no,no
gene20,no,yes,no,no,no,yes,no,no
gene21,no,yes,no,no,no,no,no,yes
gene22,no,yes,no,no,no,no,no,no
