Gene_name,ST1,ST2,ST3,TZ1,TZ2,TZ3,TL1,TL2,TL3,TL4,TL5,TS1,TS2,TS3,TS4,TQ1,TQ2,TQ3
HSPB11,26.623466,21.615425,13.463866,16.486864,16.060949,17.465746,2.578852,1.65075,2.888607,1.976194,1.751502,2.107988,4.769815,9.017333,12.25056,9.493795,6.923323,8.548933
SRSF11,1.854543,1.465497,0.999349,1.562061,1.30412,1.961083,30.041443,24.511257,17.130224,17.299818,17.656954,22.155062,6.294785,7.402781,4.866598,6.111874,5.305847,6.457012
ZRANB2,2.509249,1.380249,0.638656,0.996579,1.634362,1.240435,84.082458,82.477287,93.242416,76.628395,88.638054,77.561928,19.893677,19.983624,31.932253,20.055801,18.813293,21.968081
ODF2L,0.191475,0.106128,0.064125,0.097756,0.100405,0.101128,0.536849,0.266676,0.128898,0.172612,0.269793,0.295487,9.210574,10.722719,6.906307,10.462979,10.600611,9.060088
RPL5,8.708465,9.66556,9.998042,11.407354,9.68046,10.569594,0.02953,0,0.026895,0.010745,0.014384,0,7.72143,5.207976,3.064237,4.074678,3.396829,3.37746
SARS,39.253391,27.616093,18.000708,23.878456,25.250666,22.064638,31.410704,37.339458,26.709742,24.728872,30.432579,24.596542,2.483371,2.118293,1.080937,6.934607,1.822675,2.087293
PSMA5,9.205293,7.370872,5.954154,5.565976,5.169223,7.403206,9.700263,16.188192,8.200604,12.531581,13.566342,10.747544,0.149097,0.104317,0.116002,0.061155,0.075969,0.054038
DENND2D,5.095675,4.322187,3.416721,4.577209,5.028498,5.208418,2.095159,2.937475,1.865864,3.305578,1.835603,3.087895,19.727486,18.411144,7.318219,10.262629,10.622218,13.342767
ATP5F1,87.651749,67.738136,28.928024,69.563995,77.604065,70.103264,3.930428,6.759473,4.532243,9.083838,4.73755,6.067962,17.274679,13.977661,5.100636,16.756121,16.475845,14.911207
ATP1A1,8.352884,8.894047,5.975278,8.378485,5.450051,8.151481,13.350268,9.861547,14.305051,20.441158,11.59756,16.653967,86.924492,67.823143,18.528481,76.942253,91.466202,67.35183
CD2,0.045763,0.010656,0.019434,0.01886,0.043386,0.029841,10.316669,8.448512,6.745488,7.798415,7.811625,8.422802,7.545705,7.145803,5.824571,6.955147,5.772538,7.142202
ANP32E,5.013658,5.161514,5.699027,4.023182,2.679229,4.477022,8.837487,9.651259,9.792855,10.285944,9.189125,9.106748,2.44324,2.918149,3.151661,2.038631,1.421379,3.265301
CTSS,3.641752,2.932762,0.823984,1.429027,1.752853,1.975928,0.721946,0.248318,0.178913,0.162527,0.274354,0.136231,27.337128,23.088268,17.289228,15.059489,15.140438,38.452564
THEM4,4.676261,3.262305,5.342909,2.483851,3.457502,3.944992,34.905621,24.928434,18.779943,25.692461,26.566288,23.797367,5.663515,8.236071,8.286411,8.586734,6.584495,8.501183
S100A10,4.753474,7.168103,10.741871,5.132893,4.694495,4.956097,18.351526,15.528274,7.931077,12.155105,13.099126,11.987023,11.641436,10.106611,9.725892,10.010947,9.608241,8.888229
S100A11,8.06176,8.519287,5.994925,6.761618,6.316136,7.260657,91.571823,121.250557,40.609768,129.773621,152.364441,148.774307,0.466418,0.207061,0.006943,0.101999,0,0.102252
S100A9,2.279762,2.885798,1.743742,2.122585,1.783411,2.328239,6.510613,5.723873,2.296615,3.948021,4.43512,4.295173,1.511795,1.546258,0.439232,1.039418,1.739346,0.954683
S100A8,4.327527,3.903838,1.995709,3.986186,3.026748,4.052563,4.838933,3.207565,4.85397,5.12689,3.837857,5.852046,2.388475,2.765414,2.493031,3.101801,2.79972,2.962268
ILF2,4.877378,4.895078,4.35026,4.210949,3.206575,4.401865,2.101384,0.066816,3.129544,2.606178,0.442385,4.578216,0.058498,0.076559,0.017863,0.037388,0.076443,0.049087
RPS27,4.171442,2.725496,3.460922,2.013295,2.07197,2.285482,17.076883,15.442681,7.691702,12.493103,12.65863,11.283791,11.598589,10.689699,3.353442,4.737568,4.570783,5.308988
HAX1,0.011275,0.015199,0,0,0.000252,0,9.034947,4.512961,3.294235,5.310515,4.896779,3.69609,22.90189,18.450022,3.93053,18.920546,17.871698,14.436835
PBXIP1,0,0.000844,0,0.001701,0.004627,0.003757,48.73349,51.441025,28.421814,36.834377,29.291571,36.977528,25.971689,39.053951,27.418962,32.59362,30.719086,22.361259
KRTCAP2,1.372999,1.30016,1.46467,1.445733,1.340663,1.365188,4.653342,5.415516,9.217987,7.296537,5.364603,7.960084,5.952596,2.242894,0.824061,5.118455,5.115253,1.175919
FDPS,9.692337,8.871056,6.570746,9.014935,7.332655,8.68479,7.838068,5.364077,5.022947,4.647881,5.485219,4.148611,0.303028,0.627432,0.075163,0.606088,0.717705,0.37857
DAP3,56.058788,39.872913,16.453314,39.722023,39.842918,35.870491,36.07983,31.729137,12.252444,33.548088,32.521351,32.681034,13.542959,10.191914,5.280256,7.069746,9.056942,8.884063
MNDA,3.715311,2.419773,5.527081,2.405959,1.869704,2.72566,0.293201,0.356954,0.301693,0.370596,0.421596,0.2602,16.464104,13.607695,14.202702,11.265058,9.77895,12.802767
PYHIN1,6.095995,6.413033,7.185629,6.460753,5.701399,6.864115,5.053267,7.659856,8.013301,9.156986,8.098025,7.66163,3.625453,3.694147,3.337322,4.516361,3.809049,3.152228
CD84,2.169242,2.902763,5.791102,4.581048,3.595878,4.111033,0.867643,0.389411,2.830425,1.20422,2.643143,0.660442,0.154184,1.062345,0.329052,0.496957,0.276862,0.727924
CD48,0.130935,0.13715,0.013518,0.183669,0.115188,0.061376,2.098897,1.014096,0.407251,0.829671,0.38733,0.151641,1.668056,1.075721,0.598473,0.742565,0.887239,0.993155
LY9,6.844436,8.401076,0.275311,3.729684,1.008909,2.886752,0.03483,0.00928,0,0.017732,0.025915,0.023446,0.02173,0.019216,0.008496,0,0,0.010963
PFDN2,0.750655,1.096732,0.45451,0.945024,0.730293,0.684944,4.25925,1.752909,0.884767,1.01786,1.01928,0.860124,13.45658,11.383201,4.757845,11.259351,11.556372,10.301874
UFC1,0.205723,0.413287,0.179285,0.740317,0.958904,0.591594,16.254606,13.217686,6.457183,15.407281,12.362431,15.721067,11.417842,10.637116,6.672882,11.762002,12.074924,11.658451
SDHC,0.084818,0.07085,0,0.011213,0.014353,0.042034,2.186447,2.83217,2.474966,3.157815,2.844425,2.718085,4.781785,4.536909,4.481271,4.488536,3.57911,3.843006
FCGR3B,0.638935,1.175534,1.472116,1.559066,1.129508,0.980588,57.905392,46.762821,28.073782,41.731358,40.90844,42.635746,0.027014,0.013463,0.018475,0.169031,0.009825,0.010902
MGST3,0.070032,0.033888,0.029165,0.01648,0.03249,0.029727,12.521321,11.350837,7.484119,12.181523,11.2994,13.884753,8.591367,6.608751,2.166001,4.558138,4.359047,4.776168
TMCO1,5.799427,5.643573,4.389503,6.251031,4.022745,6.459845,25.919264,23.573727,23.691685,22.595943,21.320881,21.832108,0.030496,0.043708,0,0.047609,0.080653,0
CD247,1.608987,1.077533,0.520116,0.322249,1.118603,1.361091,2.256777,1.502612,0.306609,1.040503,1.239677,1.534156,10.700831,6.390647,4.485602,9.705276,6.551236,11.4136
PRDX6,13.311022,9.545193,6.199443,10.119913,9.004189,8.806206,6.290896,6.036736,7.082924,6.47875,5.463343,6.650839,19.030338,18.07008,9.283267,11.642812,12.666194,13.104028
CACYBP,0.976588,1.670859,4.074053,2.211086,1.519524,2.026189,0.107801,0.10226,0.029777,0,0.018541,0,9.430916,7.257563,3.303409,5.917117,5.562466,5.432606
RGS2,1.331965,1.405364,3.140345,1.846034,1.567449,1.695475,2.630259,1.955693,1.670825,2.775392,2.662062,2.83165,0.011419,0,0.014364,0.011917,0.003861,0.029798
SNRPE,11.034571,9.442373,5.245797,7.674,6.957748,7.643343,0.434064,0.4572,0.149158,0.241115,0.15475,0.56278,4.417875,5.864798,5.651286,4.955918,4.826353,6.236957
NUCKS1,20.724539,32.023964,37.125175,31.843121,25.526461,23.466446,0.008312,0,0.112578,0.000707,0.008041,0,3.903449,5.603246,4.638762,6.709383,5.113259,6.378565
RAB29,14.20028,8.865245,6.644388,7.232918,7.605278,8.091863,25.089909,18.973234,9.112786,14.444526,16.724316,17.101648,82.37149,62.633873,50.216259,54.215405,56.392685,56.693531
FCMR,4.281109,5.396284,2.963504,4.468721,3.482134,4.161105,4.761977,4.589127,2.47412,4.963701,4.27634,4.722453,3.012093,3.331689,2.099308,3.033394,2.737781,2.169725
TRAF3IP3,2.951524,1.501719,0.866827,0.752008,0.73331,1.124585,3.256344,2.814318,0.753892,1.414758,1.68357,2.439282,0.358074,0.360573,0.230548,0.303592,0.401253,0.259623
EPRS,8.254395,7.471104,3.864835,4.15519,5.568993,3.738344,6.779634,8.008755,11.226236,9.69763,8.267232,10.113441,7.147457,6.883294,4.445436,6.569675,6.058304,6.072838
CAPN2,2.768763,1.810683,0.652399,1.74608,2.400874,2.243873,7.447263,7.567436,6.560678,6.479779,5.508831,6.739521,0.866992,0.415395,0.040171,0.205572,0.377815,0.365822
SRP9,1.338939,0.780157,0.052983,0.07614,1.330066,0.960094,2.492728,2.350108,0.217403,1.442134,1.186046,1.413505,1.089148,1.406351,0.667788,1.202386,1.275596,1.611732
TMEM63A,7.266129,5.742241,7.649715,4.544803,4.257811,8.131561,0.711738,0.570805,0.704463,0.388452,0.529963,0.652954,0.058248,0.043723,0.245328,0.150777,0.089832,0.1094
H3F3A,1.830685,1.964612,2.91858,1.956991,1.410723,1.852588,3.24803,2.994272,0.983892,1.592984,1.008199,1.256949,0.070453,0.284883,0.4313,0.34852,0.190785,0.147707
PARP1,67.21032,62.533722,38.001049,68.42141,78.940811,71.105972,0.240863,0.142859,0.136401,0.046909,0.093851,0.853514,156.17569,133.528015,115.495239,138.557205,123.729424,144.512192
TOMM20,0.120959,0.083302,0.020333,0.071366,0.041021,0.073831,12.187686,10.733868,9.47355,9.861402,10.207491,11.740775,2.415511,2.005301,2.773552,2.185431,3.182323,3.359694
COX20,0.151375,0.118359,0.020294,0.109536,0.170896,0.038966,7.77196,9.199616,3.496064,9.974858,8.295769,9.322727,10.084373,10.931505,7.943393,10.696088,7.958858,9.874401
ACP1,4.206091,3.149903,1.016925,1.892761,2.567299,2.55762,57.794266,52.208954,26.388966,43.12537,43.481049,49.252499,7.417212,6.619763,2.964159,5.015857,4.824298,5.976333
RPS7,5.733657,5.379841,3.513829,5.749644,3.81297,5.384171,0.367812,0.50915,0.403657,0.340086,0.366216,0.464233,9.328821,9.36753,7.768264,8.210558,6.827285,8.834938
IAH1,18.461184,14.978453,13.70946,16.965038,15.11163,15.155524,6.088167,6.082655,4.653471,5.552434,5.75649,5.213895,40.370522,29.474279,9.937377,18.076664,23.237394,24.893787
YWHAQ,17.198162,16.43153,8.817065,15.736429,14.6701,15.832888,9.260027,8.918056,3.729579,8.399694,7.321649,8.452593,25.597012,27.131403,21.803278,25.526217,30.867315,26.838631
ODC1,5.33332,4.389693,4.509242,4.790724,4.35257,4.738405,4.427236,3.419291,2.301373,4.338764,4.24826,4.735603,19.951725,22.518078,13.679439,14.11938,11.389535,12.955229
PDIA6,76.529465,62.256737,29.263372,53.201984,54.520264,53.99921,8.974456,9.210727,5.830808,7.593855,7.164925,7.228658,7.782639,7.946547,5.426276,7.319746,6.420391,8.600351
HADHA,23.710615,22.225927,14.259932,30.885201,34.305885,19.439756,30.043566,26.643789,14.431178,24.218777,23.540977,24.850737,9.813017,7.562771,8.966648,9.351616,9.884672,9.166104
OST4,0.165786,0.134976,0.016069,0.112268,0.079308,0.120535,31.008921,27.852165,18.324825,28.334473,25.542107,28.190405,6.202702,4.05129,1.967022,4.065725,3.452893,4.139463
ATRAID,0.01665,0.006667,0.052512,0.026329,0.025663,0.018166,0.071266,0.041164,0.122358,0.167392,0.13193,0.21306,5.623187,12.216592,2.40407,5.88043,5.275395,7.880559
SNX17,10.203758,11.459474,10.113569,10.72718,9.257968,11.530834,32.347858,23.923124,14.444767,26.015686,25.564524,22.72764,4.269351,2.715608,2.797281,2.845006,3.907506,2.550935
PPM1G,7.68239,5.697261,4.171255,5.500748,4.944921,6.118487,5.129843,4.737772,2.695164,3.694952,4.124456,3.92605,0,0.05368,0,0.026407,0,0
SRSF7,7.137205,6.815403,5.025329,4.568807,5.108556,4.218615,212.374969,126.789215,46.741272,88.189751,102.410027,119.191452,0.057803,0.0184,0.009576,0.020858,0,0.028386
COX7A2L,3.955133,2.775569,0.660588,1.869807,2.275154,2.752971,6.418736,6.990047,3.056128,9.354424,7.16074,8.46914,3.671812,7.090209,3.969284,7.639623,6.915531,5.662828
RPS27A,0.454298,0.617843,0.519715,0.540271,0.231132,0.248231,2.470747,2.302451,1.970997,3.625415,2.962835,2.947146,9.155457,9.188474,9.473682,9.973863,10.559984,8.743045
CCT4,3.372405,2.394581,2.216905,2.773262,3.528266,2.55823,259.264343,218.564972,122.978378,230.415009,261.532318,229.15004,2.151617,1.234057,0.815181,0.997448,0.979869,0.847564
AAK1,52.424145,37.778996,31.80051,39.992455,41.642078,34.382599,3.260203,2.177769,0.266089,0.754495,1.496988,0.498777,7.56971,5.847524,2.437987,5.885776,7.179883,4.637419
SNRPG,0.485749,0.260768,0.112584,0.227559,0.215403,0.34007,2.895422,3.184258,1.900483,3.813427,4.194473,3.427558,2.663714,1.880862,1.535159,1.42037,1.105772,1.352436
