"","MAINZ_BC6092_1","MAINZ_BC6097_1","MAINZ_BC6100_1","MAINZ_BC6218_1","MAINZ_BC6177_1","MAINZ_BC6044_1","MAINZ_BC6147_1","MAINZ_BC6054_1","MAINZ_BC6189_1","MAINZ_BC6033_1","MAINZ_BC6045_2","MAINZ_BC6048_2","MAINZ_BC6130_2","MAINZ_BC6126_2","MAINZ_BC6101_2","MAINZ_BC6020_2","MAINZ_BC6170_2","MAINZ_BC6145_2","MAINZ_BC6192_2","MAINZ_BC6164_2","MAINZ_BC6017_3","MAINZ_BC6081_3","MAINZ_BC6132_3","MAINZ_BC6105_3","MAINZ_BC6183_3","MAINZ_BC6095_3","MAINZ_BC6060_3","MAINZ_BC6003_3","MAINZ_BC6008_3","MAINZ_BC6174_3"
"NAT2",4.42562622339373,4.61153341556054,4.89455522513869,4.56220443491545,4.84374830926872,5.33306662242427,7.69240885282246,4.34014201344824,4.79547223784351,3.99522333475594,7.34084375151184,4.89296299643058,3.88937773511707,7.17843111060963,6.43861586177876,3.88964626307142,5.69753343135024,4.58711656003921,4.72276961970616,4.75598289085605,4.32467328065414,4.93639581919226,5.4487376328767,4.61438612763447,5.67516306883203,8.27941826221474,5.32066688825215,4.55417849489158,3.7737041128336,5.65368122535192
"ADA",7.98791276080409,7.94815770358278,8.52583374005897,8.69087886502826,8.57451999089335,8.41131362844133,7.92085731364181,7.40397920351631,8.29827096732933,8.28243707701458,7.85999193193012,8.54970222145853,8.33412986567193,8.99666708929345,8.02493740192296,8.16757413887952,8.91105123900447,7.59807586315722,8.53040417490833,8.29864831986065,7.1884068845384,8.45227938089285,8.02226435410084,8.40578041609506,9.26971681526016,8.37390980102079,9.2919537099183,8.42908954398214,8.68558592492662,9.44088767943785
"CDH2",5.19791799561038,2.61643705014714,5.55445019079626,7.3775613439052,5.53826190499604,6.3787199705664,6.38874737285701,6.30631010028553,7.09036723414994,7.19052578048201,5.64709740754487,5.46685186116022,3.26758384944319,7.35915199736139,8.39363375585327,7.02465117554376,6.1501078978906,5.61533869966587,4.95080105145583,6.46636220502935,4.71370141587749,5.78928862448027,6.6164632424794,7.44840455877374,3.82370258378652,6.12284742294292,4.85796205893472,6.73650534143208,7.57251828322949,6.70192956087743
"AKT3",10.552170687638,8.94498636828894,10.2605106390265,10.6467806916233,9.66499785122674,9.77685632440395,9.24766285104301,9.54084052660814,11.1290740561954,9.78397957393842,9.63501413547765,9.30618226243622,9.81121684615551,9.31630929876589,10.0129144951587,9.98304698929157,9.96431794068437,9.81700460046313,10.0744413695905,10.0409062449422,11.22395500999,9.45830449398136,8.73382222584324,9.01453537345605,10.5183504714722,9.4995176557836,11.0770959486934,9.63698060349258,9.2161168326889,10.4773818081499
"MED6",6.57163979034223,4.82479520953047,6.02574199717428,4.83885443613888,6.46887963870503,3.80568882645709,5.50605481387385,5.83687353959467,5.1620442335538,4.99153680128491,5.38335908383484,6.00069112659833,6.08350105494984,4.75709026534236,5.17547391109386,4.0602101888517,4.95831011899643,4.57751984874619,5.81410125363857,3.89682103956732,5.713091244447,5.35561510897041,5.62944840567099,1.88684900763678,5.37587674362459,4.91205509256822,1.87967676147386,5.04320654062633,4.6476594619216,2.50538292285401
"NR2E3",3.21991121415489,4.12582533000669,3.88683021771398,3.66113945176695,2.61722306270219,2.59402320264966,2.74511535946222,3.07315716977712,3.04544628999471,3.79482941486172,2.93062976216946,2.90844113445413,2.87283099180002,3.2164015855743,2.89078102435553,2.66071352848038,3.21197866333572,2.50400460023963,5.61564269580636,2.62740180476574,3.19078291154875,3.9716508056272,3.01086282068611,3.49205131200079,2.9983137322333,3.12651726493958,2.94470531857861,3.58971025869385,3.20861637550091,4.11888567978219
"NAALAD2",2.26531827896356,3.78148528856019,4.92340557767725,5.79855898176363,6.0298840153801,5.33895248775019,2.65111687795227,5.78251225495261,4.59199184595746,4.86640240992406,5.03292595152882,5.29775096072326,5.73072958963979,1.59302627315494,5.15222823360997,5.7856374259659,2.64315391390279,1.40284035639335,5.1238499391503,2.06557647870604,6.02428203393305,5.78372836671559,5.68132184994842,5.16724463083037,5.63238431500501,0.711936936817551,3.2442377394573,5.35259440995681,5.49555270767884,2.84588194498997
"NAALADL1",5.30691814373576,6.50091201162326,6.25075871621273,7.00029488492992,3.97207741862417,3.25537076079494,4.19795666877324,4.73114538249537,4.24761599495362,5.06374257029344,5.24610641436277,3.26153060362862,4.07338951381559,4.47798658134927,6.59478040896987,3.69028681061143,3.49154506426687,4.63212479438323,4.28188203557879,2.30543442342766,4.73411750107951,5.87889514421581,3.89428071843927,4.17197620766753,6.16824370676739,4.28773423461016,3.41730665945161,5.88848377855177,6.39173936787337,3.36044098056202
"ACOT8",8.00312413675799,8.55124721715271,8.79207203137625,8.3527249735,8.41034512318724,7.66326414430704,8.25279941705755,8.16547491695573,8.01825601424852,8.18502300339314,8.09949103287693,8.90076822717781,8.26860352294277,8.46227356131877,8.55187687628286,7.95701220636926,8.62473805782429,8.29657704981004,8.78051670553505,8.28193046231929,7.39032960579124,8.67143509936611,8.68251909776281,7.39617885218019,8.43971990179792,8.60238189683901,8.57856781728436,8.77392076664588,8.55956059590987,8.5334450662074
"ABI1",10.3922871858867,10.3716771849531,9.79488234717419,9.82648899702759,10.5918893799672,10.2570301173808,9.74321757231621,9.77064740596171,10.037748771937,10.4900605444433,9.75391948075236,9.35569350617509,10.2476267624892,10.6099432372724,10.3084029719107,9.69458668043823,9.80965115636731,10.3431244356513,9.7129892139491,10.030835051347,10.1094340784836,10.4439034316575,9.60660306821969,10.5137062563334,9.41569638542744,10.2569295995627,11.1821017096113,9.41832955199352,10.315755463948,9.37945979120096
