ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03030	DNA replication	33	0.722514978762184	2.40944095257115	3.38150012734646e-07	2.33323508786906e-05	1.75126111858364e-05	1855	tags=64%, list=15%, signal=54%	4174/4171/4175/4173/2237/5984/5111/10535/1763/5427/23649/4176/5982/5557/5558/4172/5424/5983/5425/54107/6119
hsa03050	Proteasome	43	0.709302206287586	2.50742173112451	2.91646767077964e-08	5.03090673209487e-06	3.77605814216732e-06	2448	tags=65%, list=20%, signal=52%	5688/5709/5698/5693/3458/5713/11047/5721/5691/5685/5690/5684/5686/5695/10213/23198/7979/5699/5714/5702/5708/5692/5704/5683/5694/5718/51371/5682
hsa04110	Cell cycle	139	0.663472672773104	2.84714548640866	1e-10	3.45e-08	2.58947368421053e-08	1127	tags=36%, list=9%, signal=33%	8318/991/9133/10403/890/983/4085/81620/7272/9212/1111/9319/891/4174/9232/4171/993/990/5347/701/9700/898/23594/4998/9134/4175/4173/10926/6502/994/699/4609/5111/26271/1869/1029/8317/4176/2810/3066/1871/1031/9088/995/1019/4172/5885/11200/7027/1875
hsa05340	Primary immunodeficiency	34	0.622592954146977	2.11506759327442	0.000164163776100278	0.00314850011174307	0.00236317628524423	1416	tags=41%, list=12%, signal=36%	29851/6890/3932/3561/3575/915/959/925/5788/916/100/7374/6891/930
hsa01230	Biosynthesis of amino acids	62	0.588768205634611	2.24558665145723	1.04000365831279e-06	5.98002103529857e-05	4.48843684113943e-05	2840	tags=55%, list=23%, signal=42%	29968/26227/875/445/5214/440/65263/6472/7086/5723/3418/7167/586/2597/5230/2023/5223/5831/6888/50/5315/3419/10993/2805/22934/3421/5634/3417/5232/221823/2027/5211/384/5832
hsa03008	Ribosome biogenesis in eukaryotes	55	0.572653560513207	2.1168621139362	2.06262215381127e-05	0.000711604643064888	0.000534110578776392	3902	tags=75%, list=32%, signal=51%	23560/54913/10799/55131/27341/5822/10436/10248/29107/3692/54433/29889/81691/5901/10775/10557/55505/1460/23160/6949/10940/4809/2091/10556/51096/55651/92856/55813/7514/55226/56000/25996/10885/55127/4931/51068/1459/10171/55916/55341/9790
hsa04657	IL-17 signaling pathway	85	0.561855380253141	2.22386328884522	9.26634375998221e-08	1.06562953239795e-05	7.99831777177412e-06	2804	tags=49%, list=23%, signal=38%	4312/6280/6279/6278/3627/2921/6364/8061/4318/3576/3934/6347/727897/1051/6354/3458/6361/6374/2919/9618/5603/7128/1994/7124/3569/8772/5743/7186/3596/6356/5594/4792/9641/1147/2932/6300/5597/27190/1432/7184/64806/3326
hsa05332	Graft-versus-host disease	35	0.543921297017531	1.87781753001195	0.00275425829526675	0.0243645926119751	0.0182873830131071	3654	tags=77%, list=30%, signal=54%	3002/5551/3126/3112/3458/3824/3804/942/940/115653/7124/3569/3119/3135/356/3134/3558/3109/3108/3552/3122/3106/3803/3107/3111/941/3105
hsa05219	Bladder cancer	41	0.520789575309763	1.82988725777131	0.00409770073490283	0.0321296989441244	0.0241156550427296	2330	tags=46%, list=19%, signal=38%	4312/4318/3576/4609/1869/1029/1871/1019/7380/7422/999/5604/1890/1956/5605/1950/5594/1612/4893
hsa05330	Allograft rejection	34	0.518960203252959	1.76300727592288	0.00588741988059749	0.0414522420164517	0.0311128956096022	3001	tags=62%, list=25%, signal=47%	3002/5551/3126/3112/3458/959/942/940/7124/3119/3135/356/958/3134/3593/3558/3592/3109/3108/3122/3106
