,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_010496,1288.295,1166.911,1646.274,1402.294,880.887,805.017,1013.588,931.309,589.43,625.684,908.671,839.524,805.501,752.36,1399.826,1111.821,468.653,423.921,715.037,770.92
NM_007408,599.465,649.001,474.674,532.131,723.121,622.311,550.353,521.051,405.106,439.711,334.863,356.586,620.583,545.374,498.039,491.461,223.744,194.77,178.362,162.521
NM_026545,566.438,589.445,617.278,623.382,611.571,589.585,568.961,567.663,387.417,365.508,388.238,351.231,715.3,697.947,637.74,694.759,274.468,275.368,242.156,249.666
NM_001033293,634.12,557.544,532.529,503.733,577.105,555.481,490.953,500.812,406.768,344.511,343.869,305.286,575.304,634.708,446.909,562.656,147.75,133.976,130.963,120.543
NM_011528,406.781,329.684,345.399,289.205,470.486,398.801,376.641,326.106,255.996,253.383,236.597,199.544,456.46,487.032,346.656,445.259,252.811,212.539,215.177,173.6
NM_175015,357.787,378.003,323.3,350.124,378.181,387.915,318.546,342.594,393.829,434.348,389.244,409.51,292.392,302.006,222.56,276.311,459.7,458.25,442.17,410.971
NM_001206391,468.749,515.975,412.321,462.267,363.7,382.595,323.198,355.272,257.552,209.283,225.012,206.773,409.001,431.917,374.319,393.274,13.087,16.445,14.136,13.83
NM_001286037,328.728,258.152,348.24,234.958,327.705,263.765,371.693,254.394,517.13,448.19,499.544,441.599,322.944,235.853,325.675,214.707,515.239,541.782,551.061,467.98
NM_010764,307.97,362.556,272.547,317.365,245.192,240.203,211.203,199.994,241.653,204.067,206.891,206.533,448.758,329.309,401.742,291.35,107.512,112.743,93.026,91.414
NM_008533,174.648,212.412,181.515,223.398,202.974,228.056,177.673,217.001,200.173,160.608,171.074,147.986,219.693,217.933,215.175,210.198,158.554,121.482,131.006,108.635
