,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
ERCC-00025,1.67228921972112e-57,0.53234743987868,1,0.492,2.9244993874483e-53,0,ERCC-00025
ERCC-00074,1.52044280860324e-56,1.74619352412906,1,1,2.65895038368535e-52,0,ERCC-00074
ERCC-00136,1.73625981922061e-56,1.6090138683329,1,1,3.036371171853e-52,0,ERCC-00136
ERCC-00003,1.8690820694106e-56,1.58680073367585,1,1,3.26865072298526e-52,0,ERCC-00003
ERCC-00096,1.95358077777935e-56,1.68113327519119,1,1,3.41642206418052e-52,0,ERCC-00096
ERCC-00043,1.9680237601449e-56,1.44525445830153,1,0.997,3.44167995174141e-52,0,ERCC-00043
ERCC-00046,1.98258415095838e-56,1.62515632126559,1,1,3.46714316319601e-52,0,ERCC-00046
ERCC-00002,2.02689530857123e-56,1.70562483035335,1,1,3.54463451562937e-52,0,ERCC-00002
ERCC-00004,2.26369128294372e-56,1.64922448617371,1,1,3.95874331561198e-52,0,ERCC-00004
ERCC-00130,2.31425847827117e-56,1.6420334881125,1,1,4.04717522680063e-52,0,ERCC-00130
ERCC-00113,2.68135863188396e-56,1.56367263120556,1,1,4.68915997543866e-52,0,ERCC-00113
ERCC-00145,2.92888465446635e-56,1.38104481131433,1,1,5.12203348373075e-52,0,ERCC-00145
ERCC-00108,3.29467561496059e-56,1.46442284941806,1,1,5.76172871544307e-52,0,ERCC-00108
ERCC-00009,4.04758797386395e-56,1.33547218819469,1,0.999,7.07842184869327e-52,0,ERCC-00009
ERCC-00042,5.08246308133864e-56,1.29521923543571,1,0.999,8.88821143664502e-52,0,ERCC-00042
ERCC-00111,5.79890341469705e-56,1.24906679296155,1,0.986,1.01411222916222e-51,0,ERCC-00111
ERCC-00162,7.50379003424344e-56,0.396534938625193,1,0.396,1.31226280118849e-51,0,ERCC-00162
ERCC-00171,8.00864351401277e-56,1.42007916641847,1,1,1.40055157773055e-51,0,ERCC-00171
ERCC-00022,2.37272262584781e-55,0.731184495963078,1,0.774,4.14941732808264e-51,0,ERCC-00022
ERCC-00060,3.27085327111638e-55,1.0340934889325,1,0.967,5.72006820052833e-51,0,ERCC-00060
ERCC-00131,4.92930153385616e-54,0.607933186116615,1,0.65,8.62036252240766e-50,0,ERCC-00131
ERCC-00092,8.42203857854265e-54,0.78279453660978,1,0.858,1.47284610661554e-49,0,ERCC-00092
ERCC-00112,1.79773031302035e-52,0.888648989184359,1,0.914,3.14387077141e-48,0,ERCC-00112
ERCC-00076,1.22978785812833e-51,0.716332853212481,1,0.808,2.15065300629482e-47,0,ERCC-00076
ERCC-00035,3.07219870038335e-51,0.476081958800884,1,0.526,5.3726610872304e-47,0,ERCC-00035
ERCC-00062,2.93803733791568e-50,0.473570090143687,0.989,0.533,5.13803969654695e-46,0,ERCC-00062
ERCC-00095,3.46214157930984e-50,0.572849233145569,1,0.758,6.05459319389704e-46,0,ERCC-00095
ERCC-00053,5.58457937921353e-49,0.306597035202796,0.926,0.31,9.76631241836863e-45,0,ERCC-00053
ERCC-00079,8.73776846517763e-48,0.340318082654156,0.947,0.367,1.52806094919026e-43,0,ERCC-00079
ERCC-00071,2.52084026837181e-46,0.33240013050483,0.989,0.392,4.40844546132863e-42,0,ERCC-00071
ERCC-00044,2.59439571185859e-45,0.478837246072923,0.989,0.654,4.53707922089831e-41,0,ERCC-00044
ERCC-00165,1.16248944227664e-43,0.306716494084668,0.968,0.383,2.03296153665339e-39,0,ERCC-00165
ERCC-00078,1.54057755371977e-43,0.318783866418546,0.968,0.46,2.69416202594513e-39,0,ERCC-00078
ENSG00000120437,9.27746297953117e-38,-0.458677656245508,1,1,1.62244272586041e-33,0,ENSG00000120437
ENSG00000140264,1.06384723460776e-35,-0.262840620936675,1,1,1.86045604388205e-31,0,ENSG00000140264
ERCC-00059,1.92070307880331e-35,0.281703340548321,0.947,0.438,3.35892554421123e-31,0,ERCC-00059
ENSG00000184076,4.19726760968329e-34,-0.260064060282285,1,1,7.34018159581413e-30,0,ENSG00000184076
ENSG00000026025,1.57200858748195e-33,-0.567946719331167,0.821,0.974,2.74912861778843e-29,0,ENSG00000026025
ENSG00000164265,1.82739334369601e-33,0.331037369733825,0.968,0.371,3.19574547945559e-29,0,ENSG00000164265
ENSG00000182117,4.68637476954112e-33,-0.265076021615789,1,1,8.19553219697351e-29,0,ENSG00000182117
ENSG00000103363,1.19538442479449e-32,-0.295276578420286,1,1,2.0904882820806e-28,0,ENSG00000103363
ENSG00000169020,2.27762929976006e-31,-0.264174516921857,1,1,3.98311811942039e-27,0,ENSG00000169020
ENSG00000198865,2.67200866276614e-31,-0.678025166218833,0.105,0.749,4.67280874944542e-27,0,ENSG00000198865
ENSG00000106153,3.1558616580088e-31,0.613215275324819,1,0.615,5.5189708675258e-27,0,ENSG00000106153
ENSG00000090266,4.68774431265484e-31,-0.282899299345811,1,1,8.19792725397078e-27,0,ENSG00000090266
ENSG00000079459,3.28013622104316e-30,-0.277339721718849,1,1,5.73630222336029e-26,0,ENSG00000079459
ENSG00000111678,2.43861977383455e-28,-0.308999143249993,1,1,4.26465826048186e-24,0,ENSG00000111678
ENSG00000124562,1.5105705106815e-27,-0.261989057168626,1,1,2.64168570907981e-23,0,ENSG00000124562
ENSG00000102309,1.25644142294045e-26,-0.34236127157342,0.926,0.982,2.19726476043826e-22,0,ENSG00000102309
ENSG00000147601,2.18097573302105e-26,0.309575910216704,1,1,3.81409036190721e-22,0,ENSG00000147601
ENSG00000154380,8.91702834853933e-26,0.267299636584606,1,1,1.55940991759256e-21,0,ENSG00000154380
ENSG00000184752,2.35932490466876e-25,-0.258439284904951,1,1,4.12598739328472e-21,0,ENSG00000184752
ENSG00000167815,2.56281240191906e-25,-0.264192035701395,1,1,4.48184632847605e-21,0,ENSG00000167815
ENSG00000156976,3.67114176736838e-25,-0.261965641035299,1,1,6.42009272277382e-21,0,ENSG00000156976
ENSG00000091409,4.27649688580707e-25,-0.311817152935661,0.989,0.999,7.4787377538994e-21,0,ENSG00000091409
ENSG00000167552,4.56530196252978e-25,-0.286501146901557,1,1,7.98380007207208e-21,0,ENSG00000167552
ENSG00000154556,4.69480960441072e-25,0.389607803660749,1,0.969,8.21028303619346e-21,0,ENSG00000154556
ENSG00000108953,5.15206439565085e-25,-0.266655340680212,1,1,9.0099302151142e-21,0,ENSG00000108953
ENSG00000183011,1.65322168566205e-24,-0.312920259643903,0.968,0.993,2.89115408388579e-20,0,ENSG00000183011
ENSG00000154473,1.61308738295719e-23,-0.280417491910613,1,1,2.82096721531554e-19,0,ENSG00000154473
ENSG00000172270,3.58796190818825e-23,-0.389718205877452,1,1,6.2746277850396e-19,0,ENSG00000172270
ENSG00000133935,4.01532905249336e-22,-0.333846178083939,1,1,7.02200744700038e-18,0,ENSG00000133935
ENSG00000164096,6.93667787226072e-22,-0.277436936299447,1,0.999,1.21308622630096e-17,0,ENSG00000164096
ENSG00000170906,1.19997980418716e-21,-0.283039085814672,1,1,2.0985246815625e-17,0,ENSG00000170906
ENSG00000123560,1.33020366093748e-21,0.253266454756517,0.989,0.888,2.32626016224747e-17,0,ENSG00000123560
ENSG00000104332,1.41608467769852e-21,-0.252276419416039,1,1,2.47644888435916e-17,0,ENSG00000104332
ENSG00000174721,2.15388898802262e-21,-0.320268041650371,1,1,3.76672106225396e-17,0,ENSG00000174721
ENSG00000147604,3.14206192850218e-21,-0.364702643041468,1,0.994,5.49483790056461e-17,0,ENSG00000147604
ENSG00000115539,5.36423433753513e-21,-0.284427932722981,0.979,0.994,9.38097300948143e-17,0,ENSG00000115539
ENSG00000147155,5.48384064811307e-21,-0.266479637508909,0.989,1,9.59014052542014e-17,0,ENSG00000147155
ENSG00000116898,5.55681482378046e-21,-0.252312438304647,1,0.999,9.71775776382726e-17,0,ENSG00000116898
ENSG00000110492,6.22944277236205e-20,-0.302182631876159,1,1,1.08940495203068e-15,0,ENSG00000110492
ENSG00000197728,1.20244738455755e-19,-0.311846481264322,0.958,0.989,2.10283998611425e-15,0,ENSG00000197728
ENSG00000151725,1.33749197227143e-19,-0.266758783670832,0.979,0.997,2.33900596110828e-15,0,ENSG00000151725
ENSG00000145425,3.56444688124725e-19,-0.26324283460447,1,1,6.23350470592519e-15,0,ENSG00000145425
ENSG00000185201,4.35801845581319e-19,-0.298730649322757,0.947,0.983,7.6213026755261e-15,0,ENSG00000185201
ENSG00000179059,1.32172063016875e-18,-0.282704541430359,0.989,0.999,2.31142503803912e-14,0,ENSG00000179059
ENSG00000155368,2.32865770899509e-18,-0.264453998963071,1,1,4.07235660149062e-14,0,ENSG00000155368
ENSG00000162194,3.83604748693445e-18,-0.252280048230436,1,0.999,6.70847984515097e-14,0,ENSG00000162194
ENSG00000062716,1.09092994006569e-17,-0.30897277074814,0.989,1,1.90781827918687e-13,0,ENSG00000062716
ENSG00000147403,1.99807489231731e-17,-0.265645577893826,1,1,3.49423337168451e-13,0,ENSG00000147403
ENSG00000110092,2.09470773289785e-17,0.25035353151854,0.989,0.954,3.66322488329175e-13,0,ENSG00000110092
ENSG00000232112,5.34189057459751e-17,-0.261949168879942,1,1,9.34189823685613e-13,0,ENSG00000232112
ENSG00000077458,7.4509882147836e-17,-0.320303815662428,0.947,0.969,1.30302881900136e-12,0,ENSG00000077458
ENSG00000113161,5.94182028772062e-16,-0.253204030508114,1,1,1.03910553191658e-11,0,ENSG00000113161
ENSG00000240972,2.35991602587025e-15,-0.30201627255855,1,1,4.12702114604189e-11,0,ENSG00000240972
ENSG00000132507,1.29706418342659e-14,-0.414456127532997,1,1,2.26830584397643e-10,0,ENSG00000132507
ENSG00000077152,1.71445902029702e-14,-0.255866872991933,1,0.997,2.99824593469543e-10,0,ENSG00000077152
ENSG00000256618,2.12893236626697e-14,-0.675745126593977,0.979,0.996,3.72307692212768e-10,0,ENSG00000256618
ENSG00000105640,6.83678946287213e-14,-0.317521333586978,1,0.999,1.19561774126708e-09,0,ENSG00000105640
ENSG00000108518,3.73889676295011e-13,-0.320292326474721,1,1,6.53858265904716e-09,0,ENSG00000108518
ENSG00000184110,6.01775485728504e-13,-0.268308675007284,0.947,0.976,1.05238496944201e-08,0,ENSG00000184110
ENSG00000169715,1.44587935430111e-05,-0.252490141063815,0.021,0.2,0.252855381480177,0,ENSG00000169715
ENSG00000187193,0.000111613402259753,-0.281309136389031,0.916,0.915,1,0,ENSG00000187193
ENSG00000125148,0.00136452853531342,-0.404595356598646,0.358,0.458,1,0,ENSG00000125148
ENSG00000205364,1.2186025619837e-139,0.320255285868325,0.853,0.008,2.13109216039709e-135,1,ENSG00000205364
ENSG00000169715.1,3.58912428242892e-124,1.10502026895931,1,0.071,6.27666054511169e-120,1,ENSG00000169715
ENSG00000205358,3.84863619104494e-99,0.929293589544294,1,0.136,6.73049497089939e-95,1,ENSG00000205358
ENSG00000125144,2.55219400382302e-80,0.698798119424098,0.989,0.189,4.46327687388569e-76,1,ENSG00000125144
ENSG00000198417,1.62395544023902e-78,0.642818390932848,0.979,0.185,2.83997327389e-74,1,ENSG00000198417
ENSG00000125148.1,8.21280024654198e-68,1.49493852500965,1,0.374,1.43625450711526e-63,1,ENSG00000125148
ENSG00000139318,4.1378002467916e-56,-0.882057161627967,0.989,1,7.23618507158915e-52,1,ENSG00000139318
ENSG00000133316,3.09848430805097e-53,0.720027614710435,1,0.999,5.41862935791954e-49,1,ENSG00000133316
ENSG00000112972,5.96145451042063e-46,0.477735460822506,1,1,1.04253916478236e-41,1,ENSG00000112972
ENSG00000104112,9.1102659172008e-45,-0.551197731364293,1,1,1.59320330360008e-40,1,ENSG00000104112
ENSG00000120437.1,3.45756955554098e-43,0.445241734772699,1,1,6.04659763873007e-39,1,ENSG00000120437
ENSG00000166426,1.57824818107845e-41,-0.654189835573515,0.989,1,2.76004041907e-37,1,ENSG00000166426
ENSG00000124766,5.10096540053064e-41,-0.383278481952728,1,1,8.92056829244798e-37,1,ENSG00000124766
ENSG00000067064,9.94740309113037e-41,0.423328248220546,1,1,1.73960185257688e-36,1,ENSG00000067064
ENSG00000185088,2.49551509281459e-40,-0.682575994021676,1,1,4.36415679431416e-36,1,ENSG00000185088
ENSG00000102317,2.73838882260316e-40,0.463584430100629,1,0.989,4.78889437296841e-36,1,ENSG00000102317
ENSG00000164111,6.96057900657939e-39,0.537987655407285,1,1,1.2172660566706e-34,1,ENSG00000164111
ENSG00000100650,2.77051169778454e-38,0.370054066680644,1,0.999,4.84507085708561e-34,1,ENSG00000100650
ENSG00000143198,3.93006526400122e-38,-0.404123316602526,1,1,6.87289813368533e-34,1,ENSG00000143198
ENSG00000136014,3.88352797533586e-37,-0.370644309594216,1,1,6.79151372326734e-33,1,ENSG00000136014
ENSG00000187678,1.11502271570304e-36,-0.376504060903833,0.705,0.981,1.94995172522148e-32,1,ENSG00000187678
ENSG00000141510,2.22466539797601e-34,-0.374114139577975,0.568,0.929,3.89049484798045e-30,1,ENSG00000141510
ENSG00000029363,6.00171619822061e-34,0.273083347617135,1,1,1.04958012874482e-29,1,ENSG00000029363
ENSG00000198825,7.13420096967358e-34,0.384647575973642,1,0.675,1.24762906557652e-29,1,ENSG00000198825
ENSG00000173401,7.30001292735704e-34,0.315147083522975,0.947,0.483,1.2766262607362e-29,1,ENSG00000173401
ENSG00000240563,7.48574563038694e-34,-0.264341467519072,1,1,1.30910719584207e-29,1,ENSG00000240563
ENSG00000106153.1,1.21083542313581e-33,-1.12313220403308,0,0.747,2.11750898797991e-29,1,ENSG00000106153
ENSG00000133935.1,1.53885127212772e-32,0.386637466941956,1,1,2.69114310469696e-28,1,ENSG00000133935
ENSG00000067082,3.4511670764164e-32,0.3797883167957,1,0.91,6.03540098323701e-28,1,ENSG00000067082
ENSG00000138035,1.40794862604771e-30,-0.463151563436085,0.979,0.993,2.46222055723223e-26,1,ENSG00000138035
ENSG00000115758,1.55917502997437e-30,0.331779052726236,1,1,2.72668529241917e-26,1,ENSG00000115758
ENSG00000069275,2.45338540088324e-29,-0.271264457869351,1,1,4.2904803890646e-25,1,ENSG00000069275
ENSG00000165349,4.18780100441249e-29,-0.360698060279808,0.937,0.993,7.32362639651657e-25,1,ENSG00000165349
ENSG00000110092.1,5.08582260877031e-29,-0.394070516997415,0.832,0.975,8.89408657821752e-25,1,ENSG00000110092
ENSG00000022556,6.40906457694033e-29,-0.502878209878354,0.274,0.796,1.12081721321532e-24,1,ENSG00000022556
ENSG00000180730,7.82509946634418e-29,-0.344997030283591,0.853,0.988,1.36845339467427e-24,1,ENSG00000180730
ENSG00000184674,1.34936045750602e-28,-0.352953639610422,0,0.676,2.35976156808652e-24,1,ENSG00000184674
ENSG00000116679,1.5076894881952e-28,-0.338133476566948,1,0.999,2.63664737695576e-24,1,ENSG00000116679
ENSG00000143183,2.1103456739868e-28,-0.349302955897643,1,1,3.69057251466811e-24,1,ENSG00000143183
