uid	pubdate	pmcrefcount	title	fulljournalname
30579680	2018 Dec 19	0	Letter to the Editor regarding, "The prognostic role of PD-L1 expression for survival in head and neck squamous cell carcinoma: A systematic review and meta-analysis".	Oral oncology
30579571	2018 Dec 19	0	[Update in treatment for Merkel Cell Carcinoma and clinical practice guide].	Bulletin du cancer
30579259	2018 Dec 14	0	The distribution of novel biomarkers in carcinoma-in-situ, microinvasive, and squamous cell carcinoma of the uterine cervix.	Annals of diagnostic pathology
30578744	2018 Dec 22	0	Identification of programmed cell death 1 and its ligand in the testicular tissue of mice.	American journal of reproductive immunology (New York, N.Y. : 1989)
30577837	2018 Dec 22	0	Immune-checkpoint inhibitor plus chemotherapy versus conventional chemotherapy for first-line treatment in advanced non-small cell lung carcinoma: a systematic review and meta-analysis.	Journal for immunotherapy of cancer
30577797	2018 Dec 21	0	Recent updates in cancer immunotherapy: a comprehensive review and perspective of the 2018 China Cancer Immunotherapy Workshop in Beijing.	Journal of hematology &amp; oncology
30577587	2018 Dec 21	0	Combining Radiotherapy and Immunotherapy in Lung Cancer: Can We Expect Limitations Due to Altered Normal Tissue Toxicity?	International journal of molecular sciences
30577521	2018 Dec 20	0	From Tumor Immunology to Immunotherapy in Gastric and Esophageal Cancer.	International journal of molecular sciences
30576970	2018 Dec 18	0	Durvalumab for recurrent or metastatic head and neck squamous cell carcinoma: Results from a single-arm, phase II study in patients with ≥25% tumour cell PD-L1 expression who have progressed on platinum-based chemotherapy.	European journal of cancer (Oxford, England : 1990)
30576871	2018 Dec 18	0	Next-Generation Sequencing-Based Assessment of JAK2, PD-L1, and PD-L2 Copy Number Alterations at 9p24.1 in Breast Cancer: Potential Implications for Clinical Management.	The Journal of molecular diagnostics : JMD
30574431	2018	0	B7-H1 agonists could prevent disseminated inflammation by desensitizing cell susceptibility to cytotoxic T-cells.	Oncoimmunology
30574211	2018	0	Gene code &lt;i&gt;CD274/PD-L1&lt;/i&gt;: from molecular basis toward cancer immunotherapy.	Therapeutic advances in medical oncology
30571927	2018 Dec 20	0	Neratinib and entinostat combine to rapidly reduce the expression of K-RAS, N-RAS, Gα&lt;sub&gt;q&lt;/sub&gt; and Gα&lt;sub&gt;11&lt;/sub&gt; and kill uveal melanoma cells.	Cancer biology &amp; therapy
30570649	2018 Dec 20	0	Efficacy and Safety of Pembrolizumab for Heavily Pretreated Patients With Advanced, Metastatic Adenocarcinoma or Squamous Cell Carcinoma of the Esophagus: The Phase 2 KEYNOTE-180 Study.	JAMA oncology
30569516	2018 Dec 20	0	Cancer Immunotherapy of TLR4 Agonist-Antigen Constructs Enhanced with Pathogen-Mimicking Magnetite Nanoparticles and Checkpoint Blockade of PD-L1.	Small (Weinheim an der Bergstrasse, Germany)
30569297	2018 Dec 19	0	The Immunoscore is a Superior Prognostic Tool in Stages II and III Colorectal Cancer and is Significantly Correlated with Programmed Death-Ligand 1 (PD-L1) Expression on Tumor-Infiltrating Mononuclear Cells.	Annals of surgical oncology
