"Site" "Stage" "cluster" "UMAP1" "UMAP2" "nGene" "nUMI"
"YS5_TKR180900693_HT3YJCCXY_L4_sc60" "YS" "CS17" "Mac_2" 5.761787891 -3.488151789 6517 439793
"YS5_TKR180900693_HT3YJCCXY_L4_sc64" "YS" "CS17" "MkP" -7.369020462 -5.221488953 7267 676833
"YS5_TKR180900693_HT3YJCCXY_L4_sc66" "YS" "CS17" "ErP" -2.802526474 -0.317422122 8324 552711
"YS5_TKR180900693_HT3YJCCXY_L4_sc67" "YS" "CS17" "Mac_2" 5.007834435 -3.600447655 5627 356986
"YS5_TKR180900693_HT3YJCCXY_L4_sc74" "YS" "CS17" "ErP" -5.806604385 -3.54699254 6433 759718
"YS5_TKR180900693_HT3YJCCXY_L4_sc82" "YS" "CS17" "GMP" -2.625684977 -1.1097157 6646 538933
"YS5_TKR180900693_HT3YJCCXY_L4_sc83" "YS" "CS17" "ErP" -5.807022572 -3.267245293 6364 761880
"YS5_TKR180900693_HT3YJCCXY_L4_sc84" "YS" "CS17" "Mac_2" 6.134358406 -0.476899832 3429 77507
"YS5_TKR180900693_HT3YJCCXY_L4_sc88" "YS" "CS17" "Monocyte" 5.644469261 -2.687944651 2624 45604
"YS5_TKR180900693_HT3YJCCXY_L4_sc89" "YS" "CS17" "Myeloblast" -1.116259575 0.371190786 5442 225713
"YS5_TKR180900693_HT3YJCCXY_L4_sc91" "YS" "CS17" "CD7hiP" -0.870385945 -4.528027058 4432 363013
"B2_TKR180900710_HT3YJCCXY_L6_sc1" "Blood" "CS15" "CD7loP" 0.912179828 -3.618780851 7741 737060
"B2_TKR180900710_HT3YJCCXY_L6_sc2" "Blood" "CS15" "MkP" -7.054420948 -4.643548012 6975 631527
"B2_TKR180900710_HT3YJCCXY_L6_sc3" "Blood" "CS15" "YSMP" -4.758543015 -1.224482775 6092 254343
"B2_TKR180900710_HT3YJCCXY_L6_sc4" "Blood" "CS15" "ErP" -6.372404099 -3.78520751 7459 831610
"B2_TKR180900710_HT3YJCCXY_L6_sc5" "Blood" "CS15" "GMP" -2.054222107 0.080953404 3563 22995
"B2_TKR180900710_HT3YJCCXY_L6_sc6" "Blood" "CS15" "YSMP" -3.903345823 -1.880627275 4716 109850
"B2_TKR180900710_HT3YJCCXY_L6_sc7" "Blood" "CS15" "ErP" -6.261436939 -2.520982027 4948 170061
"B2_TKR180900710_HT3YJCCXY_L6_sc8" "Blood" "CS15" "YSMP" -4.851857185 -1.859366179 5499 55869
"B2_TKR180900710_HT3YJCCXY_L6_sc55" "Blood" "CS15" "YSMP" -4.557076931 -1.257661223 5998 291751
"B2_TKR180900710_HT3YJCCXY_L6_sc56" "Blood" "CS15" "ErP" -6.39144659 -3.113488913 4505 72501
"B2_TKR180900710_HT3YJCCXY_L6_sc57" "Blood" "CS15" "ErP" -6.917594433 -4.325471878 6125 256926
"B2_TKR180900710_HT3YJCCXY_L6_sc58" "Blood" "CS15" "YSMP" -4.601274014 -1.664080262 7225 585059
"B2_TKR180900710_HT3YJCCXY_L6_sc59" "Blood" "CS15" "Mast cell" -6.535214424 -2.071746588 6533 275191
"B2_TKR180900710_HT3YJCCXY_L6_sc60" "Blood" "CS15" "YSMP" -4.39531517 -2.098255634 6114 388231
"B2_TKR180900710_HT3YJCCXY_L6_sc61" "Blood" "CS15" "MkP" -7.00962925 -4.548652172 6529 492368
"B2_TKR180900710_HT3YJCCXY_L6_sc62" "Blood" "CS15" "YSMP" -4.145996571 -1.899694681 5958 274126
"B2_TKR180900710_HT3YJCCXY_L6_sc63" "Blood" "CS15" "ErP" -5.352879047 -2.526782036 8147 652903
"B2_TKR180900710_HT3YJCCXY_L6_sc64" "Blood" "CS15" "YSMP" -3.4987607 -2.273595095 6437 367299
"B2_TKR180900710_HT3YJCCXY_L6_sc65" "Blood" "CS15" "ErP" -6.05900526 -2.65605092 5618 158677
"B2_TKR180900710_HT3YJCCXY_L6_sc66" "Blood" "CS15" "YSMP" -4.063477993 -1.372802258 7839 333641
"B2_TKR180900710_HT3YJCCXY_L6_sc67" "Blood" "CS15" "YSMP" -4.205098152 -1.853796482 7171 448050
"B2_TKR180900710_HT3YJCCXY_L6_sc68" "Blood" "CS15" "YSMP" -4.270406723 -1.75913918 7039 605800
"B2_TKR180900710_HT3YJCCXY_L6_sc69" "Blood" "CS15" "YSMP" -2.917007923 -2.902736902 6217 223334
"B2_TKR180900710_HT3YJCCXY_L6_sc70" "Blood" "CS15" "YSMP" -3.818219423 -1.932629943 5101 212569
"B2_TKR180900710_HT3YJCCXY_L6_sc71" "Blood" "CS15" "YSMP" -3.400830507 -1.775991201 6122 421698
"B2_TKR180900710_HT3YJCCXY_L6_sc72" "Blood" "CS15" "YSMP" -4.272929668 -1.599749684 5651 202166
"B2_TKR180900710_HT3YJCCXY_L6_sc74" "Blood" "CS15" "YSMP" -4.007279873 -1.488985062 6235 560910
"B2_TKR180900710_HT3YJCCXY_L6_sc75" "Blood" "CS15" "YSMP" -3.635583639 -1.946655273 6562 92337
"B2_TKR180900710_HT3YJCCXY_L6_sc76" "Blood" "CS15" "ErP" -6.346863747 -3.710341692 7283 36821
"B2_TKR180900710_HT3YJCCXY_L6_sc77" "Blood" "CS15" "GMP" -2.232815981 -0.043803968 4898 171685
"B2_TKR180900710_HT3YJCCXY_L6_sc78" "Blood" "CS15" "Myeloblast" 0.554586232 0.791685164 2719 39477
"B2_TKR180900710_HT3YJCCXY_L6_sc79" "Blood" "CS15" "YSMP" -4.177942753 -0.761433065 6025 77525
"B2_TKR180900710_HT3YJCCXY_L6_sc80" "Blood" "CS15" "YSMP" -4.53231144 -0.760834813 7028 597086
