"B2_TKR180900710_HT3YJCCXY_L6_sc1" "B2_TKR180900710_HT3YJCCXY_L6_sc2" "B2_TKR180900710_HT3YJCCXY_L6_sc3" "B2_TKR180900710_HT3YJCCXY_L6_sc4" "B2_TKR180900710_HT3YJCCXY_L6_sc5" "B2_TKR180900710_HT3YJCCXY_L6_sc6" "B2_TKR180900710_HT3YJCCXY_L6_sc7" "B2_TKR180900710_HT3YJCCXY_L6_sc8" "B2_TKR180900710_HT3YJCCXY_L6_sc55" "B2_TKR180900710_HT3YJCCXY_L6_sc56" "B2_TKR180900710_HT3YJCCXY_L6_sc57" "B2_TKR180900710_HT3YJCCXY_L6_sc58" "B2_TKR180900710_HT3YJCCXY_L6_sc59" "B2_TKR180900710_HT3YJCCXY_L6_sc60" "B2_TKR180900710_HT3YJCCXY_L6_sc61" "B2_TKR180900710_HT3YJCCXY_L6_sc62" "B2_TKR180900710_HT3YJCCXY_L6_sc63" "B2_TKR180900710_HT3YJCCXY_L6_sc64" "B2_TKR180900710_HT3YJCCXY_L6_sc65" "B2_TKR180900710_HT3YJCCXY_L6_sc66" "B2_TKR180900710_HT3YJCCXY_L6_sc67" "B2_TKR180900710_HT3YJCCXY_L6_sc68" "B2_TKR180900710_HT3YJCCXY_L6_sc69" "B2_TKR180900710_HT3YJCCXY_L6_sc70" "B2_TKR180900710_HT3YJCCXY_L6_sc71" "B2_TKR180900710_HT3YJCCXY_L6_sc72" "B2_TKR180900710_HT3YJCCXY_L6_sc74" "B2_TKR180900710_HT3YJCCXY_L6_sc75" "B2_TKR180900710_HT3YJCCXY_L6_sc76" "B2_TKR180900710_HT3YJCCXY_L6_sc77" "B2_TKR180900710_HT3YJCCXY_L6_sc78" "B2_TKR180900710_HT3YJCCXY_L6_sc79" "B2_TKR180900710_HT3YJCCXY_L6_sc80" "B2_TKR180900710_HT3YJCCXY_L6_sc81" "B2_TKR180900710_HT3YJCCXY_L6_sc82" "B2_TKR180900710_HT3YJCCXY_L6_sc83" "B2_TKR180900710_HT3YJCCXY_L6_sc84" "B2_TKR180900710_HT3YJCCXY_L6_sc85" "B2_TKR180900710_HT3YJCCXY_L6_sc86" "B2_TKR180900710_HT3YJCCXY_L6_sc88" "B2_TKR180900710_HT3YJCCXY_L6_sc89" "B2_TKR180900710_HT3YJCCXY_L6_sc90" "B2_TKR180900710_HT3YJCCXY_L6_sc91" "B2_TKR180900710_HT3YJCCXY_L6_sc92" "B2_TKR180900710_HT3YJCCXY_L6_sc93" "B2_TKR180900710_HT3YJCCXY_L6_sc94" "FL4_TKR180900708_HT3YJCCXY_L6_sc1" "FL4_TKR180900708_HT3YJCCXY_L6_sc2" "FL4_TKR180900708_HT3YJCCXY_L6_sc3" "FL4_TKR180900708_HT3YJCCXY_L6_sc4" "FL4_TKR180900708_HT3YJCCXY_L6_sc6" "FL4_TKR180900708_HT3YJCCXY_L6_sc7" "FL4_TKR180900708_HT3YJCCXY_L6_sc8" "FL4_TKR180900708_HT3YJCCXY_L6_sc55" "FL4_TKR180900708_HT3YJCCXY_L6_sc56" "FL4_TKR180900708_HT3YJCCXY_L6_sc57" "FL4_TKR180900708_HT3YJCCXY_L6_sc58" "FL4_TKR180900708_HT3YJCCXY_L6_sc59" "FL4_TKR180900708_HT3YJCCXY_L6_sc60" "FL4_TKR180900708_HT3YJCCXY_L6_sc61" "FL4_TKR180900708_HT3YJCCXY_L6_sc62" "FL4_TKR180900708_HT3YJCCXY_L6_sc63" "FL4_TKR180900708_HT3YJCCXY_L6_sc64" "FL4_TKR180900708_HT3YJCCXY_L6_sc65" "FL4_TKR180900708_HT3YJCCXY_L6_sc66" "FL4_TKR180900708_HT3YJCCXY_L6_sc67" "FL4_TKR180900708_HT3YJCCXY_L6_sc68" "FL4_TKR180900708_HT3YJCCXY_L6_sc69" "FL4_TKR180900708_HT3YJCCXY_L6_sc70" "FL4_TKR180900708_HT3YJCCXY_L6_sc71" "FL4_TKR180900708_HT3YJCCXY_L6_sc72" "FL4_TKR180900708_HT3YJCCXY_L6_sc74" "FL4_TKR180900708_HT3YJCCXY_L6_sc75" "FL4_TKR180900708_HT3YJCCXY_L6_sc76" "FL4_TKR180900708_HT3YJCCXY_L6_sc77" "FL4_TKR180900708_HT3YJCCXY_L6_sc78" "FL4_TKR180900708_HT3YJCCXY_L6_sc79" "FL4_TKR180900708_HT3YJCCXY_L6_sc80" "FL4_TKR180900708_HT3YJCCXY_L6_sc81" "FL4_TKR180900708_HT3YJCCXY_L6_sc82" "FL4_TKR180900708_HT3YJCCXY_L6_sc83" "FL4_TKR180900708_HT3YJCCXY_L6_sc84" "FL4_TKR180900708_HT3YJCCXY_L6_sc85" "FL4_TKR180900708_HT3YJCCXY_L6_sc86" "FL4_TKR180900708_HT3YJCCXY_L6_sc87" "FL4_TKR180900708_HT3YJCCXY_L6_sc88" "FL4_TKR180900708_HT3YJCCXY_L6_sc89" "FL4_TKR180900708_HT3YJCCXY_L6_sc90" "FL4_TKR180900708_HT3YJCCXY_L6_sc91" "FL4_TKR180900708_HT3YJCCXY_L6_sc93" "FL4_TKR180900708_HT3YJCCXY_L6_sc94" "H2_TKR180900698_HT3YJCCXY_L5_sc2" "H2_TKR180900698_HT3YJCCXY_L5_sc3" "H2_TKR180900698_HT3YJCCXY_L5_sc5" "H2_TKR180900698_HT3YJCCXY_L5_sc6" "H2_TKR180900698_HT3YJCCXY_L5_sc56" "H2_TKR180900698_HT3YJCCXY_L5_sc57" "H2_TKR180900698_HT3YJCCXY_L5_sc58" "H2_TKR180900698_HT3YJCCXY_L5_sc60" "H2_TKR180900698_HT3YJCCXY_L5_sc62" "H2_TKR180900698_HT3YJCCXY_L5_sc66" "H2_TKR180900698_HT3YJCCXY_L5_sc68" "H2_TKR180900698_HT3YJCCXY_L5_sc69" "H2_TKR180900698_HT3YJCCXY_L5_sc70" "H2_TKR180900698_HT3YJCCXY_L5_sc72" "H2_TKR180900698_HT3YJCCXY_L5_sc73" "H2_TKR180900698_HT3YJCCXY_L5_sc77" "H2_TKR180900698_HT3YJCCXY_L5_sc85" "H2_TKR180900698_HT3YJCCXY_L5_sc87" "H2_TKR180900698_HT3YJCCXY_L5_sc88" "H2_TKR180900698_HT3YJCCXY_L5_sc91" "FL3_TKR180900711_HT3YJCCXY_L6_sc1" "FL3_TKR180900711_HT3YJCCXY_L6_sc2" "FL3_TKR180900711_HT3YJCCXY_L6_sc3" "FL3_TKR180900711_HT3YJCCXY_L6_sc4" "FL3_TKR180900711_HT3YJCCXY_L6_sc5" "FL3_TKR180900711_HT3YJCCXY_L6_sc6" "FL3_TKR180900711_HT3YJCCXY_L6_sc7" "FL3_TKR180900711_HT3YJCCXY_L6_sc8" "FL3_TKR180900711_HT3YJCCXY_L6_sc55" "FL3_TKR180900711_HT3YJCCXY_L6_sc56" "FL3_TKR180900711_HT3YJCCXY_L6_sc57" "FL3_TKR180900711_HT3YJCCXY_L6_sc58" "FL3_TKR180900711_HT3YJCCXY_L6_sc59" "FL3_TKR180900711_HT3YJCCXY_L6_sc60" "FL3_TKR180900711_HT3YJCCXY_L6_sc61" "FL3_TKR180900711_HT3YJCCXY_L6_sc62" "FL3_TKR180900711_HT3YJCCXY_L6_sc63" "FL3_TKR180900711_HT3YJCCXY_L6_sc64" "FL3_TKR180900711_HT3YJCCXY_L6_sc65" "FL3_TKR180900711_HT3YJCCXY_L6_sc66" "FL3_TKR180900711_HT3YJCCXY_L6_sc67" "FL3_TKR180900711_HT3YJCCXY_L6_sc68" "FL3_TKR180900711_HT3YJCCXY_L6_sc69" "FL3_TKR180900711_HT3YJCCXY_L6_sc70" "FL3_TKR180900711_HT3YJCCXY_L6_sc72" "FL3_TKR180900711_HT3YJCCXY_L6_sc73" "FL3_TKR180900711_HT3YJCCXY_L6_sc74" "FL3_TKR180900711_HT3YJCCXY_L6_sc75" "FL3_TKR180900711_HT3YJCCXY_L6_sc76" "FL3_TKR180900711_HT3YJCCXY_L6_sc77" "FL3_TKR180900711_HT3YJCCXY_L6_sc78" "FL3_TKR180900711_HT3YJCCXY_L6_sc79" "FL3_TKR180900711_HT3YJCCXY_L6_sc80" "FL3_TKR180900711_HT3YJCCXY_L6_sc81" "FL3_TKR180900711_HT3YJCCXY_L6_sc82" "FL3_TKR180900711_HT3YJCCXY_L6_sc83" "FL3_TKR180900711_HT3YJCCXY_L6_sc84" "FL3_TKR180900711_HT3YJCCXY_L6_sc85" "FL3_TKR180900711_HT3YJCCXY_L6_sc86" "FL3_TKR180900711_HT3YJCCXY_L6_sc87" "FL3_TKR180900711_HT3YJCCXY_L6_sc88" "FL3_TKR180900711_HT3YJCCXY_L6_sc89" "FL3_TKR180900711_HT3YJCCXY_L6_sc90" "FL3_TKR180900711_HT3YJCCXY_L6_sc91" "FL3_TKR180900711_HT3YJCCXY_L6_sc92" "FL3_TKR180900711_HT3YJCCXY_L6_sc93" "FL3_TKR180900711_HT3YJCCXY_L6_sc94"
"A1BG" 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 1 0 0 0 0 16 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"A1BG-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A1CF" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2M" 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 11 0 0 0 1 0 1 0 0 0 10 6 0 0 3 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0 66 0 5 6 134 0 15 0 0 0 1 0 76 9 159 49 3 2 12 0 0 0 3 21 0 32 3 2 40 8 108 1 0 6 0 2 0 17 0 2 0 0 0 0 0 0 21 0 0 0 0 0 2 5 0 1 62 0 0 1 1 0 0 1 0 0 0 0 0 1 1 398 1 3 0 0 29 0 0 0 0 0
"A2M-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2ML1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2MP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A3GALT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A4GALT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A4GNT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AA06" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAAS" 157 74 20 245 0 0 0 8 17 1 15 118 12 88 73 45 61 47 4 10 17 25 8 22 4 26 3 7 2 0 0 2 30 34 2 3 71 3 1 15 1 0 0 2 1 159 1 172 3 8 6 3 0 1 7 18 3 0 16 6 1 35 43 0 1 1 0 6 7 23 38 2 9 3 3 5 0 64 17 2 1 11 1 0 16 1 126 2 0 0 2 0 1 0 1 0 5 30 88 4 1 23 0 59 1 4 7 1 16 1 12 1 1 29 6 4 11 0 0 0 0 3 2 3 9 22 1 3 34 0 1 2 0 14 4 24 1 0 19 4 0 26 1 24 37 0 133 0 4 0 10 0 1 13 21 10 5 55
"AACS" 0 0 0 0 3 1 11 0 0 0 15 0 0 0 27 0 1 0 0 0 0 9 0 6 0 0 0 0 1 0 0 7 25 9 0 41 0 0 0 0 0 0 0 0 0 52 1 0 0 1 1 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0 32 0 2 76 0 78 0 0 0 0 0 0 0 0 0 0 0 0 0 1 23 0 0 0 0 0 0 0 0 2 1 17 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0
