"FL5_TKR181100053_sc1" "FL5_TKR181100053_sc2" "FL5_TKR181100053_sc3" "FL5_TKR181100053_sc4" "FL5_TKR181100053_sc5" "FL5_TKR181100053_sc6" "FL5_TKR181100053_sc7" "FL5_TKR181100053_sc8" "FL5_TKR181100053_sc9" "FL5_TKR181100053_sc10" "FL5_TKR181100053_sc11" "FL5_TKR181100053_sc12" "FL5_TKR181100053_sc13" "FL5_TKR181100053_sc14" "FL5_TKR181100053_sc15" "FL5_TKR181100053_sc17" "FL5_TKR181100053_sc18" "FL5_TKR181100053_sc19" "FL5_TKR181100053_sc20" "FL5_TKR181100053_sc21" "FL5_TKR181100053_sc22" "FL5_TKR181100053_sc24" "FL5_TKR181100053_sc25" "FL5_TKR181100053_sc26" "FL5_TKR181100053_sc27" "FL5_TKR181100053_sc28" "FL5_TKR181100053_sc29" "FL5_TKR181100053_sc30" "FL5_TKR181100053_sc31" "FL5_TKR181100053_sc33" "FL5_TKR181100053_sc35" "FL5_TKR181100053_sc36" "FL5_TKR181100053_sc37" "FL5_TKR181100053_sc38" "FL5_TKR181100053_sc40" "FL5_TKR181100053_sc41" "FL5_TKR181100053_sc42" "FL5_TKR181100053_sc43" "FL5_TKR181100053_sc44" "FL5_TKR181100053_sc45" "FL5_TKR181100053_sc46" "FL5_TKR181100053_sc47" "FL5_TKR181100053_sc48" "FL5_TKR181100053_sc49" "FL5_TKR181100053_sc50" "H3_TKR181100051_sc1" "H3_TKR181100051_sc2" "H3_TKR181100051_sc3" "H3_TKR181100051_sc4" "H3_TKR181100051_sc6" "H3_TKR181100051_sc7" "H3_TKR181100051_sc10" "H3_TKR181100051_sc13" "H3_TKR181100051_sc14" "H3_TKR181100051_sc15" "H3_TKR181100051_sc17" "H3_TKR181100051_sc18" "H3_TKR181100051_sc19" "H3_TKR181100051_sc22" "H3_TKR181100051_sc25" "H3_TKR181100051_sc26" "H3_TKR181100051_sc28" "H3_TKR181100051_sc29" "H3_TKR181100051_sc30" "H3_TKR181100051_sc31" "H3_TKR181100051_sc32" "H3_TKR181100051_sc35" "H3_TKR181100051_sc36" "H3_TKR181100051_sc37" "H3_TKR181100051_sc38" "H3_TKR181100051_sc39" "H3_TKR181100051_sc40" "H3_TKR181100051_sc41" "H3_TKR181100051_sc42" "H3_TKR181100051_sc43" "H3_TKR181100051_sc44" "H3_TKR181100051_sc45" "H3_TKR181100051_sc47" "H3_TKR181100051_sc48" "H3_TKR181100051_sc49" "H3_TKR181100051_sc50" "L1_TKR181100052_sc1" "L1_TKR181100052_sc2" "L1_TKR181100052_sc3" "L1_TKR181100052_sc4" "L1_TKR181100052_sc5" "L1_TKR181100052_sc9" "L1_TKR181100052_sc10" "L1_TKR181100052_sc13" "L1_TKR181100052_sc14" "L1_TKR181100052_sc17" "L1_TKR181100052_sc18" "L1_TKR181100052_sc19" "L1_TKR181100052_sc20" "L1_TKR181100052_sc21" "L1_TKR181100052_sc22" "L1_TKR181100052_sc24" "L1_TKR181100052_sc25" "L1_TKR181100052_sc26" "L1_TKR181100052_sc28" "L1_TKR181100052_sc29" "L1_TKR181100052_sc31" "L1_TKR181100052_sc32" "L1_TKR181100052_sc33" "L1_TKR181100052_sc37" "L1_TKR181100052_sc38" "L1_TKR181100052_sc39" "L1_TKR181100052_sc40" "L1_TKR181100052_sc41" "L1_TKR181100052_sc42" "L1_TKR181100052_sc44" "L1_TKR181100052_sc45" "L1_TKR181100052_sc47" "L1_TKR181100052_sc48" "L1_TKR181100052_sc49" "SK1_TKR181100054_sc1" "SK1_TKR181100054_sc2" "SK1_TKR181100054_sc3" "SK1_TKR181100054_sc4" "SK1_TKR181100054_sc5" "SK1_TKR181100054_sc6" "SK1_TKR181100054_sc7" "SK1_TKR181100054_sc8" "SK1_TKR181100054_sc10" "SK1_TKR181100054_sc11" "SK1_TKR181100054_sc12" "SK1_TKR181100054_sc13" "SK1_TKR181100054_sc14" "SK1_TKR181100054_sc15" "SK1_TKR181100054_sc17" "SK1_TKR181100054_sc18" "SK1_TKR181100054_sc19" "SK1_TKR181100054_sc20" "SK1_TKR181100054_sc21" "SK1_TKR181100054_sc22" "SK1_TKR181100054_sc24" "SK1_TKR181100054_sc25" "SK1_TKR181100054_sc26" "SK1_TKR181100054_sc27" "SK1_TKR181100054_sc28" "SK1_TKR181100054_sc29" "SK1_TKR181100054_sc30" "SK1_TKR181100054_sc33" "SK1_TKR181100054_sc35" "SK1_TKR181100054_sc36" "SK1_TKR181100054_sc37" "SK1_TKR181100054_sc38" "SK1_TKR181100054_sc39" "SK1_TKR181100054_sc40" "SK1_TKR181100054_sc41" "SK1_TKR181100054_sc42" "SK1_TKR181100054_sc43" "SK1_TKR181100054_sc44" "SK1_TKR181100054_sc45" "SK1_TKR181100054_sc47" "SK1_TKR181100054_sc48" "SK1_TKR181100054_sc49" "SK1_TKR181100054_sc50"
"A1BG" 0 0 3 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0
"A1BG-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A1CF" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2M" 56 0 0 2 3 0 0 2 0 1 3 51 1 0 0 39 80 1 0 0 29 12 0 0 0 3 0 1 0 0 1 0 0 113 0 1 1 0 0 0 0 0 1 0 0 63 28 10 20 10 1 3 63 98 10 36 19 50 77 78 68 17 49 148 7 31 24 3 32 88 4 81 68 231 11 42 38 22 164 175 132 64 77 2 0 2 33 65 79 0 38 74 1 2 38 1 0 2 2 12 23 0 23 39 16 1 1 0 14 117 2 142 46 14 78 15 1 0 13 0 0 7 0 2 0 0 0 0 52 60 0 194 0 0 0 0 1 33 0 0 0 0 1 0 61 0 0 0 0 0 111 0 89 0 0 2 0 1
"A2M-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2ML1" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2MP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A3GALT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A4GALT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A4GNT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
