"B3_TKR181100057_sc1" "B3_TKR181100057_sc2" "B3_TKR181100057_sc3" "B3_TKR181100057_sc4" "B3_TKR181100057_sc5" "B3_TKR181100057_sc6" "B3_TKR181100057_sc7" "B3_TKR181100057_sc9" "B3_TKR181100057_sc10" "B3_TKR181100057_sc11" "B3_TKR181100057_sc12" "B3_TKR181100057_sc13" "B3_TKR181100057_sc14" "B3_TKR181100057_sc15" "B3_TKR181100057_sc16" "B3_TKR181100057_sc17" "B3_TKR181100057_sc18" "B3_TKR181100057_sc20" "B3_TKR181100057_sc21" "B3_TKR181100057_sc24" "B3_TKR181100057_sc25" "B3_TKR181100057_sc26" "B3_TKR181100057_sc27" "B3_TKR181100057_sc28" "B3_TKR181100057_sc29" "B3_TKR181100057_sc30" "B3_TKR181100057_sc32" "B3_TKR181100057_sc33" "B3_TKR181100057_sc35" "B3_TKR181100057_sc36" "B3_TKR181100057_sc37" "B3_TKR181100057_sc38" "B3_TKR181100057_sc40" "B3_TKR181100057_sc41" "B3_TKR181100057_sc42" "B3_TKR181100057_sc43" "B3_TKR181100057_sc46" "B3_TKR181100057_sc47" "B3_TKR181100057_sc48" "YS8_TKR181100059_sc49" "YS8_TKR181100059_sc50" "YS8_TKR181100059_sc51" "YS8_TKR181100059_sc52" "YS8_TKR181100059_sc53" "YS8_TKR181100059_sc54" "YS8_TKR181100059_sc55" "YS8_TKR181100059_sc56" "YS8_TKR181100059_sc57" "YS8_TKR181100059_sc58" "YS8_TKR181100059_sc59" "YS8_TKR181100059_sc61" "YS8_TKR181100059_sc62" "YS8_TKR181100059_sc63" "YS8_TKR181100059_sc64" "YS8_TKR181100059_sc65" "YS8_TKR181100059_sc66" "YS8_TKR181100059_sc67" "YS8_TKR181100059_sc68" "YS8_TKR181100059_sc69" "YS8_TKR181100059_sc70" "YS8_TKR181100059_sc71" "YS8_TKR181100059_sc72" "YS8_TKR181100059_sc74" "YS8_TKR181100059_sc75" "YS8_TKR181100059_sc77" "YS8_TKR181100059_sc78" "YS8_TKR181100059_sc79" "YS8_TKR181100059_sc80" "YS8_TKR181100059_sc82" "YS8_TKR181100059_sc83" "YS8_TKR181100059_sc84" "YS8_TKR181100059_sc86" "YS8_TKR181100059_sc87" "YS8_TKR181100059_sc88" "YS8_TKR181100059_sc89" "YS8_TKR181100059_sc90" "YS8_TKR181100059_sc91" "YS8_TKR181100059_sc92" "YS8_TKR181100059_sc93" "YS8_TKR181100059_sc94" "YS8_TKR181100059_sc95" "YS8_TKR181100059_sc96" "H4_TKR181100060_sc49" "H4_TKR181100060_sc50" "H4_TKR181100060_sc51" "H4_TKR181100060_sc52" "H4_TKR181100060_sc53" "H4_TKR181100060_sc54" "H4_TKR181100060_sc55" "H4_TKR181100060_sc56" "H4_TKR181100060_sc57" "H4_TKR181100060_sc58" "H4_TKR181100060_sc59" "H4_TKR181100060_sc61" "H4_TKR181100060_sc62" "H4_TKR181100060_sc63" "H4_TKR181100060_sc64" "H4_TKR181100060_sc65" "H4_TKR181100060_sc66" "H4_TKR181100060_sc68" "H4_TKR181100060_sc69"
"A1BG" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A1BG-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A1CF" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2M" 0 0 15 40 0 0 0 42 30 0 0 0 0 1 60 0 31 42 2 0 0 14 2 0 8 88 1 30 33 9 1 1 0 0 14 11 2 1 144 0 0 0 0 0 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 133 0 0 1 211 0 0 0 0 0 0 0 0 0 0 0 0
"A2M-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 30 0 0 0 0 0 0 0 0 0 0 0 0
"A2ML1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2MP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A3GALT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A4GALT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A4GNT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
