TRAD,TN,TP,TOC,AN,AP,AK,pH,SM,BD
0.01,3.14,0.151719876,37.77,159,3.84,87.75261359,7.95,16.05882353,0.9506
0.01,3.21,0.15663318,38.16,160,3.89,97.79413235,7.97,18.33125,0.9533
0.01,3.56,0.149692213,41.82,158,3.9,88.68935728,7.91,24.875,0.9675
0.01,3.26,0.160497142,41.96,155,3.69,72.37539237,8,16.05882353,0.9793
0.01,3.3,0.156789034,42.24,154,3.67,82.4950503,8.02,18.33125,0.9506
0.01,2.87,0.151418546,37.86,157,3.71,74.04520655,8.01,24.875,0.9533
0.01,2.81,0.162710122,37.36,151,3.52,65.37123666,8.13,16.05882353,0.9675
0.01,2.99,0.154761371,40.46,152,3.51,62.2,8.14,18.33125,0.9793
0.01,3.29,0.14853059,40.37,150,3.6,65.5,8.1,24.875,0.9675
0.03,3.52,0.16643054,40.52,178,4.62,99.65814358,7.95,16.72222222,1.1439
0.03,3.34,0.161834363,39.35,172,4.68,88.40628933,7.9,15.85625,1.1456
0.03,4.08,0.157258462,47.47,175,4.65,101.00202,7.88,18.35625,1.1372
0.03,3.22,0.16437653,46.32,168,4.5,87.71053525,8.03,16.72222222,1.0755
0.03,3.28,0.160497142,40.8,166,4.52,73.980765,7.99,15.85625,1.1439
0.03,3.4,0.159165239,42.42,167,4.55,85.57946093,7.96,18.35625,1.1456
0.03,3.07,0.175894955,39.96,156,4.43,74.09555427,8.12,16.72222222,1.1372
0.03,3.19,0.159701815,41.97,159,4.39,52.49895002,8.04,15.85625,1.0755
0.03,3.34,0.157838621,40.53,155,4.4,74.03928778,7.99,18.35625,1.1372
0.05,3.16,0.158187096,41.3,150,4.32,120.9371127,7.97,13.4875,1.0216
0.05,3.38,0.152530335,41.27,149,4.21,133.3253378,7.99,14.24375,1.0568
0.05,3.29,0.152987926,40.27,151,4.39,114.3908487,7.96,20.1125,1.1357
0.05,3.14,0.168955011,40.99,146,4.33,107.6676997,7.97,13.4875,1.0653
0.05,3.11,0.158658827,38.61,145,4.27,113.2841402,8.01,14.24375,1.0216
0.05,3.36,0.134004261,43.09,142,4.31,107.9244529,7.98,20.1125,1.0568
0.05,2.81,0.171323616,37.55,139,4.26,98.65067466,8.07,13.4875,1.1357
0.05,3.14,0.166595814,37.65,140,4.2,87.76313948,8.03,14.24375,1.0653
0.05,2.97,0.160684474,37.91,137,4.21,98.68026395,8.04,20.1125,1.0568
0.05,3.31,0.151308267,43.84,162,3.8,104.9979,7.95,14.875,1.0373
0.05,3.3,0.121546817,42.15,160,3.76,117.7387758,7.94,16.59375,1.1526
0.05,3.44,0.150799325,41.04,157,3.72,107.9266099,7.9,16.625,1.1706
0.05,3.02,0.160497142,39.48,156,3.55,98.65461888,7.99,14.875,1.0538
0.05,3.43,0.154607532,44.75,156,3.48,107.9697685,8.01,16.59375,1.0373
0.05,3.39,0.151308267,42.93,157,3.3,97.79217663,7.97,16.625,1.1526
0.05,3.07,0.153240624,42.36,150,3.26,74.43896005,8.06,14.875,1.1706
0.05,3.2,0.151101226,44.39,149,3.35,87.78244351,8.04,16.59375,1.0538
0.05,3.18,0.152430364,42.94,153,3.31,74.5,8.02,16.625,1.0538
0.01,3.53,0.16658619,39.57,165,4.37,102.4733569,7.88,18.0625,1.0494
0.01,3.33,0.166078769,41.65,166,4.32,97.74135519,7.99,20.5125,1.0521
0.01,3.55,0.169125359,45.03,163,4.3,99.74613709,8.04,21.575,1.0255
0.01,3.47,0.159830528,38.67,159,4.34,97.74330888,7.95,18.0625,1.0295
0.01,3.35,0.160711627,44.54,158,4.15,84.11084251,8.13,20.5125,1.0494
0.01,3.33,0.168443997,45.29,158,4.22,77.75490216,8.14,21.575,1.0521
0.01,3.31,0.156983544,39.43,153,4.15,84.43076677,8,18.0625,1.0255
0.01,2.83,0.145274524,41.56,150,4.16,65.47250155,8.24,20.5125,1.0295
0.01,2.65,0.14112944,38.57,151,4.2,68.08910574,8.27,21.575,1.0255
0.07,2.8,0.156906622,38.48,140,3.61,142.1857814,7.92,15.79375,0.8313
0.07,3.39,0.170307763,40.19,141,3.57,152.4664574,7.81,16.2,0.9439
0.07,3.93,0.148741294,46.12,138,3.55,121.9585341,7.96,15.29375,0.9218
0.07,3.18,0.151969025,44.44,137,3.51,130.9921405,8.03,15.79375,0.9343
0.07,3.25,0.148678382,43.15,138,3.42,132.1947122,7.93,16.2,0.8313
0.07,3.35,0.142088478,39.82,135,3.47,107.9870416,8.06,15.29375,0.9439
0.07,2.48,0.153240624,46.61,130,3.3,103.9916807,8.18,15.79375,0.9218
0.07,2.53,0.157646003,41.48,131,3.27,114.3451143,8.01,16.2,0.9343
0.07,3.08,0.140988592,41.06,131,3.34,115.9698478,8.19,15.29375,0.9218
