,TCGA-NJ-A4YG-01,TCGA-05-4420-01,TCGA-L9-A444-01,TCGA-55-1594-01,TCGA-78-8648-01,TCGA-55-8085-01,TCGA-55-7281-01,TCGA-38-4630-01,TCGA-91-6848-01,TCGA-49-4486-01,TCGA-55-7728-01,TCGA-55-A492-01,TCGA-86-7954-01,TCGA-55-8619-01,TCGA-NJ-A55O-01,TCGA-44-2655-01,TCGA-55-8206-01,TCGA-NJ-A7XG-01,TCGA-MP-A4TK-01,TCGA-J2-8194-01,TCGA-55-7913-01,TCGA-78-7633-01,TCGA-44-3919-01,TCGA-55-A4DF-01,TCGA-64-1677-01,TCGA-95-8039-01,TCGA-86-7714-01,TCGA-O1-A52J-01,TCGA-50-5942-01,TCGA-05-4390-01,TCGA-78-7156-01,TCGA-38-4626-01,TCGA-55-5899-01,TCGA-97-7552-01,TCGA-MP-A4TI-01,TCGA-50-5068-01,TCGA-55-8094-01,TCGA-73-4670-01,TCGA-86-8056-01,TCGA-44-5644-01,TCGA-44-7662-01,TCGA-78-7145-01,TCGA-50-5946-01,TCGA-44-2665-01,TCGA-49-4494-01,TCGA-67-6217-01,TCGA-97-7937-01,TCGA-35-3615-01,TCGA-91-6840-01,TCGA-86-8074-01
RP11-368I23.2,0,0,0,0,0.1,0,0,0.1,0,0,0.5,0,0,0.2,0.1,0,0.2,0.3,0,0,0,0,0.2,0.5,0.1,0.1,0,0.5,0.1,0,0,0,0.1,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
RP11-742D12.2,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB4B,2.3,1.5,2.7,2.2,2.5,1.9,2.7,2.1,1.5,2.8,3.6,3.8,2.3,2.7,2.9,2,2.3,2.5,2.1,2,2,2.2,2,2.1,2.3,2,1.6,2.4,1.5,1.6,2.2,2.5,2.1,2.1,2.6,2.6,1.9,1.8,1.8,2.3,2,1.9,1.8,1.9,2.8,2.2,2.5,2.3,2.7,1.7
AC104183.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12orf5,2.2,3.2,2.2,3.2,2.3,2.2,2.1,2,3.2,2.2,2.2,2.1,2.6,2,3.1,2.6,2.4,2.1,2.2,2.9,2.1,2,2.9,3,2.1,3.1,1.9,1.9,0.9,2.5,1.8,2.6,2.4,2.6,2.8,2.6,2.3,2.9,2.5,3,2.4,2.4,1.8,2.2,2.8,2.4,2.4,2.7,2,2.1
RNF44,4.2,3.3,3.6,3.4,3.5,4.4,4,4.9,3.7,3.2,4,3,4.3,4.1,4.3,3.4,4.1,4.6,3.8,4.4,4.4,3.5,3.9,3.3,3,4.5,3.7,3.6,3.5,3.6,3.9,3.1,3.4,4.3,4.1,2.3,3,3.6,5,3.9,3.2,3.6,3.7,3.6,2.7,3.6,3.2,4.1,3.5,3.8
NUP210P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
DNAH3,0.2,0.6,0.2,0.3,0,0.4,0.4,0.1,0.2,0,0.1,0.1,0.9,0.4,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.3,0.1,0.1,0.3,0.2,1.4,1.1,0.2,0.7,0.1,0.1,1.4,0.1,0.2,0.5,0.3,0.8,0.7,0.1,0.2,0.7,0.6,0.1,0.8,0.1,0.1,0.5,0.4
RPL23A,7.7,7.6,7.2,7.2,6.6,7.5,7.5,7.4,6.9,8.2,6.8,8,6.6,6.4,7.1,7.3,6.7,7.5,6.8,7.2,7.2,6.5,7.6,6.6,8.4,6.6,7.5,6.2,8,7.5,7.8,6.6,7.1,6.8,6.6,7.4,8.1,8.2,7.3,7.2,7.3,7.3,6.9,7.4,7.7,6.7,7,8.1,7.1,6.6
EHD4-AS1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.3,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.4,0.1,0,0.1,0.2,0.2,0,0.1,0.2,0.2,0.2,0,0.2,0.1,0.2,0.4,0.1,0,0,0,0.1,0
RPL7L1P12,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0
CH17-38B12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL8B,5.1,4.9,5.1,4.6,4.8,4.9,5.2,5.6,4.9,5.4,4.5,4.6,4.1,4.5,4.6,5.7,4.9,4.3,4.6,5.5,5.1,5.7,5,4.5,4.6,5,5.2,4.6,4.7,4.9,5.4,5.2,5.2,5,4.7,5.1,4.3,5,5.6,4,4.6,5.7,5,5.1,5.2,4.6,4.8,5.2,4.4,4.9
RP11-166P13.4,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0,0.4,0,0.1,0.1,0.3,0,0.1,0.2,0.1,0,0.2,0,0.1,0.1,0,0.1,0.2,0.1,0.3,0,0.1,0.1,0,0.2,0.1,0,0.1,0,0.6,0.2,0.1,0,0.3,0,0,0.3,0.2,0.1,0,0.1
CALB2,0.5,0,0.3,3.4,0.5,0,3.1,0,2.6,0.1,0.6,0.2,0.2,1.8,0.2,0.2,1,0.8,1.4,0.3,0.1,0.1,0.9,0.1,0.1,0.6,0.3,0.2,1.2,0.2,0.3,0.5,0.2,0.7,2.8,0.5,0.2,0.6,0.7,1.2,1,0.6,0.9,2.7,0.3,0.3,0.5,0.1,0.2,0.9
MFSD3,3.8,3.9,4.5,2.8,3,4.4,2.6,3.7,3.4,5.5,3,4.8,3.2,3.1,3.6,4.2,3.4,3.5,3.4,4.3,2.9,3.3,2.9,2.4,4.2,3,2.9,3.5,2.6,5.5,3.5,2.7,5.1,2.4,3.7,3.5,4.1,5.2,2,3.6,4.2,1.7,3.4,3.1,4.1,2.9,2.4,3.7,3.1,2.9
AC092839.4,0.3,0,0.1,0,0,0.1,0.1,0.2,0.3,0,0.2,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0.1,0.2,0,0.1,0,0.1,0,0.4,0,0.1,0.5,0.2,0.1,0.2,0.1,0,0,0.1,0,0.1,0.1
LINC00636,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0
PIGV,2.5,3.6,2.6,2.4,2.5,3,2.5,2.9,2.1,3.8,2.1,2.9,2.7,2.7,3,3.8,2.8,2.8,2.9,2.1,2.7,3,2.8,2.1,2.3,2.8,3.3,2.9,3.3,2,3.9,2.4,3.2,3.1,2.5,3.1,3.1,2.4,2.8,2.8,2.5,2.8,3,2.8,2.8,3.2,2.7,3.2,1.9,3.1
RP11-578F21.13,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIGFP2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
CHIAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-1071N3.1,0.2,0.2,0.6,0.1,0.3,0.3,0.2,0.2,0.2,0,0.3,0.1,0.5,0.3,0.1,0.4,0.2,0.2,0.4,0.1,0.1,0,0.4,2,0.2,0.2,0.2,0.1,0.2,0.1,0,0.1,0.1,0.5,0.6,0.2,0.2,0.1,0.2,0.3,0.2,0.3,0.4,0.2,0,0.4,0.4,0.1,0.2,0.1
