,TCGA-56-5898-01,TCGA-92-8064-01,TCGA-63-A5MG-01,TCGA-22-4596-01,TCGA-37-4130-01,TCGA-43-5668-01,TCGA-56-7582-01,TCGA-63-A5MN-01,TCGA-39-5030-01,TCGA-22-5472-01,TCGA-XC-AA0X-01,TCGA-60-2721-01,TCGA-34-5239-01,TCGA-77-8131-01,TCGA-94-8490-01,TCGA-66-2782-01,TCGA-21-1082-01,TCGA-85-A511-01,TCGA-52-7812-01,TCGA-90-7769-01,TCGA-NC-A5HG-01,TCGA-NC-A5HI-01,TCGA-56-7580-01,TCGA-18-3416-01,TCGA-85-7950-01,TCGA-56-8622-01,TCGA-22-5482-01,TCGA-18-3408-01,TCGA-63-A5MI-01,TCGA-66-2777-01,TCGA-85-8070-01,TCGA-77-8136-01,TCGA-66-2778-01,TCGA-98-A53H-01,TCGA-66-2787-01,TCGA-66-2783-01,TCGA-85-8351-01,TCGA-77-8140-01,TCGA-22-A5C4-01,TCGA-85-8287-01,TCGA-NC-A5HH-01,TCGA-NK-A7XE-01,TCGA-37-4135-01,TCGA-58-A46M-01,TCGA-94-A5I4-01,TCGA-37-3792-01,TCGA-98-A53A-01,TCGA-39-5011-01,TCGA-39-5022-01,TCGA-77-8128-01
RP11-368I23.2,0,0,0,0.1,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0.1,0,0.1,0.8,3.3,0,0.1,0,0,0,1.2,0,0,0.6,0.3,0,0,0.1,0.2,0.1,0,0,0,1.2,0.5,0.1,0,0.1,0,0.1
RP11-742D12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
RAB4B,2.4,1.9,2.5,2.2,2.7,2.4,1.8,2.3,2.2,2.5,2.3,2.6,2.1,2.4,1.5,2.2,2.2,2.1,2,2.5,1.6,2.9,2.3,2,1.9,3,1.8,1.3,0.6,2.7,2.2,2.4,3,2.6,2.3,1.8,1.2,2.3,2.8,1.9,2.5,2.9,2.4,2.1,2.8,2.2,1.9,2.4,2.6,1.8
AC104183.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12orf5,2.4,2.4,2.5,2.6,1.9,2.5,2.2,2.2,2.8,2.4,2.4,2.3,2.6,2.8,2.5,2.8,2,3.5,3,2.5,2.7,2,2.5,2.5,3,2.1,2.2,2.4,2.6,3.1,2.2,2.3,2.6,2.2,2.7,2,2.2,2.3,2.5,2.4,2.7,3.1,2.3,2.3,3.5,3.9,1.6,2.6,2.4,3
RNF44,4.2,3.8,3.7,3.8,2.1,3.4,3.8,4,4.3,3.8,4.2,3.9,4.4,4.1,3.9,4,4,4.1,3.7,3.4,4.1,3.6,3.3,3.6,4.9,3.7,3.2,1.6,3.3,3,4.4,3.5,2.1,3.8,3.2,4.7,4.4,4.4,3.1,4.4,3.5,3.5,2.1,4.5,3.9,3,4.3,3,3.9,3.7
NUP210P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1
DNAH3,0.1,0.1,0.1,1.4,0.3,0.3,0.3,0.2,0.2,1.1,0.7,0.5,0.2,0.4,0.1,0.3,0.8,0.2,0.2,0.1,0.6,0.5,0.1,0.2,0.3,0.1,0.2,0.3,0.7,0.3,0,0.3,0.2,2.8,0.1,0.9,0.2,0.1,0.2,0.1,0.6,0.1,0.1,0.4,0.4,0.8,0.1,0.1,0.1,0.2
RPL23A,6.6,6.5,6.2,7.1,8,6.6,7.1,7.1,6.8,6.5,6.7,6.3,7.3,6.4,6.4,7.1,6.4,6.6,7.3,7.9,6.6,6.6,7.5,6.8,6.7,6.8,6.3,7.5,7.2,6.8,7.9,5.6,7.4,6.8,7.1,6.3,7.7,7,6.7,6.7,8,7.7,8.6,7,7.6,7.4,6.9,7.3,7.1,6.8
EHD4-AS1,0.1,0,0.1,0.4,0,0.2,0.1,0.1,0.1,0.2,0,0.1,0.1,0,0.1,0.1,0.1,0.2,0,0.3,0,0,0,0,0.2,0,0.1,0,0,0,0.2,0.3,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0,0,0,0,0.1,0.2,0.6,0.1,0,0,0
