	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	82	0.690998084875812	1.89491655403926	0.00154798761609907	0.0645090359376074	0.0559117852350935	1871	tags=39%, list=12%, signal=34%	SOX11/DLX2/HOXD10/HOXA2/HOXA6/EYA1/MMP16/DLX1/DMRT2/HOXB9/HOXB8/BMP7/SIX4/HOXA3/HOXB5/SIX2/HOXA5/MDFI/HOXA7/NKX3-2/ZEB1/HOXD3/HOXA11/HOXB6/HOXA9/SHOX2/PRRX1/HOXB2/HOXD9/HOXB3/HOXD1/COL11A1
GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	63	0.707274310397885	1.86920811195766	0.0015527950310559	0.0645090359376074	0.0559117852350935	1871	tags=41%, list=12%, signal=36%	SOX11/DLX2/HOXD10/HOXA2/HOXA6/EYA1/MMP16/HOXB8/BMP7/SIX4/HOXA3/HOXB5/SIX2/HOXA5/MDFI/HOXA7/ZEB1/HOXD3/HOXA11/HOXB6/SHOX2/PRRX1/HOXB2/HOXD9/HOXB3/COL11A1
GO_PERIKARYON	GO_PERIKARYON	GO_PERIKARYON	58	0.699983094325321	1.84288703505095	0.00154798761609907	0.0645090359376074	0.0559117852350935	1804	tags=38%, list=12%, signal=34%	TMEM100/KCNA2/NTSR1/PTPRN/CAMK2B/GRIK3/ITGA8/KCNK1/GRIK5/AMIGO1/HPCA/NPFF/PDE11A/DRP2/NTRK2/NGFR/ITGA1/UCN/TTLL7/GNRH1/KCNAB1/NEFH
GO_DYNEIN_COMPLEX	GO_DYNEIN_COMPLEX	GO_DYNEIN_COMPLEX	28	0.799484543925461	1.82664161888395	0.00170357751277683	0.0645090359376074	0.0559117852350935	484	tags=21%, list=3%, signal=21%	DNAH9/DNAH2/DNAH6/DNAH7/DNAH10/DNALI1
GO_SPINAL_CORD_DEVELOPMENT	GO_SPINAL_CORD_DEVELOPMENT	GO_SPINAL_CORD_DEVELOPMENT	54	0.702405636125218	1.82271449870891	0.00158227848101266	0.0645090359376074	0.0559117852350935	1054	tags=26%, list=7%, signal=24%	SOX11/HOXD10/PTN/ZIC1/RELN/HOXB8/PROX1/NOVA1/LHX4/SLIT2/HOXC10/INTU/NPFF/GLI2
GO_APPENDAGE_DEVELOPMENT	GO_APPENDAGE_DEVELOPMENT	GO_APPENDAGE_DEVELOPMENT	104	0.626938431288328	1.75897721360092	0.0029806259314456	0.0645090359376074	0.0559117852350935	1600	tags=27%, list=10%, signal=24%	SOX11/SALL1/HOXD10/DLX6/RNF165/MEOX2/RSPO4/WNT3/HOXC13/BMP7/FRAS1/HOXC10/ALDH1A2/GPC3/FBN2/INTU/DLX5/PKDCC/GLI2/HOXA11/HOXA9/LRP4/MSX1/SFRP2/SHOX2/PRRX1/CRABP2/HOXD9
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	16	0.850457307800577	1.75667806013282	0.00165289256198347	0.0645090359376074	0.0559117852350935	1645	tags=81%, list=11%, signal=73%	PCDHB11/PCDHB6/CDH2/PCDHB3/PCDHB10/PCDHB9/PCDHB5/PCDHB14/PCDHB2/PCDHB16/CDH13/PCDHB4/NLGN1
GO_SKELETAL_SYSTEM_MORPHOGENESIS	GO_SKELETAL_SYSTEM_MORPHOGENESIS	GO_SKELETAL_SYSTEM_MORPHOGENESIS	129	0.610506627727385	1.75269837227004	0.0029585798816568	0.0645090359376074	0.0559117852350935	2376	tags=36%, list=16%, signal=30%	SOX11/DLX2/FREM1/HOXD10/HOXA2/HOXA6/EYA1/MMP16/HOXB8/BMP7/SIX4/HOXA3/HOXB5/SIX2/HOXA5/MDFI/HOXA7/COL13A1/FBN2/NKX3-2/DLX5/SFRP1/TGFB2/ZEB1/HOXD3/FGF18/HOXA11/HOXB6/STC1/MSX1/MGP/SFRP2/SHOX2/PRRX1/HOXB2/HOXD9/HOXB3/HOXC8/COL11A1/CSGALNACT1/HOXA1/TGFB3/HOXD8/ROR2/HOXB7/IFT80
GO_RESPONSE_TO_BMP	GO_RESPONSE_TO_BMP	GO_RESPONSE_TO_BMP	49	0.683646931241515	1.74077577055822	0.00156739811912226	0.0645090359376074	0.0559117852350935	2689	tags=43%, list=18%, signal=35%	TMEM100/SMAD9/CHRDL1/BMP7/BMP2/GDF10/DLX5/SFRP1/HFE/BMP8B/LRP4/MSX1/ADAMTS12/GDF9/RGMA/GDF1/POU5F1/ROR2/RUNX2/ACVR2A/SMURF2
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	119	0.609312723037866	1.72840305103413	0.0029673590504451	0.0645090359376074	0.0559117852350935	2438	tags=34%, list=16%, signal=28%	HOXD10/HOXA2/HOXA6/MEOX2/WNT3/HOXB9/HOXB8/HOXC13/ARC/BMP2/HOXA3/HOXB5/SIX2/HOXA5/HOXC10/HOXA7/ALDH1A2/GPC3/SFRP1/GLI2/HOXD3/HOXA11/HOXB6/HOXA9/MSX1/SFRP2/PAX6/FOXH1/HOXB2/PGAP1/HOXD9/HOXB3/HOXC8/PCSK6/SMO/XRCC2/HOXD8/ROR2/HOXB7/GDF11
