	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_APPENDAGE_DEVELOPMENT	GO_APPENDAGE_DEVELOPMENT	GO_APPENDAGE_DEVELOPMENT	104	-0.691885594347891	-2.02574077611694	0.00961538461538462	0.113689207517923	0.0994809247493856	883	tags=22%, list=6%, signal=21%	FGFR2/FRAS1/GPC3/MSX1/BMPR1B/LRP4/HOXA9/HOXC10/CRABP2/DLX5/RNF165/MSX2/HOXA11/DLX6/HOXC13/PITX2/SOX11/BMP7/SALL1/WNT3/HOXD10/RSPO4
GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	82	-0.711653342294515	-2.01870880038625	0.00757575757575758	0.0976939726939727	0.0854846907478486	1844	tags=45%, list=12%, signal=40%	HOXB7/SATB2/NKX3-2/HOXC6/BMP4/HOXA1/COL11A1/EYA1/HOXB6/HOXC9/IRX5/HOXD1/MMP16/HOXD9/FGFR2/HOXA3/SIX4/HOXB9/HOXD3/HOXB5/HOXA7/HOXA9/MDFI/HOXA5/HOXB8/HOXA2/WNT11/DLX1/DMRT2/SIX2/HOXA11/DLX2/SOX11/BMP7/HOXA6/HOXD10
GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	121	-0.643505132864103	-1.93984439243905	0.0104166666666667	0.119549714751426	0.104609016428602	1311	tags=31%, list=9%, signal=28%	JAG2/POU3F2/VANGL2/EDA2R/SOX9/POU3F1/SMO/FABP5/TCHH/EGFR/KRT10/FGFR2/TGFB2/LHX2/GLI1/GRHL1/LRP4/HRNR/COL7A1/PPL/CRABP2/KRT5/FLG/DNASE1L2/CNFN/TGM1/HOXC13/PITX2/SFN/OVOL1/ELF3/SPINK5/HOXB13/SOSTDC1/EVPL/BNC1
GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	63	-0.709076053086456	-1.9229366726263	0.00568181818181818	0.082918212329977	0.0725555276638868	1362	tags=46%, list=9%, signal=42%	HOXB7/SATB2/BMP4/HOXA1/COL11A1/EYA1/HOXB6/HOXC9/IRX5/MMP16/HOXD9/FGFR2/HOXA3/SIX4/HOXD3/HOXB5/HOXA7/MDFI/HOXA5/HOXB8/HOXA2/SIX2/HOXA11/DLX2/SOX11/BMP7/HOXA6/HOXD10
GO_PROXIMAL_DISTAL_PATTERN_FORMATION	GO_PROXIMAL_DISTAL_PATTERN_FORMATION	GO_PROXIMAL_DISTAL_PATTERN_FORMATION	21	-0.882007948625429	-1.91564939492629	0.0032258064516129	0.0558743006784907	0.0488914227003051	883	tags=57%, list=6%, signal=54%	IRX3/GLI1/LRP4/HOXA9/HOXC10/DLX1/HOXA11/DLX2/HOXD10/IRX2/IRX1
GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	18	-0.860046575830003	-1.84413432865028	0.00309597523219814	0.0542257751490227	0.0474489212727304	342	tags=17%, list=2%, signal=16%	AP3B2/KIF1A
GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	22	-0.823618154426338	-1.82408907233547	0.00334448160535117	0.0575054822546461	0.0503187477311751	342	tags=14%, list=2%, signal=13%	AP3B2/KIF1A
GO_DIENCEPHALON_DEVELOPMENT	GO_DIENCEPHALON_DEVELOPMENT	GO_DIENCEPHALON_DEVELOPMENT	35	-0.734134858065212	-1.80836712185745	0.00389105058365759	0.0643119416890448	0.0562745714508225	1808	tags=49%, list=12%, signal=43%	SEMA5A/GATA2/BMP2/WNT4/BMP4/POU3F2/SMO/GLI1/PTN/OTX1/POU4F1/HAP1/PITX2/SOX2/CHRNB2/SALL1
GO_MESONEPHROS_DEVELOPMENT	GO_MESONEPHROS_DEVELOPMENT	GO_MESONEPHROS_DEVELOPMENT	51	-0.691062263089814	-1.80817770599618	0.0050761421319797	0.0768626166693958	0.0672567286892522	1887	tags=45%, list=12%, signal=40%	OSR2/HES1/BMP2/WNT4/BMP4/GDF11/SDC1/EYA1/SOX9/WNT6/BMPER/FGFR2/GPC3/TACSTD2/SMAD9/FOXD1/WNT11/HOXA11/CRLF1/BMP7/SALL1/ROBO2
GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	26	-0.774913432551588	-1.79930222655908	0.00714285714285714	0.0942775820316535	0.0824952627290184	550	tags=15%, list=4%, signal=15%	HAP1/AP3B2/KIF1A
