	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	121	0.6510988441236	2.2241655741961	0.037037037037037	0.321947873799726	0.294707963323948	994	tags=31%, list=7%, signal=30%	OVOL1/SFN/EVPL/SPINK5/ELF3/KRT5/BNC1/TGM1/CNFN/FGFR2/PITX2/DNASE1L2/POU3F1/FLG/CDH3/DCT/HOXB13/LAMC2/HRNR/GRHL1/CRABP2/SOSTDC1/COL7A1/MCOLN3/KRT10/TCHH/PPL/HOXC13/EGFR/STRC/GLI1/FABP5/TMEM79/CELSR1/JAG2/KAZN/VANGL2/AGPAT2
GO_KERATINIZATION	GO_KERATINIZATION	GO_KERATINIZATION	13	0.925105872245143	2.10434002644745	0.004739336492891	0.108243975556324	0.0990854861123754	913	tags=77%, list=6%, signal=72%	SFN/EVPL/TGM1/CNFN/CDH3/HRNR/TCHH/PPL/TMEM79/KAZN
GO_DESMOSOME	GO_DESMOSOME	GO_DESMOSOME	17	0.859675477246697	2.06859849704845	0.00555555555555556	0.110232300365406	0.100905579371557	913	tags=47%, list=6%, signal=44%	EVPL/PKP1/PKP3/KRT80/PPL/PERP/JUP/KAZN
GO_KERATINOCYTE_DIFFERENTIATION	GO_KERATINOCYTE_DIFFERENTIATION	GO_KERATINOCYTE_DIFFERENTIATION	38	0.755526682846523	2.06489468689361	0.00840336134453781	0.124701131714574	0.114150207355166	913	tags=37%, list=6%, signal=35%	SFN/EVPL/TGM1/CNFN/DNASE1L2/POU3F1/FLG/CDH3/HRNR/KRT10/TCHH/PPL/TMEM79/KAZN
GO_DEVELOPMENTAL_PIGMENTATION	GO_DEVELOPMENTAL_PIGMENTATION	GO_DEVELOPMENTAL_PIGMENTATION	24	0.793854892289675	2.05539018123717	0.00671140939597315	0.115396907343216	0.105633210543136	313	tags=25%, list=2%, signal=25%	TYRP1/GPR143/SLC45A2/KIT/DCT/TYR
GO_EPIDERMAL_CELL_DIFFERENTIATION	GO_EPIDERMAL_CELL_DIFFERENTIATION	GO_EPIDERMAL_CELL_DIFFERENTIATION	61	0.67611736934114	2.04645353774588	0.0128205128205128	0.158784926594953	0.145350182844975	913	tags=33%, list=6%, signal=31%	SFN/EVPL/SPINK5/TGM1/CNFN/PITX2/DNASE1L2/POU3F1/FLG/CDH3/HRNR/MCOLN3/KRT10/TCHH/PPL/STRC/GLI1/TMEM79/JAG2/KAZN
GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	18	0.832897299732051	2.03561820113546	0.00564971751412429	0.110232300365406	0.100905579371557	399	tags=17%, list=3%, signal=16%	KIF1A/HAP1/AP3B2
GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	26	0.761257920881291	1.99931940399121	0.00709219858156028	0.115722650231125	0.105931392425594	399	tags=15%, list=3%, signal=15%	KIF1A/HAP1/KLC3/AP3B2
GO_SKIN_DEVELOPMENT	GO_SKIN_DEVELOPMENT	GO_SKIN_DEVELOPMENT	106	0.58762463498052	1.9524216892724	0.0303030303030303	0.278360908497895	0.254808877736059	979	tags=25%, list=6%, signal=24%	OVOL1/SFN/EVPL/SPINK5/TGM1/CNFN/FGFR2/ALOX12/DNASE1L2/CLDN4/POU3F1/FLG/CDH3/HRNR/ASPRV1/SOSTDC1/KRT10/TCHH/PPL/HOXC13/EGFR/TMEM79/CELSR1/JUP/KAZN/VANGL2/TCF15
GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	22	0.753191602838581	1.90853397521529	0.00609756097560976	0.111460960169447	0.102030282647878	399	tags=14%, list=3%, signal=13%	KIF1A/HAP1/AP3B2
