Microcosm ID	Soil type	Soil layer	"Plant presence/
absence"	Replicate	Sampling time	Sampling date	Days after planting	Season	"Total respiration 
(Rtotal, g C-CO2 
m-2 day-1)"	"Respiration of plant-derived OC 
(Rplant, g C-CO2 
m-2 day-1)"	"Respiration of soil-derived OC 
(Rsoil, g C-CO2 
m-2 day-1)"	"Native SOC decomposition rate 
(kSOC, µg C-CO2 
g-1 SOC day-1)"	"Rhizosphere priming effect (RPE,  % of change in kSOC)"
1	Cambisol	Topsoil	Planted	a	1	2016/12/15	76	Fall	4.79	2.65	2.14	115.59	5.63
2	Cambisol	Topsoil	Planted	b	1	2016/12/15	76	Fall	4.64	2.56	2.09	114.01	4.18
3	Cambisol	Topsoil	Planted	c	1	2016/12/15	76	Fall	4.36	2.41	1.96	105.24	-3.83
4	Cambisol	Topsoil	Planted	d	1	2016/12/15	76	Fall	3.95	1.91	2.05	104.34	-4.65
5	Cambisol	Topsoil	Unplanted	a	1	2016/12/15	76	Fall	3	0.84	2.16	115.32	
6	Cambisol	Topsoil	Unplanted	b	1	2016/12/15	76	Fall	2.08	0.62	1.46	77.74	
7	Cambisol	Topsoil	Unplanted	c	1	2016/12/15	76	Fall	3.32	0.81	2.51	133.89	
8	Cambisol	Topsoil	Unplanted	d	1	2016/12/15	76	Fall	2.78	0.71	2.08	110.78	
9	Cambisol	Subsoil	Planted	a	1	2016/12/15	76	Fall	1.4	0.79	0.61	44	-12.78
10	Cambisol	Subsoil	Planted	b	1	2016/12/15	76	Fall	1.69	1.09	0.6	43.21	-14.34
11	Cambisol	Subsoil	Planted	c	1	2016/12/15	76	Fall	2.15	1.39	0.76	53.98	7
12	Cambisol	Subsoil	Planted	d	1	2016/12/15	76	Fall	2.64	1.88	0.76	53.77	6.58
13	Cambisol	Subsoil	Unplanted	a	1	2016/12/15	76	Fall	1.11	0.38	0.73	52.11	
14	Cambisol	Subsoil	Unplanted	b	1	2016/12/15	76	Fall	1.03	0.53	0.5	35.9	
15	Cambisol	Subsoil	Unplanted	c	1	2016/12/15	76	Fall	1.46	0.44	1.03	73.3	
16	Cambisol	Subsoil	Unplanted	d	1	2016/12/15	76	Fall	0.83	0.26	0.57	40.49	
17	Vertisol	Topsoil	Planted	a	1	2016/12/15	76	Fall	5.14	2.62	2.52	69.38	-28.42
18	Vertisol	Topsoil	Planted	b	1	2016/12/15	76	Fall	6.45	3.5	2.95	81.23	-16.19
19	Vertisol	Topsoil	Planted	c	1	2016/12/15	76	Fall	6.89	3.38	3.51	95.76	-1.19
20	Vertisol	Topsoil	Planted	d	1	2016/12/15	76	Fall	7.03	3.27	3.75	104.9	8.24
21	Vertisol	Topsoil	Unplanted	a	1	2016/12/15	76	Fall	4.78	1.11	3.67	101.2	
22	Vertisol	Topsoil	Unplanted	b	1	2016/12/15	76	Fall	3.45	0.4	3.05	84.13	
23	Vertisol	Topsoil	Unplanted	c	1	2016/12/15	76	Fall	4.31	0.91	3.41	93.98	
24	Vertisol	Topsoil	Unplanted	d	1	2016/12/15	76	Fall	4.83	0.9	3.93	108.35	
25	Vertisol	Subsoil	Planted	a	1	2016/12/15	76	Fall	1.15	0.65	0.49	47.63	0.93
26	Vertisol	Subsoil	Planted	b	1	2016/12/15	76	Fall	1.32	0.84	0.48	48.28	2.33
27	Vertisol	Subsoil	Planted	c	1	2016/12/15	76	Fall	1.85	1.2	0.66	66.07	40.02
28	Vertisol	Subsoil	Planted	d	1	2016/12/15	76	Fall	1.24	0.57	0.67	63.91	35.44
29	Vertisol	Subsoil	Unplanted	a	1	2016/12/15	76	Fall	0.61	0.11	0.5	48.71	
30	Vertisol	Subsoil	Unplanted	b	1	2016/12/15	76	Fall	0.45	0.12	0.33	32.45	
31	Vertisol	Subsoil	Unplanted	c	1	2016/12/15	76	Fall	0.66	0.09	0.57	55.67	
32	Vertisol	Subsoil	Unplanted	d	1	2016/12/15	76	Fall	0.66	0.14	0.53	51.91	
33	Andosol	Topsoil	Planted	a	1	2016/12/15	76	Fall	4.61	2.95	1.65	53.41	-10.36
34	Andosol	Topsoil	Planted	b	1	2016/12/15	76	Fall	3.23	1.72	1.52	50.62	-15.04
35	Andosol	Topsoil	Planted	c	1	2016/12/15	76	Fall	7.01	4.2	2.81	89.85	50.82
36	Andosol	Topsoil	Planted	d	1	2016/12/15	76	Fall	6.37	3.76	2.61	81.77	37.26
37	Andosol	Topsoil	Unplanted	a	1	2016/12/15	76	Fall	2.83	0.67	2.17	69.81	
38	Andosol	Topsoil	Unplanted	b	1	2016/12/15	76	Fall	1.66	0.4	1.26	40.57	
39	Andosol	Topsoil	Unplanted	c	1	2016/12/15	76	Fall	2.33	0.53	1.79	57.82	
40	Andosol	Topsoil	Unplanted	d	1	2016/12/15	76	Fall	2.89	0.71	2.18	70.11	
41	Andosol	Subsoil	Planted	a	1	2016/12/15	76	Fall	1.27	0.73	0.54	27.8	12.61
42	Andosol	Subsoil	Planted	b	1	2016/12/15	76	Fall	1.24	0.69	0.55	24.05	-2.61
43	Andosol	Subsoil	Planted	c	1	2016/12/15	76	Fall	1.37	0.69	0.67	35.77	44.89
44	Andosol	Subsoil	Planted	d	1	2016/12/15	76	Fall	1.1	0.54	0.56	30.91	25.19
45	Andosol	Subsoil	Unplanted	a	1	2016/12/15	76	Fall	0.7	0.23	0.47	23.55	
46	Andosol	Subsoil	Unplanted	b	1	2016/12/15	76	Fall	0.63	0.25	0.37	18.83	
47	Andosol	Subsoil	Unplanted	c	1	2016/12/15	76	Fall	0.91	0.25	0.66	33.07	
48	Andosol	Subsoil	Unplanted	d	1	2016/12/15	76	Fall	0.65	0.19	0.46	23.32	
1	Cambisol	Topsoil	Planted	a	2	2017/2/16	139	Winter	7.75	4.67	3.07	166.07	32.58
2	Cambisol	Topsoil	Planted	b	2	2017/2/16	139	Winter	8.51	6.26	2.25	123.18	-1.66
3	Cambisol	Topsoil	Planted	c	2	2017/2/16	139	Winter	6.1	3.78	2.33	125.12	-0.11
4	Cambisol	Topsoil	Planted	d	2	2017/2/16	139	Winter	4.57	2.32	2.25	114.56	-8.54
5	Cambisol	Topsoil	Unplanted	a	2	2017/2/16	139	Winter	3.19	0.85	2.34	124.69	
6	Cambisol	Topsoil	Unplanted	b	2	2017/2/16	139	Winter	3.97	1.43	2.54	135.35	
7	Cambisol	Topsoil	Unplanted	c	2	2017/2/16	139	Winter	2.5	0.51	1.99	105.94	
8	Cambisol	Topsoil	Unplanted	d	2	2017/2/16	139	Winter	3.86	1.33	2.53	135.06	
9	Cambisol	Subsoil	Planted	a	2	2017/2/16	139	Winter	2.82	2.22	0.6	42.99	2.36
10	Cambisol	Subsoil	Planted	b	2	2017/2/16	139	Winter	4.49	3.85	0.64	46.72	11.24
11	Cambisol	Subsoil	Planted	c	2	2017/2/16	139	Winter	2.14	0.88	1.26	89.41	112.9
12	Cambisol	Subsoil	Planted	d	2	2017/2/16	139	Winter	3.08	1.97	1.11	78.88	87.82
13	Cambisol	Subsoil	Unplanted	a	2	2017/2/16	139	Winter	0.82	0.22	0.6	42.97	
14	Cambisol	Subsoil	Unplanted	b	2	2017/2/16	139	Winter	0.91	0.34	0.57	40.99	
15	Cambisol	Subsoil	Unplanted	c	2	2017/2/16	139	Winter	0.78	0	0.78	56.04	
16	Cambisol	Subsoil	Unplanted	d	2	2017/2/16	139	Winter	0.63	0.24	0.39	27.99	
17	Vertisol	Topsoil	Planted	a	2	2017/2/16	139	Winter	11.19	7.44	3.75	103.25	5.11
18	Vertisol	Topsoil	Planted	b	2	2017/2/16	139	Winter	11.17	6.8	4.38	120.62	22.8
19	Vertisol	Topsoil	Planted	c	2	2017/2/16	139	Winter	6.01	2.49	3.52	96.15	-2.11
20	Vertisol	Topsoil	Planted	d	2	2017/2/16	139	Winter	7.22	3.82	3.4	95.15	-3.13
21	Vertisol	Topsoil	Unplanted	a	2	2017/2/16	139	Winter	6.13	1.55	4.58	126.21	
22	Vertisol	Topsoil	Unplanted	b	2	2017/2/16	139	Winter	5.01	1.05	3.96	109.19	
23	Vertisol	Topsoil	Unplanted	c	2	2017/2/16	139	Winter	3.84	0.58	3.26	89.91	
24	Vertisol	Topsoil	Unplanted	d	2	2017/2/16	139	Winter	2.45	0	2.45	67.59	
25	Vertisol	Subsoil	Planted	a	2	2017/2/16	139	Winter	3.12	2.73	0.38	36.92	-13.61
26	Vertisol	Subsoil	Planted	b	2	2017/2/16	139	Winter	4.11	3.57	0.54	54.26	26.98
27	Vertisol	Subsoil	Planted	c	2	2017/2/16	139	Winter	2.32	1.5	0.82	82.65	93.41
28	Vertisol	Subsoil	Planted	d	2	2017/2/16	139	Winter	2.64	1.75	0.89	84.88	98.64
29	Vertisol	Subsoil	Unplanted	a	2	2017/2/16	139	Winter	0.63	0.05	0.58	56.91	
30	Vertisol	Subsoil	Unplanted	b	2	2017/2/16	139	Winter	0.47	0.15	0.32	31.48	
31	Vertisol	Subsoil	Unplanted	c	2	2017/2/16	139	Winter	0.56	0.09	0.46	45.68	
32	Vertisol	Subsoil	Unplanted	d	2	2017/2/16	139	Winter	0.51	0.14	0.37	36.84	
33	Andosol	Topsoil	Planted	a	2	2017/2/16	139	Winter	7.55	5.87	1.68	54.27	-1.34
34	Andosol	Topsoil	Planted	b	2	2017/2/16	139	Winter	6.43	4.07	2.37	78.95	43.52
35	Andosol	Topsoil	Planted	c	2	2017/2/16	139	Winter	5.65	2.77	2.87	91.86	66.99
36	Andosol	Topsoil	Planted	d	2	2017/2/16	139	Winter	4.67	2.61	2.06	64.36	16.99
37	Andosol	Topsoil	Unplanted	a	2	2017/2/16	139	Winter	3.17	0.91	2.26	72.75	
38	Andosol	Topsoil	Unplanted	b	2	2017/2/16	139	Winter	2.25	0.48	1.77	56.94	
