ID	Sum C10-R1	Sum C11-R1	Sum C12-R1	Sum C13-R1	Sum C14-R1	Sum C15-R1	Sum C16-R1	Sum C17-R1
Sum C10-R2	Sum C11-R2	Sum C12-R2	Sum C13-R2	Sum C14-R2	Sum C15-R2	Sum C16-R2	Sum C17-R2
Sum C10-R3	Sum C11-R3	Sum C12-R3	Sum C13-R3	Sum C14-R3	Sum C15-R3	Sum C16-R3	Sum C17-R3
Sum C10-R4	Sum C11-R4	Sum C12-R4	Sum C13-R4	Sum C14-R4	Sum C15-R4	Sum C16-R4	Sum C17-R4
Sum C10-R5	Sum C11-R5	Sum C12-R5	Sum C13-R5	Sum C14-R5	Sum C15-R5	Sum C16-R5	Sum C17-R5
Sum C10-R6	Sum C11-R6	Sum C12-R6	Sum C13-R6	Sum C14-R6	Sum C15-R6	Sum C16-R6	Sum C17-R6
Sum C10-R7	Sum C11-R7	Sum C12-R7	Sum C13-R7	Sum C14-R7	Sum C15-R7	Sum C16-R7	Sum C17-R7
Sum C10-R8	Sum C11-R8	Sum C12-R8	Sum C13-R8	Sum C14-R8	Sum C15-R8	Sum C16-R8	Sum C17-R8
Sum C10-R9	Sum C11-R9	Sum C12-R9	Sum C13-R9	Sum C14-R9	Sum C15-R9	Sum C16-R9	Sum C17-R9
Sum C10-R10	Sum C11-R10	Sum C12-R10	Sum C13-R10	Sum C14-R10	Sum C15-R10	Sum C16-R10	Sum C17-R10
Sum C10-R11	Sum C11-R11	Sum C12-R11	Sum C13-R11	Sum C14-R11	Sum C15-R11	Sum C16-R11	Sum C17-R11
Sum C10-R12	Sum C11-R12	Sum C12-R12	Sum C13-R12	Sum C14-R12	Sum C15-R12	Sum C16-R12	Sum C17-R12
Sum C10-R13	Sum C11-R13	Sum C12-R13	Sum C13-R13	Sum C14-R13	Sum C15-R13	Sum C16-R13	Sum C17-R13
Sum C10-R14	Sum C11-R14	Sum C12-R14	Sum C13-R14	Sum C14-R14	Sum C15-R14	Sum C16-R14	Sum C17-R14
Sum C10-L1	Sum C11-L1	Sum C12-L1	Sum C13-L1	Sum C14-L1	Sum C15-L1	Sum C16-L1	Sum C17-L1
Sum C10-L2	Sum C11-L2	Sum C12-L2	Sum C13-L2	Sum C14-L2	Sum C15-L2	Sum C16-L2	Sum C17-L2
Sum C10-L3	Sum C11-L3	Sum C12-L3	Sum C13-L3	Sum C14-L3	Sum C15-L3	Sum C16-L3	Sum C17-L3
Sum C10-L4	Sum C11-L4	Sum C12-L4	Sum C13-L4	Sum C14-L4	Sum C15-L4	Sum C16-L4	Sum C17-L4
Sum C10-L5	Sum C11-L5	Sum C12-L5	Sum C13-L5	Sum C14-L5	Sum C15-L5	Sum C16-L5	Sum C17-L5
Sum C10-L6	Sum C11-L6	Sum C12-L6	Sum C13-L6	Sum C14-L6	Sum C15-L6	Sum C16-L6	Sum C17-L6
Sum C10-L7	Sum C11-L7	Sum C12-L7	Sum C13-L7	Sum C14-L7	Sum C15-L7	Sum C16-L7	Sum C17-L7
Sum C10-L8	Sum C11-L8	Sum C12-L8	Sum C13-L8	Sum C14-L8	Sum C15-L8	Sum C16-L8	Sum C17-L8
Sum C10-L9	Sum C11-L9	Sum C12-L9	Sum C13-L9	Sum C14-L9	Sum C15-L9	Sum C16-L9	Sum C17-L9
Sum C10-L10	Sum C11-L10	Sum C12-L10	Sum C13-L10	Sum C14-L10	Sum C15-L10	Sum C16-L10	Sum C17-L10
Sum C10-L11	Sum C11-L11	Sum C12-L11	Sum C13-L11	Sum C14-L11	Sum C15-L11	Sum C16-L11	Sum C17-L11
Sum C10-L12	Sum C11-L12	Sum C12-L12	Sum C13-L12	Sum C14-L12	Sum C15-L12	Sum C16-L12	Sum C17-L12
Sum C10-L13	Sum C11-L13	Sum C12-L13	Sum C13-L13	Sum C14-L13	Sum C15-L13	Sum C16-L13	Sum C17-L13
Sum C10-L14	Sum C11-L14	Sum C12-L14	Sum C13-L14	Sum C14-L14	Sum C15-L14	Sum C16-L14	Sum C17-L14
Sum C10-L15	Sum C11-L15	Sum C12-L15	Sum C13-L15	Sum C14-L15	Sum C15-L15	Sum C16-L15	Sum C17-L15
Sum C10-L16	Sum C11-L16	Sum C12-L16	Sum C13-L16	Sum C14-L16	Sum C15-L16	Sum C16-L16	Sum C17-L16
MTMR14	10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
