ID	Type	TTYH3	C3orf35	SNRPGP14
TCGA-HU-A4GH-11A-11R-A36D-31	Normal	5.735164	0.3448503	0.4702981
TCGA-BR-6454-11A-01R-1802-13	Normal	16.94028	0.0803146	0
TCGA-CG-5730-11A-01R-1602-13	Normal	22.83843	0.181817	0
TCGA-HU-A4GN-11A-12R-A251-31	Normal	4.878652	0.1229403	0
TCGA-HU-A4GY-11A-11R-A36D-31	Normal	4.804239	0.2150123	0.4762204
TCGA-HU-A4GP-11A-21R-A251-31	Normal	6.444134	0.1383658	0.1573713
TCGA-BR-6802-11A-01R-1884-13	Normal	1.194098	0.1073138	0
TCGA-HU-A4GC-11A-11R-A251-31	Normal	2.42689	0.1460115	0.3964183
TCGA-BR-7717-11A-01R-2055-13	Normal	11.9748	0.07110457	0.08311767
TCGA-BR-7704-11A-01R-2055-13	Normal	11.04791	0.08190037	0.2996997
TCGA-BR-7851-11A-01R-2203-13	Normal	28.95638	0.4350254	0.244091
TCGA-CG-5728-11A-01R-1602-13	Normal	15.24182	0.1850459	0.6489282
TCGA-HU-A4HB-11A-11R-A251-31	Normal	4.311374	0.1681798	0.7372266
TCGA-FP-7735-11A-01R-2055-13	Normal	3.5406	0.09044702	0.1903104
TCGA-BR-8060-11A-01R-2343-13	Normal	4.326804	0.09068923	0.3180335
TCGA-IN-7806-11A-01R-2055-13	Normal	2.384781	0.03990797	0.06220055
TCGA-BR-6453-11A-01R-1802-13	Normal	16.11846	0.3411848	0.435085
TCGA-BR-7716-11A-01R-2055-13	Normal	14.20445	0.07184359	0.07752143
TCGA-BR-6457-11A-01R-1802-13	Normal	21.9146	0.09139254	0
TCGA-BR-7715-11A-01R-2055-13	Normal	13.69803	0.09494366	0.1024471
TCGA-IP-7968-11A-01R-2203-13	Normal	13.62191	0.1865168	0
TCGA-CG-5733-11A-01R-1602-13	Normal	12.2473	0.09732001	0.2100225
TCGA-CG-5734-11A-01R-1602-13	Normal	14.72228	0.06423449	0
TCGA-CG-5720-11A-01R-1602-13	Normal	25.60017	0.1226412	0.1323336
TCGA-IN-AB1X-11A-21R-A39E-31	Normal	4.000378	0.3234124	0.4171618
TCGA-CG-5721-11A-01R-1602-13	Normal	7.647331	0.01461429	0.2050005
TCGA-FP-7829-11A-01R-2055-13	Normal	4.558911	0.080979	0.136311
TCGA-CG-5722-11A-02R-1602-13	Normal	16.10395	0.05345969	0
TCGA-BR-7703-11A-01R-2055-13	Normal	13.42347	0.07680223	0.1267453
TCGA-IN-AB1V-11A-11R-A414-31	Normal	4.401193	0.1299069	0.8541825
TCGA-IN-8663-11A-01R-2402-13	Normal	1.713822	0.06504057	0.91235
TCGA-HU-8238-11A-01R-2343-13	Normal	23.28988	0.2459271	0
TCGA-BR-6852-01A-11R-1884-13	Tumor	41.06557	0.1934912	0.2714178
TCGA-RD-A8MW-01A-11R-A36D-31	Tumor	32.67923	0.190286	0.6066402
TCGA-VQ-AA6J-01A-11R-A414-31	Tumor	50.89658	0.3028394	1.1298
TCGA-VQ-A91D-01A-11R-A414-31	Tumor	50.38441	0.3658947	0.5227598
TCGA-BR-8372-01A-11R-2343-13	Tumor	13.8025	0.1643778	0.3640724
TCGA-CD-8533-01A-11R-2343-13	Tumor	166.1381	0.1062357	0.6773683
TCGA-BR-8361-01A-11R-2343-13	Tumor	10.06427	0.3758876	0.3065537
TCGA-BR-4367-01A-01R-1157-13	Tumor	27.53834	0.2142876	0
TCGA-D7-A747-01A-22R-A33Y-31	Tumor	21.91278	0.3979304	0.7543146
TCGA-VQ-A91A-01A-11R-A414-31	Tumor	94.02487	0.4232226	0.5162357
TCGA-VQ-A8DZ-01A-11R-A36D-31	Tumor	107.0351	0.3400627	0.6656086
TCGA-D7-A6F0-01A-11R-A31P-31	Tumor	77.57225	0.3259567	0.4204436
TCGA-BR-4369-01A-01R-1157-13	Tumor	81.04287	0.4630036	0.8564487
TCGA-D7-8573-01A-11R-2343-13	Tumor	97.11271	0.346974	0.4731944
TCGA-CG-4437-01A-01R-1802-13	Tumor	36.14592	0.1221096	0.09015155
TCGA-BR-8589-01A-11R-2402-13	Tumor	72.92945	0.2375297	1.554898
TCGA-VQ-AA69-01A-11R-A414-31	Tumor	86.74466	0.1905049	0.9464353
TCGA-B7-A5TK-01A-12R-A36D-31	Tumor	22.44284	0.1131219	0.170015
TCGA-RD-A8N9-01A-12R-A39E-31	Tumor	30.89347	0.1930203	0.4390659
TCGA-IN-AB1X-01A-11R-A39E-31	Tumor	25.63695	0.8077211	0.4088225
TCGA-BR-A4J8-01A-11R-A251-31	Tumor	29.72256	0.4534112	0.3805235
TCGA-CG-4305-01A-01R-1157-13	Tumor	25.10936	0.6761228	0.4822496
TCGA-HU-A4GC-01A-12R-A251-31	Tumor	25.19575	0.3026938	0.1196058
TCGA-CD-8524-01A-11R-2343-13	Tumor	44.70629	0.3023802	0.275429
TCGA-FP-8211-01A-11R-2343-13	Tumor	74.1066	0.2114554	1.050518
TCGA-BR-8289-01A-11R-2343-13	Tumor	42.77925	0.2864902	0.3430607
TCGA-VQ-A94P-01A-13R-A414-31	Tumor	10.54738	0.1051579	0.3824312
TCGA-VQ-A92D-01A-11R-A414-31	Tumor	35.40578	0.3671877	0.3679063
TCGA-BR-4294-01A-01R-1131-13	Tumor	5.591777	0.04429036	0
TCGA-CD-5803-01A-11R-1602-13	Tumor	37.1158	0.09979835	0.09999365
TCGA-VQ-A8P3-01A-11R-A36D-31	Tumor	16.26879	0.2541138	0.4112948
TCGA-SW-A7EB-01A-11R-A354-31	Tumor	45.25195	0.5941901	0.4762823
TCGA-BR-6564-01A-12R-1884-13	Tumor	26.75131	0.1389293	0
TCGA-HU-A4H5-01A-21R-A251-31	Tumor	44.16396	0.5941923	0.7029494
TCGA-CG-4466-01A-01R-1157-13	Tumor	27.93424	0.3351	1.044573
TCGA-VQ-AA6A-01A-11R-A414-31	Tumor	86.22298	0.3412615	0.2918909
TCGA-VQ-A924-01A-11R-A414-31	Tumor	49.21491	0.2453861	0.1966931
TCGA-HU-A4GY-01A-21R-A24K-31	Tumor	34.48224	0.4997512	1.439597
TCGA-CD-A487-01A-21R-A24K-31	Tumor	10.88568	0.2383623	0.5731891
TCGA-HF-7134-01A-11R-2055-13	Tumor	77.04275	0.1483681	0.3251903
TCGA-VQ-AA6K-01A-11R-A414-31	Tumor	84.20381	0.309733	0.3778041
TCGA-VQ-A8DU-01A-11R-A36D-31	Tumor	35.57307	0.3434477	0.7084819
TCGA-BR-A4J4-01A-12R-A251-31	Tumor	111.3761	0.1008241	0.396004
TCGA-IN-A7NT-01A-21R-A354-31	Tumor	31.29185	1.315314	0.372736
TCGA-RD-A8N2-01A-12R-A36D-31	Tumor	7.028538	0.2205607	0.06875316
TCGA-RD-A8N1-01A-12R-A36D-31	Tumor	34.52029	0.8437516	0.9034839
TCGA-EQ-8122-01A-11R-2343-13	Tumor	42.45992	0.3109589	0.4618528
TCGA-MX-A5UJ-01A-11R-A31P-31	Tumor	17.20535	0.3338432	0
TCGA-RD-A8N6-01A-11R-A36D-31	Tumor	29.58864	0.5879902	0.596239
TCGA-FP-A4BF-01A-12R-A36D-31	Tumor	26.02106	0.3853957	1.65363
TCGA-BR-7851-01A-11R-2203-13	Tumor	35.64507	0.1619444	0.4417114
TCGA-BR-8077-01A-11R-2343-13	Tumor	31.16677	0.2382645	1.273231
TCGA-FP-8210-01A-11R-2343-13	Tumor	27.0606	0.323985	0.9231353
TCGA-HU-A4HD-01A-11R-A251-31	Tumor	54.36442	0.3694686	0.3214067
TCGA-CD-8531-01A-11R-2343-13	Tumor	27.34879	0.1369045	0.2845057
TCGA-CG-5721-01A-11R-1602-13	Tumor	37.2137	0.07621085	0.30544
TCGA-D7-6527-01A-11R-1802-13	Tumor	32.0374	0.1985659	0.2785363
TCGA-VQ-A8PC-01A-11R-A39E-31	Tumor	68.06389	0.3292383	0.8005151
TCGA-CG-4442-01A-01R-1157-13	Tumor	13.05928	0.4547788	0.9690171
TCGA-CG-4304-01A-01R-1157-13	Tumor	32.54007	0.6533261	0.8485615
TCGA-CD-A48C-01A-11R-A24K-31	Tumor	35.13038	0.4421323	0.1051181
TCGA-HU-A4G2-01A-11R-A251-31	Tumor	13.20515	0.6581312	0.3846611
TCGA-BR-8679-01A-11R-2402-13	Tumor	41.69342	0.4187142	0.5489225
TCGA-BR-8368-01A-11R-2343-13	Tumor	28.96682	0.2887936	0.3522628
TCGA-VQ-A8PX-01A-12R-A414-31	Tumor	13.31089	0.4140256	0.7658508
TCGA-BR-8676-01A-11R-2402-13	Tumor	22.86937	0.3006556	0
TCGA-VQ-AA68-01A-11R-A414-31	Tumor	89.29176	0.1586488	0.370905
TCGA-VQ-A91Y-01A-11R-A414-31	Tumor	42.82653	0.4097376	0.7663403
TCGA-HU-A4H8-01A-11R-A251-31	Tumor	21.05567	1.083975	0.505161
TCGA-VQ-A91E-01A-31R-A414-31	Tumor	37.06904	1.074393	0.6172395
TCGA-CG-4477-01A-01R-1157-13	Tumor	30.36188	0.1993211	1.016712
TCGA-VQ-A8PE-01A-11R-A414-31	Tumor	40.13323	0.3358214	0.6958988
TCGA-BR-7196-01A-11R-2055-13	Tumor	28.30064	0.1436846	0.3475036
TCGA-HU-A4H0-01A-11R-A251-31	Tumor	143.7538	0.364867	0.5212914
TCGA-VQ-A94O-01A-11R-A414-31	Tumor	101.7446	0.7178225	0.6849783
TCGA-BR-8371-01A-11R-2343-13	Tumor	5.354634	0.2697997	0.4647739
TCGA-D7-6520-01A-11R-1802-13	Tumor	110.5109	0.1670205	0.07099583
TCGA-BR-8687-01A-11R-2402-13	Tumor	31.07635	0.1895437	0.339422
TCGA-FP-7998-01A-11R-2203-13	Tumor	75.67732	0.2350109	0.5274546
TCGA-D7-8570-01A-11R-2343-13	Tumor	62.12349	0.1352833	0.5421921
TCGA-CG-4469-01A-01R-1157-13	Tumor	19.70132	0.5070077	0.5989051
TCGA-BR-6455-01A-11R-1802-13	Tumor	77.80681	0.07381536	0.4263566
TCGA-VQ-A8P5-01A-11R-A39E-31	Tumor	52.89826	0.3680377	0.3824157
TCGA-CD-8534-01A-11R-2343-13	Tumor	27.90626	0.6307352	0.2123418
TCGA-BR-A4PF-01A-11R-A251-31	Tumor	45.29185	0.1865481	0.4205545
TCGA-BR-8686-01A-11R-2402-13	Tumor	34.87924	0.4127957	0.7720598
