ID	Type	TTYH3
TCGA-HU-A4GH-11A-11R-A36D-31	Normal	5.735164
TCGA-BR-6454-11A-01R-1802-13	Normal	16.94028
TCGA-CG-5730-11A-01R-1602-13	Normal	22.83843
TCGA-HU-A4GN-11A-12R-A251-31	Normal	4.878652
TCGA-HU-A4GY-11A-11R-A36D-31	Normal	4.804239
TCGA-HU-A4GP-11A-21R-A251-31	Normal	6.444134
TCGA-BR-6802-11A-01R-1884-13	Normal	1.194098
TCGA-HU-A4GC-11A-11R-A251-31	Normal	2.42689
TCGA-BR-7717-11A-01R-2055-13	Normal	11.9748
TCGA-BR-7704-11A-01R-2055-13	Normal	11.04791
TCGA-BR-7851-11A-01R-2203-13	Normal	28.95638
TCGA-CG-5728-11A-01R-1602-13	Normal	15.24182
TCGA-HU-A4HB-11A-11R-A251-31	Normal	4.311374
TCGA-FP-7735-11A-01R-2055-13	Normal	3.5406
TCGA-BR-8060-11A-01R-2343-13	Normal	4.326804
TCGA-IN-7806-11A-01R-2055-13	Normal	2.384781
TCGA-BR-6453-11A-01R-1802-13	Normal	16.11846
TCGA-BR-7716-11A-01R-2055-13	Normal	14.20445
TCGA-BR-6457-11A-01R-1802-13	Normal	21.9146
TCGA-BR-7715-11A-01R-2055-13	Normal	13.69803
TCGA-IP-7968-11A-01R-2203-13	Normal	13.62191
TCGA-CG-5733-11A-01R-1602-13	Normal	12.2473
TCGA-CG-5734-11A-01R-1602-13	Normal	14.72228
TCGA-CG-5720-11A-01R-1602-13	Normal	25.60017
TCGA-IN-AB1X-11A-21R-A39E-31	Normal	4.000378
TCGA-CG-5721-11A-01R-1602-13	Normal	7.647331
TCGA-FP-7829-11A-01R-2055-13	Normal	4.558911
TCGA-CG-5722-11A-02R-1602-13	Normal	16.10395
TCGA-BR-7703-11A-01R-2055-13	Normal	13.42347
TCGA-IN-AB1V-11A-11R-A414-31	Normal	4.401193
TCGA-IN-8663-11A-01R-2402-13	Normal	1.713822
TCGA-HU-8238-11A-01R-2343-13	Normal	23.28988
TCGA-BR-6852-01A-11R-1884-13	Tumor	41.06557
TCGA-RD-A8MW-01A-11R-A36D-31	Tumor	32.67923
TCGA-VQ-AA6J-01A-11R-A414-31	Tumor	50.89658
TCGA-VQ-A91D-01A-11R-A414-31	Tumor	50.38441
TCGA-BR-8372-01A-11R-2343-13	Tumor	13.8025
TCGA-CD-8533-01A-11R-2343-13	Tumor	166.1381
TCGA-BR-8361-01A-11R-2343-13	Tumor	10.06427
TCGA-BR-4367-01A-01R-1157-13	Tumor	27.53834
TCGA-D7-A747-01A-22R-A33Y-31	Tumor	21.91278
TCGA-VQ-A91A-01A-11R-A414-31	Tumor	94.02487
TCGA-VQ-A8DZ-01A-11R-A36D-31	Tumor	107.0351
TCGA-D7-A6F0-01A-11R-A31P-31	Tumor	77.57225
TCGA-BR-4369-01A-01R-1157-13	Tumor	81.04287
TCGA-D7-8573-01A-11R-2343-13	Tumor	97.11271
TCGA-CG-4437-01A-01R-1802-13	Tumor	36.14592
TCGA-BR-8589-01A-11R-2402-13	Tumor	72.92945
TCGA-VQ-AA69-01A-11R-A414-31	Tumor	86.74466
TCGA-B7-A5TK-01A-12R-A36D-31	Tumor	22.44284
TCGA-RD-A8N9-01A-12R-A39E-31	Tumor	30.89347
TCGA-IN-AB1X-01A-11R-A39E-31	Tumor	25.63695
TCGA-BR-A4J8-01A-11R-A251-31	Tumor	29.72256
TCGA-CG-4305-01A-01R-1157-13	Tumor	25.10936
TCGA-HU-A4GC-01A-12R-A251-31	Tumor	25.19575
TCGA-CD-8524-01A-11R-2343-13	Tumor	44.70629
TCGA-FP-8211-01A-11R-2343-13	Tumor	74.1066
TCGA-BR-8289-01A-11R-2343-13	Tumor	42.77925
TCGA-VQ-A94P-01A-13R-A414-31	Tumor	10.54738
TCGA-VQ-A92D-01A-11R-A414-31	Tumor	35.40578
TCGA-BR-4294-01A-01R-1131-13	Tumor	5.591777
TCGA-CD-5803-01A-11R-1602-13	Tumor	37.1158
TCGA-VQ-A8P3-01A-11R-A36D-31	Tumor	16.26879
TCGA-SW-A7EB-01A-11R-A354-31	Tumor	45.25195
TCGA-BR-6564-01A-12R-1884-13	Tumor	26.75131
TCGA-HU-A4H5-01A-21R-A251-31	Tumor	44.16396
TCGA-CG-4466-01A-01R-1157-13	Tumor	27.93424
TCGA-VQ-AA6A-01A-11R-A414-31	Tumor	86.22298
TCGA-VQ-A924-01A-11R-A414-31	Tumor	49.21491
TCGA-HU-A4GY-01A-21R-A24K-31	Tumor	34.48224
TCGA-CD-A487-01A-21R-A24K-31	Tumor	10.88568
TCGA-HF-7134-01A-11R-2055-13	Tumor	77.04275
TCGA-VQ-AA6K-01A-11R-A414-31	Tumor	84.20381
TCGA-VQ-A8DU-01A-11R-A36D-31	Tumor	35.57307
TCGA-BR-A4J4-01A-12R-A251-31	Tumor	111.3761
TCGA-IN-A7NT-01A-21R-A354-31	Tumor	31.29185
TCGA-RD-A8N2-01A-12R-A36D-31	Tumor	7.028538
TCGA-RD-A8N1-01A-12R-A36D-31	Tumor	34.52029
TCGA-EQ-8122-01A-11R-2343-13	Tumor	42.45992
TCGA-MX-A5UJ-01A-11R-A31P-31	Tumor	17.20535
TCGA-RD-A8N6-01A-11R-A36D-31	Tumor	29.58864
TCGA-FP-A4BF-01A-12R-A36D-31	Tumor	26.02106
TCGA-BR-7851-01A-11R-2203-13	Tumor	35.64507
TCGA-BR-8077-01A-11R-2343-13	Tumor	31.16677
TCGA-FP-8210-01A-11R-2343-13	Tumor	27.0606
TCGA-HU-A4HD-01A-11R-A251-31	Tumor	54.36442
TCGA-CD-8531-01A-11R-2343-13	Tumor	27.34879
TCGA-CG-5721-01A-11R-1602-13	Tumor	37.2137
TCGA-D7-6527-01A-11R-1802-13	Tumor	32.0374
TCGA-VQ-A8PC-01A-11R-A39E-31	Tumor	68.06389
TCGA-CG-4442-01A-01R-1157-13	Tumor	13.05928
TCGA-CG-4304-01A-01R-1157-13	Tumor	32.54007
TCGA-CD-A48C-01A-11R-A24K-31	Tumor	35.13038
TCGA-HU-A4G2-01A-11R-A251-31	Tumor	13.20515
TCGA-BR-8679-01A-11R-2402-13	Tumor	41.69342
TCGA-BR-8368-01A-11R-2343-13	Tumor	28.96682
TCGA-VQ-A8PX-01A-12R-A414-31	Tumor	13.31089
TCGA-BR-8676-01A-11R-2402-13	Tumor	22.86937
TCGA-VQ-AA68-01A-11R-A414-31	Tumor	89.29176
TCGA-VQ-A91Y-01A-11R-A414-31	Tumor	42.82653
TCGA-HU-A4H8-01A-11R-A251-31	Tumor	21.05567
TCGA-VQ-A91E-01A-31R-A414-31	Tumor	37.06904
TCGA-CG-4477-01A-01R-1157-13	Tumor	30.36188
TCGA-VQ-A8PE-01A-11R-A414-31	Tumor	40.13323
TCGA-BR-7196-01A-11R-2055-13	Tumor	28.30064
TCGA-HU-A4H0-01A-11R-A251-31	Tumor	143.7538
TCGA-VQ-A94O-01A-11R-A414-31	Tumor	101.7446
TCGA-BR-8371-01A-11R-2343-13	Tumor	5.354634
TCGA-D7-6520-01A-11R-1802-13	Tumor	110.5109
TCGA-BR-8687-01A-11R-2402-13	Tumor	31.07635
TCGA-FP-7998-01A-11R-2203-13	Tumor	75.67732
TCGA-D7-8570-01A-11R-2343-13	Tumor	62.12349
TCGA-CG-4469-01A-01R-1157-13	Tumor	19.70132
TCGA-BR-6455-01A-11R-1802-13	Tumor	77.80681
TCGA-VQ-A8P5-01A-11R-A39E-31	Tumor	52.89826
TCGA-CD-8534-01A-11R-2343-13	Tumor	27.90626
TCGA-BR-A4PF-01A-11R-A251-31	Tumor	45.29185
TCGA-BR-8686-01A-11R-2402-13	Tumor	34.87924
TCGA-D7-5577-01A-01R-1602-13	Tumor	62.37637
TCGA-BR-8487-01A-11R-2402-13	Tumor	32.79059
TCGA-BR-4257-01A-01R-1131-13	Tumor	35.92819
TCGA-HU-A4G3-01A-11R-A24K-31	Tumor	33.03802
TCGA-CG-4460-01A-01R-1157-13	Tumor	13.81014
TCGA-VQ-A94R-01A-11R-A414-31	Tumor	43.71901
