organ	type	value
breast	other	3.99279437137579
brain	other	1.76974936089984
nerve	other	3.86692688290483
adrenal_gland	other	3.56191136307006
prostate	other	3.85100462999342
spleen	other	4.32696054996851
salivary_gland	other	3.82886461393538
testis	other	3.46727784126903
kidney	other	2.73768407784357
stomach	other	3.22492263166002
pituitary_gland	other	2.7876574224792
lung	other	3.49951598166905
pancreas	other	2.90096476844596
skin	other	4.51949949956869
esophagus	other	3.57106823997839
thyroid_gland	other	3.72683169709254
colon	other	3.5734965162795
adipose_tissue	other	3.81915174653923
skeletal_muscle	other	2.29569620150922
heart	other	2.34340473612558
liver	other	2.72247923920525
small_intestine	other	3.61583341875553
urinary_bladder	other	4.21537370661119
