NEAT1	chr11:65423096-65426513
VCP	chr9:35056064-35072625
PTPN12	chr7:77537295-77640069
ACTB	chr7:5527152-5563902
TFEB	chr6:41683978-41735608
MATR3	chr5:139293740-139331677
LUC7L3	chr17:50719603-50756219
ASPSCR1	chr17:81977629-82017406
KHSRP	chr19:6413348-6424794
U2AF2	chr19:55655035-55674716
RBM10	chrX:47145221-47186813
TFE3	chrX:49028726-49043357
SFPQ	chr1:35182936-35193145
EIF4A2	chr3:186783577-186789897
PARP14	chr3:122680839-122730840
PRCC	chr1:156767535-156800815
NONO	chrX:71254814-71301168

